"","mtd.ret","ytd.ret","ann.ret.5","ann.std.5","downrisk.5","drawdown.5","sharpe.5","sortino.5","inforatio.5","alpha.5","beta.5","corr.bhf.5","corr.bidx.5","omega.5","wl.5","skewness.5","kurtosis.5"
"ABAFINU.KY.Equity",0.017684,0.067409094598418,0.0496441044402709,0.0660703921396577,0.0346881562703862,-0.115388904291978,0.675705153163061,1.28701289547592,0.103335108071511,0.00370773493067086,0.0691705502006007,0.110061856956025,0.103102599838985,1.76444893588139,0.616666666666667,0.185362443001053,-0.304306290624465
"APEXGCE.US.Equity",-0.016099,0.172669162822716,0.101207844838565,0.102242263898488,0.0442023428512388,-0.0905355835518696,0.94097921123974,2.17653270466565,0.575722531697682,0.00810459051939675,0.050799215101017,0.136008343138407,0.0489307435822697,2.3001453395556,0.55,1.01512601403917,1.61050964524301
"APHSIFA.LX.Equity",-0.005227,-0.0733463509465931,0.0462396458410392,0.130838755303177,0.0785072119277835,-0.196740099653301,0.315194421908703,0.525297546918038,0.201512660911041,0.00719652736651864,0.365066253891637,0.151218049660326,0.27478344008427,1.35132206583829,0.6,-0.0594897313919481,-0.290954510342126
"ARTPAII.US.Equity",8e-04,0.0144547320267494,0.0702342704722656,0.0226263403180857,0.0057962941452433,-0.00808669189900024,2.88311187559229,11.254478954592,0.415990447701984,0.00573177869740333,0.00516030810058145,0.0223235558670868,0.0224603535482957,12.5381341619942,0.8,0.560459983558085,0.0214179288996026
"ASLNDMB.KY.Equity",0.00636,0.389658311523888,0.0749003508145547,0.140729459719271,0.101006966254182,-0.239421422484647,0.496700200185468,0.692034949734572,0.505384638290171,-0.000831535677184558,1.03031099828134,0.713335604965869,0.721005514433708,1.5815102298914,0.616666666666667,-0.254561407893668,1.40817537095299
"CAMCAPR.KY.Equity",0.074,-0.166538452786378,-0.0777225816756479,0.217245753949464,0.117057828662244,-0.520333068981433,-0.380778819248596,-0.706681326836615,-0.503642860254362,-0.0138851449958751,1.21772619524476,0.586511020588291,0.552018486991717,0.823281627168845,0.416666666666667,0.469795367760741,0.196968293652047
"CASSIOA.KY.Equity",0.002941,0.00470234915689227,0.0217919364825676,0.0493349289394544,0.0276755307211402,-0.0605697067194677,0.340366082277635,0.606743070323163,-0.0047919209342799,0.00184833445006356,0.00658679704109564,0.00228081763862819,0.013148464725775,1.42297618118793,0.483333333333333,0.228453855632201,-0.104388852668908
"CAYENRG.US.Equity",-0.018325,-0.173786905235107,0.0656002982180377,0.087517365949947,0.046441330134201,-0.198175889579472,0.692437410110083,1.3048786079753,0.461248295661332,0.00588566252434853,0.0359247909273843,0.0164697906697487,0.0404254890172842,1.86313015822615,0.566666666666667,0.684208875495198,1.40496153299685
"CCLMKNA.CN.Equity",-0.024363,-0.12547820451683,-0.0059238667369933,0.127581321736519,0.114363529091725,-0.378505534250307,-0.0856227744650054,-0.0955187971528216,-0.349078652556054,0.00023537612199103,0.00486268958306206,0.0225723967621947,0.00375357173701329,1.0146999473376,0.566666666666667,-1.49588044665983,3.70477529633012
"CEDMNLP.US.Equity",NA,0.0141589870977161,0.0316647916587547,0.0506459740928158,0.0351852843041692,-0.0445180526192801,0.526493806001001,0.757839312260299,0.308515536728421,0.00149566949535807,0.160809717305259,0.270411081869392,0.313143316964521,1.593098763358,0.6,-0.523583582613219,0.464189060622211
"CHCIMPE.KY.Equity",-0.028662,-0.0556631097782994,0.105955826681712,0.247232300428887,0.0598791611244519,-0.224552657669024,0.408344000790263,1.68599266900027,0.331872744837655,0.00399485194383005,0.863392676285644,0.355830096274006,0.343920783445414,2.11998489923279,0.416666666666667,5.54245651771825,35.6050492985096
"CHESSIC.US.Equity",0.003499,0.100144379392652,0.116895201309374,0.0612737234045803,0.0824030273053782,-0.0629999999999999,1.82615312228618,1.35790158406075,0.997226898399546,0.00625903137180774,0.422791948349431,0.669125633448723,0.679528548412928,4.21034110289937,0.816666666666667,-2.11628358055625,6.84281992964776
"CLASABE.LX.Equity",0.021882,0.125181602089167,0.0910478097027561,0.154648439303594,0.142603153324903,-0.306500164054119,0.556409169664065,0.603407482208384,0.0563149348563078,0.000107820467509948,1.09548227972598,0.657423583146227,0.697613837191162,1.72720509846648,0.716666666666667,-0.397242334312862,3.089155137499
"COLOMLP.US.Equity",0.0169,-0.13938754838854,0.088510395637541,0.121759781704297,0.0650083339138981,-0.153690184274304,0.685861903402165,1.28461061235854,0.137148770043758,0.00724632240270483,0.060171336248793,0.071972109075912,0.0486677273328276,1.7418059125964,0.6,0.0895172927674218,-0.0036896729752951
