Date,Last Price 
8/5/2013,14258.04
8/6/2013,14401.06
8/7/2013,13824.94
8/8/2013,13605.56
8/9/2013,13615.19
8/12/2013,13519.43
8/13/2013,13867
8/14/2013,14050.16
8/15/2013,13752.94
8/16/2013,13650.11
8/19/2013,13758.13
8/20/2013,13396.38
8/21/2013,13424.33
8/22/2013,13365.17
8/23/2013,13660.55
8/26/2013,13636.28
8/27/2013,13542.37
8/28/2013,13338.46
8/29/2013,13459.71
8/30/2013,13388.86
9/2/2013,13572.92
9/3/2013,13978.44
9/4/2013,14053.87
9/5/2013,14064.82
9/6/2013,13860.81
9/9/2013,14205.23
9/10/2013,14423.36
9/11/2013,14425.07
9/12/2013,14387.27
9/13/2013,14404.67
9/17/2013,14311.67
9/18/2013,14505.36
9/19/2013,14766.18
9/20/2013,14742.42
9/24/2013,14732.61
9/25/2013,14620.53
9/26/2013,14799.12
9/27/2013,14760.07
9/30/2013,14455.8
10/1/2013,14484.72
10/2/2013,14170.49
10/3/2013,14157.25
10/4/2013,14024.31
10/7/2013,13853.32
10/8/2013,13894.61
10/9/2013,14037.84
10/10/2013,14194.71
10/11/2013,14404.74
10/15/2013,14441.54
10/16/2013,14467.14
10/17/2013,14586.51
10/18/2013,14561.54
10/21/2013,14693.57
10/22/2013,14713.25
10/23/2013,14426.05
10/24/2013,14486.41
10/25/2013,14088.19
10/28/2013,14396.04
10/29/2013,14325.98
10/30/2013,14502.35
10/31/2013,14327.94
11/1/2013,14201.57
11/5/2013,14225.37
11/6/2013,14337.31
11/7/2013,14228.44
11/8/2013,14086.8
11/11/2013,14269.84
11/12/2013,14588.68
11/13/2013,14567.16
11/14/2013,14876.41
11/15/2013,15165.92
11/18/2013,15164.3
11/19/2013,15126.56
11/20/2013,15076.08
11/21/2013,15365.6
11/22/2013,15381.72
11/25/2013,15619.13
11/26/2013,15515.24
11/27/2013,15449.63
11/28/2013,15727.12
11/29/2013,15661.87
12/2/2013,15655.07
12/3/2013,15749.66
12/4/2013,15407.94
12/5/2013,15177.49
12/6/2013,15299.86
12/9/2013,15650.21
12/10/2013,15611.31
12/11/2013,15515.06
12/12/2013,15341.82
12/13/2013,15403.11
12/16/2013,15152.91
12/17/2013,15278.63
12/18/2013,15587.8
12/19/2013,15859.22
12/20/2013,15870.42
12/24/2013,15889.33
12/25/2013,16009.99
12/26/2013,16174.44
12/27/2013,16178.94
12/30/2013,16291.31
1/6/2014,15908.88
1/7/2014,15814.37
1/8/2014,16121.45
1/9/2014,15880.33
1/10/2014,15912.06
1/14/2014,15422.4
1/15/2014,15808.73
1/16/2014,15747.2
1/17/2014,15734.46
1/20/2014,15641.68
1/21/2014,15795.96
1/22/2014,15820.96
1/23/2014,15695.89
1/24/2014,15391.56
1/27/2014,15005.73
1/28/2014,14980.16
1/29/2014,15383.91
1/30/2014,15007.06
1/31/2014,14914.53
2/3/2014,14619.13
2/4/2014,14008.47
2/5/2014,14180.38
2/6/2014,14155.12
2/7/2014,14462.41
2/10/2014,14718.34
2/12/2014,14800.06
2/13/2014,14534.74
2/14/2014,14313.03
2/17/2014,14393.11
2/18/2014,14843.24
2/19/2014,14766.53
2/20/2014,14449.18
2/21/2014,14865.67
