OEX Index
MMM UN Equity
ABT UN Equity
ABBV UN Equity
ACN UN Equity
ALL UN Equity
MO UN Equity
AMZN UW Equity
AXP UN Equity
AIG UN Equity
AMGN UW Equity
APC UN Equity
APA UN Equity
AAPL UW Equity
T UN Equity
BAC UN Equity
BK UN Equity
BAX UN Equity
BRK/B UN Equity
BIIB UW Equity
BA UN Equity
BMY UN Equity
COF UN Equity
CAT UN Equity
CVX UN Equity
CSCO UW Equity
C UN Equity
KO UN Equity
CL UN Equity
CMCSA UW Equity
COP UN Equity
COST UW Equity
CVS UN Equity
DVN UN Equity
DOW UN Equity
EBAY UW Equity
DD UN Equity
LLY UN Equity
EMC UN Equity
EMR UN Equity
EXC UN Equity
XOM UN Equity
FB UW Equity
FDX UN Equity
F UN Equity
FCX UN Equity
GD UN Equity
GE UN Equity
GM UN Equity
GILD UW Equity
GS UN Equity
GOOG UW Equity
GOOGL UW Equity
HAL UN Equity
HPQ UN Equity
HD UN Equity
HON UN Equity
INTC UW Equity
IBM UN Equity
JNJ UN Equity
JPM UN Equity
LMT UN Equity
LOW UN Equity
MA UN Equity
MCD UN Equity
MDT UN Equity
MRK UN Equity
MET UN Equity
MSFT UW Equity
MDLZ UW Equity
MON UN Equity
MS UN Equity
NOV UN Equity
NKE UN Equity
NSC UN Equity
OXY UN Equity
ORCL UN Equity
PEP UN Equity
PFE UN Equity
PM UN Equity
PG UN Equity
QCOM UW Equity
RTN UN Equity
SLB UN Equity
SPG UN Equity
SO UN Equity
SBUX UW Equity
TGT UN Equity
TXN UW Equity
TWX UN Equity
FOXA UW Equity
UNP UN Equity
UPS UN Equity
UTX UN Equity
UNH UN Equity
USB UN Equity
VZ UN Equity
V UN Equity
WMT UN Equity
WBA UW Equity
DIS UN Equity
WFC UN Equity
