"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"X1798FEF.KY.Equity",5.05216418432277,1.52521322279204,1.79073996451297,1.79073996451297
"X1798FUN.KY.Equity",2.17345116943403,1.11998342888707,1.52214155844996,1.52214155844996
"X1837PAR.US.Equity",0.672474055624741,0.799172116032729,1.03367125404995,1.03367125404995
"X1P2FUND.VI.Equity",1.25359166231607,1.59838820627828,1.66591970877992,1.66591970877992
"X36ONEOS.KY.Equity",0.237331358999671,1.12528443899877,2.09890094279315,2.09890094279315
"AAAGLBA.FP.Equity",0.127136902252822,0.851715408570892,1.27710301843824,1.27710301843824
"AAASYWB.KY.Equity",1.30284440627364,1.50519402652091,1.60763339057665,1.60763339057665
"AAAWRNO.ID.Equity",6.21966141026317,2.21362086966387,3.1871786614702,3.1871786614702
"AABSTWO.LE.Equity",Inf,3.98400362098849,9.93707567653445,9.93707567653445
"AAS2AAF.MV.Equity",7.22973466407011,1.45039017397464,1.60668075615692,1.60668075615692
"ABAFINE.KY.Equity",2.04485531879612,1.62400163624278,1.67466579312712,1.67466579312712
"ACAKITO.KY.Equity",11.5628465804067,8.6340636478052,21.9317029966048,21.9317029966048
"ACCAPAA.US.Equity",2.06527214645534,1.17605132680244,1.57833205573182,1.57833205573182
"ACCCAPA.LX.Equity",3.91483644406503,3.98902912293727,2.78809205498606,2.78809205498606
"ACKASPA.US.Equity",1.58970588235294,1.63790599446537,2.50844656263068,2.50844656263068
"ACORNDP.CN.Equity",0.07326676007973,0.687849437071239,0.996415251297094,0.996415251297094
"ACQUANY.AU.Equity",0.961540730254232,1.30245520902455,1.83439681384095,1.83439681384095
"ACTCURR.KY.Equity",0.00943379402585823,0.420487011920791,1.04538133251819,1.04538133251819
"ACTGVGM.GR.Equity",2.20267711394058,0.954940384842404,2.24687222830907,2.24687222830907
"ACTGVHL.GR.Equity",7.15522875816993,1.710794617539,2.00389240605346,2.00389240605346
"ACTGVML.GR.Equity",0,0.0873394495412844,0.618240690771722,0.618240690771722
"ACTGVSH.GR.Equity",5.14172454462063,1.48585162961953,1.85753425655711,1.85753425655711
"ACTVOWN.US.Equity",1.54166666666667,0.763660804546977,1.35372012244887,1.35372012244887
"ADEXDTD.GU.Equity",0.328517918874901,1.81450028399541,1.32564563071423,1.32564563071423
"ADHARON.US.Equity",3.32046754120417,1.99989027267241,2.30630658207893,2.30630658207893
"ADRIGOH.SS.Equity",1.1939017564434,1.85278456302444,3.24346309813463,3.24346309813463
"ADVWALS.AU.Equity",Inf,1.31555580220878,2.03304597701149,2.03304597701149
"AEUFDLI.KY.Equity",2.21825274778639,1.52118351947254,1.77334868137423,1.77334868137423
"AFRVALU.US.Equity",34.8746875,1.2846307277628,2.39180746312439,2.39180746312439
"AGDIVCS.US.Equity",77.1627272727273,1.44584444039715,2.58433380953665,2.58433380953665
"AGF7EK1.GU.Equity",0.64988296964885,1.07082437650108,1.11000470345334,1.11000470345334
"AGINADV.CN.Equity",5.06208910422682,1.21890760140576,2.19752219028495,2.19752219028495
"AGLOBAL.US.Equity",2.97023809523809,1.31530859593511,1.49725599913914,1.49725599913914
"AGREDIF.US.Equity",Inf,3.41666324196222,7.62205208333333,7.62205208333333
"AGSUPER.US.Equity",27.1919230769231,1.50775862068966,3.40617760617761,3.40617760617761
"AHIF1DU.KY.Equity",0.744326736567964,1.02159961225573,1.12756905832654,1.12756905832654
"AHLGFT8.GU.Equity",0.558179391367782,1.02850905733833,1.06507090820377,1.06507090820377
"AHLGLFP.GU.Equity",0.541432279119959,1.098185036909,1.10933909009032,1.10933909009032
"AHPACOB.KY.Equity",3.29854860942188,4.31754732975417,5.21765978318284,5.21765978318284
"AHPAGIT.NA.Equity",0.840873347705007,1.2013484329734,1.01586137954015,1.01586137954015
