"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"AAASYWB.KY.Equity",1.30284440627364,1.50519402652091,1.60763339057665,1.60763339057665
"AESOPHK.KY.Equity",5.01038672589496,1.46384728523191,2.72473868235674,2.72473868235674
"AHPACOB.KY.Equity",3.29854860942188,4.31754732975417,5.21765978318284,5.21765978318284
"AISMERC.KY.Equity",0.585658159225193,1.45544095701151,1.53265310088819,1.53265310088819
"AJAOPAR.KY.Equity",2.42427235316124,1.1365481274021,1.83279606633886,1.83279606633886
"ALASOPP.KY.Equity",0.733771122961445,0.868920073551705,1.24157374366671,1.24157374366671
"ALCINDA.KY.Equity",3.0664795428109,1.96531235152418,1.98462017145711,1.98462017145711
"ALLIVFD.AU.Equity",0.762071575947394,1.11547739315094,1.29867059235985,1.29867059235985
"ALTACIF.MP.Equity",2.9309147911768,1.84337490166143,1.95563492276145,1.95563492276145
"ALTOGLA.KY.Equity",0.124841044137708,0.933215845416316,2.03165946038296,2.03165946038296
"APEXGCE.US.Equity",12.1788741721854,1.96879234435219,2.39986201274917,2.39986201274917
"APSASPH.KY.Equity",0.284714697524176,1.25476858395592,1.58670997367345,1.58670997367345
"APSCHIA.KY.Equity",2.37438382661869,1.74845020439333,1.74993667029529,1.74993667029529
"APSCHIN.KY.Equity",0.626116437147634,1.45762306042236,1.59182194965798,1.59182194965798
"ARASALP.KY.Equity",5.2200962189255,1.44808283032243,1.6127361400318,1.6127361400318
"ARMACRO.KY.Equity",2.71515254237288,3.31762596199347,3.84925003611583,3.84925003611583
"ARMLLOA.KY.Equity",4.64475299171525,1.02786576024229,1.57728056310074,1.57728056310074
"ARNASIA.KY.Equity",4.70011892781996,1.40649606520328,1.57299108651182,1.57299108651182
"ARQCALA.KY.Equity",2.89891004266609,0.807479054134085,1.35528916083853,1.35528916083853
"ARQVALA.KY.Equity",5.86348775351879,2.04383537373988,3.33077337575695,3.33077337575695
"ARXBRLS.KY.Equity",1.573264781491,1.38686322343508,1.6153303132491,1.6153303132491
"ASCREHA.KY.Equity",2.33122376424227,2.04492224185715,2.33691134460478,2.33691134460478
"ASEASCF.KY.Equity",6.00979140656782,1.44258486980346,1.6888032303929,1.6888032303929
"ATCHSTA.KY.Equity",0.62701253542939,1.29719642302693,1.7618458850954,1.7618458850954
"ATHASIE.SP.Equity",1.51035605535289,0.86266885206312,1.07820115985342,1.07820115985342
"ATLRIVR.KY.Equity",0.323166434538064,1.17011578774805,1.28758002513965,1.28758002513965
"ATMOSBE.KY.Equity",1.66554372862782,1.38143954844613,1.57573883205565,1.57573883205565
"BERINUR.KY.Equity",7.27466666666667,0.431533866358606,0.300469462009089,0.300469462009089
"BRASCEH.KY.Equity",2.18275148499989,1.30053400395955,1.30150620232219,1.30150620232219
"BRASFXI.KY.Equity",12.1717827626919,3.44033648563937,1.89496843358035,1.89496843358035
"BRAXFDA.KY.Equity",4.5623466948179,1.35955091159637,1.38097062237804,1.38097062237804
"BRAXFDB.KY.Equity",8.02456450734894,3.86153735009392,2.81413106666457,2.81413106666457
"BRVBRZL.KY.Equity",0.530567095664456,0.518411998286958,0.56045475588615,0.56045475588615
"CAMAMAP.KY.Equity",4.44596997936971,1.69410316459497,1.52478259507282,1.52478259507282
"CAMCCGA.KY.Equity",0.958640210671586,1.96615911922385,3.28061701591329,3.28061701591329
"CAMGCSM.KY.Equity",3.38977371183936,1.20750122058679,1.49659780429905,1.49659780429905
"CCASIAU.KY.Equity",1.89724812876166,1.7479275219861,1.18323327546322,1.18323327546322
"CCIOIGF.KY.Equity",5.32546904406201,1.73053317086657,1.97949925783442,1.97949925783442
"CDIFORD.VI.Equity",6.61398354876616,1.34976684301009,1.4927206197205,1.4927206197205
"CEASOPP.AU.Equity",1.78891888719333,1.93116685839949,2.12364238478285,2.12364238478285
"CHCIMPE.KY.Equity",0.402444180890012,1.71438917784364,2.32027880342045,2.32027880342045
"CHEAGLE.KY.Equity",14.9607963622957,1.37931688217223,1.82747356928151,1.82747356928151
"CHEETAH.US.Equity",1.52541195291967,0.865927549464365,0.925753177618763,0.925753177618763
"CHINABS.KY.Equity",0.970506324866624,1.22680706756332,1.57401108052378,1.57401108052378
"CLARCOB.BH.Equity",0.318250950570342,0.0779922285323882,0.0254071884309406,0.0254071884309406
"CMCHCSF.KY.Equity",1.3826639311923,1.05071565580658,1.34569374645711,1.34569374645711
"CMTFGRC.KY.Equity",2.67905279964355,1.06701424255803,1.20891261562966,1.20891261562966
"CNALPHA.KY.Equity",3.54285779367213,1.81503839678042,2.09679992133641,2.09679992133641
"CONSTEB.KY.Equity",1.96430225273079,1.20802922035476,1.22628715064829,1.22628715064829
"CONSTEQ.KY.Equity",2.12120097822042,1.08989950225367,1.18899782713636,1.18899782713636
"COPLATA.KY.Equity",2.14323964922369,2.5041620457674,2.92324204619946,2.92324204619946
"CSVCHNO.VI.Equity",3.60208397613905,1.46806225470294,1.59163708485453,1.59163708485453
"DALAOFF.KY.Equity",11.1109013355709,1.78561915450804,2.28914111075414,2.28914111075414
"DALGCHI.KY.Equity",3.19314641744548,1.32109256449165,2.13141311852704,2.13141311852704
"DBDHAAB.KY.Equity",1.69170935306393,1.0940350877193,1.70947168048663,1.70947168048663
"DORASPS.KY.Equity",2.25294295515447,1.94358466663256,2.74028137882347,2.74028137882347
"DRAGALT.KY.Equity",0.800593910721443,0.69320559717958,0.913197727377548,0.913197727377548
"EDAF001.KY.Equity",0.970231413854079,1.03663691709208,1.61037189763425,1.61037189763425
"EMMENAA.BH.Equity",8.34466988494066,0.910360822323661,1.88668018542064,1.88668018542064
"ENAMIND.KY.Equity",2.76147630335854,2.36090119726417,2.49734050629659,2.49734050629659
"EVENSTR.KY.Equity",Inf,8.90787189966967,20.1838362913611,20.1838362913611
"EXPIRES.KY.Equity",0.882036132544997,0.764907015837118,0.809566580570029,0.809566580570029
"FABRAFF.KY.Equity",2.50591707201329,1.02997381589941,1.00911936131095,1.00911936131095
"FAFRICA.BH.Equity",2.45589919816724,0.426531843271046,0.874866409750131,0.874866409750131
"FAVRORC.KY.Equity",4.97314337678084,1.09411920816214,1.2886746297837,1.2886746297837
