"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"X1798FEF.KY.Equity",3.18145584224879,1.37304020641708,1.60509803056423
"X4THSTOP.US.Equity",Inf,14.8560615114936,17.206437248545
"ACKASPA.US.Equity",1.5289741304932,1.80243225849404,2.63986783371637
"ADAIUSE.VI.Equity",10.5591542959964,1.72796758968411,1.64413259386458
"ADAWEAG.US.Equity",5.98545767043711,1.84235471661418,1.30879473054746
"AGLOBAL.US.Equity",2.67321428571429,1.45646093604326,1.49725599913914
"AISGOLD.US.Equity",0.758420248207206,1.22655425221532,1.01029409079516
"AJRINTL.VI.Equity",1.83135490148382,0.816126634382158,1.31729852243594
"AKJSTOI.MV.Equity",1.78828997832249,0.740892924390142,0.740892924390142
"ALIILTD.KY.Equity",11.8823327222731,1.58722330021481,2.30119461997739
"ALIINST.US.Equity",12.2282385195339,1.61333662504385,2.35693997348987
"ALIOPLP.US.Equity",46.1609966459032,1.44224775269902,2.07800168233186
"ALIOPLT.KY.Equity",48.1073997944502,1.42905407964608,1.97915293654221
"ALLOYIN.US.Equity",8.78274984645082,2.26026651070515,4.10336545633559
"ALPGBAU.LX.Equity",5.87505376344086,1.91741052331385,2.91526562077952
"ALPOAKP.TL.Equity",3.56618364433673,1.67688501839349,1.59683639980726
"ALSOX.US.Equity",3.04695608150867,1.02040269535279,1.7136888101327
"ALTINVS.US.Equity",16.6359245988472,1.57404888713757,2.33350321271897
"ALTOLEV.KY.Equity",2.2099403411478,2.39324069393241,3.10944646857977
"AMESEHU.LX.Equity",5.90157299236501,1.14697036078034,1.8598069267792
"ANABATI.US.Equity",3.04978636448077,1.23764574809351,1.1729009824665
"ANINMAS.KY.Equity",0.718477140134953,1.96877680232054,2.0988754250731
"APCAGRN.KY.Equity",3.40267056123513,1.22417557936203,1.22417557936203
"AQUAOPA.KY.Equity",0.447885648803271,0.606354868717816,0.606354868717816
"ARDPFII.US.Equity",1.2065416525666,0.686087705110479,1.1812126776703
"ARESX.US.Equity",0.52373924060553,0.52373924060553,0.52373924060553
"AROYIPA.US.Equity",10.1678082191781,1.92167168399795,2.06729909686367
"ARTPAII.US.Equity",6.9374906758168,6.93422117875648,12.5954874012025
"ASCDLVG.US.Equity",1.19014084507042,0.97568093385214,2.08979278587874
"ASCDPLP.US.Equity",1.06862745098039,0.913294797687861,1.98796992481203
"ASHFORC.US.Equity",10.9004739336493,2.33532767324603,2.31119773330254
"ATESX.US.Equity",2.70531766215318,2.70531766215318,2.70531766215318
"ATRMSCH.US.Equity",25.8,2.20430107526882,4.12072072072072
"AVWORLD.US.Equity",2.52852380870136,1.43084693732075,1.47000582845586
"BASSFIN.US.Equity",Inf,4.6354071969697,5.96055633802817
"BKHYDRA.US.Equity",1.30417156118385,1.20969623277745,1.40946180012104
"BLAUCAP.US.Equity",3.11111111111111,1.31643614821816,1.26538316185494
"BLULIOU.US.Equity",2.66666666666667,1.71483650199026,1.20984458177551
"BOOTHAR.US.Equity",6.225,6.07397959183673,5.66904761904762
"BPCENHO.US.Equity",0.515785956092813,0.994482627236624,0.93704663040814
"BPIPMNF.US.Equity",5.68656716417911,3.86631246410109,7.37758497741859
"BPLSREF.US.Equity",9.33333333333333,3.61244055068836,7.13759326113117
"BPPMNEU.US.Equity",2.82911392405063,3.12385993687716,4.12602905805745
"BRAPART.US.Equity",2.84897959183673,1.93436010267693,2.90997888067582
"BROOELS.US.Equity",1.16381766381766,2.64209434212476,3.67412003851503
"BUCKPII.US.Equity",5.74080685469475,1.08473606314751,1.76825267944138
"BVASX.US.Equity",1.50832470086625,1.72629235600131,1.72064110519016
"CADMAST.US.Equity",Inf,2.02277904328018,1.67882187938289
"CANGROA.BH.Equity",5.07526479750779,1.64823315118397,1.49838130463205
