"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"ABAFINU.KY.Equity",2.36599545187793,1.6929248829006,1.72688659893332,1.72688659893332
"ALGOTRE.KY.Equity",0.0384242256253898,0.298344472109378,0.298344472109378,0.298344472109378
"APEXGCE.US.Equity",12.1788741721854,1.96879234435219,2.39986201274917,2.39986201274917
"APHSIFA.LX.Equity",0.48993837402228,1.40488987786919,1.42107052408824,1.42107052408824
"AROYIPA.US.Equity",5.0575456053068,1.79889400239642,2.05650433872601,2.05650433872601
"ARTPAII.US.Equity",5.41578397732359,6.79250323834197,12.5988650949132,12.5988650949132
"ASLNDMB.KY.Equity",3.25477067617878,1.4816675580751,1.63365204930266,1.63365204930266
"BAOBABG.VI.Equity",1.05344826101558,1.09652548906643,1.70960590211238,1.70960590211238
"BBHEDG1.US.Equity",2.00051195787318,0.827876054239429,1.14308542397918,1.14308542397918
"BPCENHO.US.Equity",0.333636547717325,0.836532236663066,0.871119568781957,0.871119568781957
"CALYPSV.AV.Equity",2.2575210589651,0.854249774891539,0.854249774891539,0.854249774891539
"CAMCAPR.KY.Equity",0.506991635807484,0.658994789513612,0.806179117542133,0.806179117542133
"CARMOTT.KY.Equity",0.551836965338729,1.50869505166807,1.47761227616879,1.47761227616879
"CASSIOA.KY.Equity",1.06405456422664,1.5317809791308,1.54596759512106,1.54596759512106
"CAYENRG.US.Equity",0.153804135387329,1.47717311148639,2.07872101771053,2.07872101771053
"CCLDMNA.CN.Equity",0.309925978774637,2.17686699507389,2.00303597114122,2.00303597114122
"CCLMKNA.CN.Equity",0.176187213634223,0.99127104465126,1.9423291377644,1.9423291377644
"CEDMNLP.US.Equity",1.44180458121778,1.46670840227161,1.63002047801976,1.63002047801976
"CHCIMPE.KY.Equity",0.402444180890012,1.71438917784364,2.32027880342045,2.32027880342045
"CHESSIC.US.Equity",Inf,2.90888483965015,4.27913018760659,4.27913018760659
"CHROEHF.BM.Equity",4.23087878787879,1.41817450165994,1.41817450165994,1.41817450165994
"CLASABE.LX.Equity",18.0729275970619,1.30586919608276,1.76861403015499,1.76861403015499
"CLOVSTR.US.Equity",11.5643529411765,2.17765901130538,2.43552727634006,2.43552727634006
"COEFFCA.KY.Equity",0.357032597207543,0.427717159662433,0.427717159662433,0.427717159662433
"COLOMLP.US.Equity",0.824281489144418,1.72359861856763,1.86744945178781,1.86744945178781
"CONCAPO.KY.Equity",1.64822313824475,1.74330824141071,1.00805700017494,1.00805700017494
"CRJBJPY.KY.Equity",15.0383506197824,2.2796893451678,2.2796893451678,2.2796893451678
"CURCMAF.CN.Equity",0.898812753327163,1.35064547518651,1.35064547518651,1.35064547518651
"CUSHMKN.US.Equity",0.73138093958676,0.770015941008677,1.49900093120752,1.49900093120752
"DACHCEQ.BH.Equity",0.0623818525519849,1.33155123785647,1.40566565865455,1.40566565865455
"DONEHF1.NA.Equity",0.832435560086517,3.00189523236975,4.12689085324527,4.12689085324527
"EAMDSSP.KY.Equity",0.897553144914141,1.19735216070967,1.06015940438704,1.06015940438704
