,Omega (L = 0%),Omega (L = 0%),Omega (L = 0%)
X01311028.JP.Equity,1.379813743,0.29283118,0.29283118
X01311029.JP.Equity,1.917380661,0.369952266,0.369952266
X0131102C.JP.Equity,2.070866142,0.432131624,0.432131624
X01311031.JP.Equity,1.636989343,0.361937915,0.361937915
X01311032.JP.Equity,1.810078441,0.351293038,0.351293038
X01311033.JP.Equity,1.325829384,0.309521816,0.309521816
X01311034.JP.Equity,0.829745942,0.204900265,0.204900265
X01311035.JP.Equity,1.173792057,0.256922941,0.256922941
X01311036.JP.Equity,0.44227329,0.143726787,0.143726787
X01311037.JP.Equity,0.191336481,0.081053611,0.081053611
X01311091.JP.Equity,7.05444575,1.247248723,1.247248723
X0131202B.JP.Equity,0.903560318,0.249288544,0.249288544
X0131302A.JP.Equity,1.274475524,0.271014186,0.271014186
X02311043.JP.Equity,6.013816379,1.629676912,1.629676912
X02312043.JP.Equity,5.44402434,1.325505275,1.325505275
X03318114.JP.Equity,7.211079186,1.134584302,1.134584302
X0431110A.JP.Equity,9.560757706,1.164445683,1.164445683
X22319072.JP.Equity,2.225553755,1.660240509,1.660240509
X35311049.JP.Equity,7.353443118,1.489756074,1.489756074
X4731609A.JP.Equity,9.642173876,1.576524081,1.576524081
X4731709A.JP.Equity,8.085009975,1.774262639,1.774262639
X4731809A.JP.Equity,8.757608899,1.166162256,1.166162256
X4731909A.JP.Equity,12.48193414,1.401100216,1.401100216
X4731A09A.JP.Equity,11.20121416,1.23889488,1.23889488
X5831109B.JP.Equity,8.214080161,1.069938961,1.069938961
X5831113A.JP.Equity,7.554265356,1.494712653,1.494712653
X5831209B.JP.Equity,8.636295033,1.155635219,1.155635219
X58312104.JP.Equity,13.708,1.459952669,1.459952669
X5831213A.JP.Equity,3.968865549,0.941416385,0.941416385
X58313104.JP.Equity,13.28097338,1.322974618,1.322974618
X5831313A.JP.Equity,1.601824042,0.917539104,0.917539104
X58314104.JP.Equity,5.909819093,1.215703131,1.215703131
X5AC9451.KS.Equity,10.82584424,2.253747948,2.253747948
X7AB6437.KS.Equity,2.717309029,1.973359722,1.973359722
X7AB6445.KS.Equity,67.46797753,1.703107749,1.703107749
X7AB6510.KS.Equity,2.722251868,1.968785093,1.968785093
X87311023.JP.Equity,2.09495596,1.431764047,1.431764047
X9A44610.KS.Equity,3.7508292,1.093762665,1.093762665
X9A51011.KS.Equity,4.849564287,1.137060368,1.137060368
X9AA1581.KS.Equity,2.677515263,1.72502369,1.72502369
X9AC4963.KS.Equity,1.658767071,1.986477913,1.986477913
X9AC5127.KS.Equity,1.587400504,1.993268066,1.993268066
ALPHOPP.US.Equity,Inf,1.190870425,1.190870425
AMETHARB.CN.Equity,Inf,6.215715265,6.215715265
ASATARV.US.Equity,0.456214259,1.017712736,1.017712736
BCCREDV.US.Equity,6.035355583,7.238406925,7.238406925
BLUELEP.US.Equity,0.719595376,5.65349711,5.65349711
BRELFII.US.Equity,Inf,Inf,Inf
BVDFX.US.Equity,1.178964274,1.622250645,1.622250645
CADTX.US.Equity,1.876069796,1.846566512,1.846566512
CASTCRH.US.Equity,Inf,1.726563301,1.726563301
CCPTRNI.US.Equity,Inf,25.59592352,25.59592352
CDRINVI.US.Equity,41.33809524,1.742619829,1.742619829
CENAX.US.Equity,1.002234776,1.74247012,1.74247012
CLFLX.US.Equity,1.911201102,1.632931961,1.632931961
CONCIS2.KY.Equity,54.51851852,2.726626016,2.726626016
CONCISP.US.Equity,68.04545455,2.769622528,2.769622528
CRCAAAB.KY.Equity,Inf,3.937141355,3.937141355
CRSTFND.US.Equity,0.721712538,1.437504481,1.437504481
DFAPX.US.Equity,0.888038663,1.901447146,1.901447146
EADDX.US.Equity,3.580994251,2.424002264,2.424002264
EJFINCO.US.Equity,31.45652174,1.992773261,1.992773261
FAUDX.US.Equity,17.03707743,4.428978244,4.428978244
FHYSX.US.Equity,18.76504027,2.012247443,2.012247443
FPCIX.US.Equity,1.808736718,2.172925315,2.172925315
FPIOX.US.Equity,57.42807018,1.501257528,1.501257528
FRAFRBI.ID.Equity,66.74825175,1.498602678,1.498602678
FTFINOP.US.Equity,41.32432432,1.068500463,1.068500463
GMCOX.US.Equity,0.84670985,1.601640766,1.601640766
GOUSLIV.ID.Equity,41.45776348,2.131975085,2.131975085
GUGGUSL.ID.Equity,774.1506849,5.727413682,5.727413682
GUGUL3E.ID.Equity,43.38510445,3.777462406,3.777462406
GUGUSII.ID.Equity,29.73099415,4.993657984,4.993657984
HILLAIR.US.Equity,2.188244514,8.069184953,8.069184953
HORCRLP.US.Equity,6.975783123,0.663097488,0.663097488
HORMDLP.US.Equity,3.824418895,0.743444017,0.743444017
KWKPART.US.Equity,90.42857143,25.04795181,25.04795181
LHYF001.US.Equity,3.08981635,1.709505227,1.709505227
MARSCLP.US.Equity,Inf,2.283020528,2.283020528
MEMOROU.US.Equity,2.950134097,1.463319166,1.463319166
METAMOR.KY.Equity,2.397468045,1.229085955,1.229085955
METARRF.KY.Equity,2.184367393,0.803190569,0.803190569
MOHICAN.US.Equity,Inf,1.69680552,1.69680552
NEXLTRF.US.Equity,0.346074919,2.662826797,2.662826797
PALSDOM.US.Equity,6.056390707,1.169233682,1.169233682
PENNCON.US.Equity,3.693811075,0.891052923,0.891052923
RIROLOV.US.Equity,Inf,1.953125,1.953125
SAIAX.US.Equity,1.163174496,1.572846483,1.572846483
SPMD2LP.US.Equity,Inf,2.664084178,2.664084178
SPMDPLT.KY.Equity,Inf,2.706944661,2.706944661
SRTTX.US.Equity,1.651239456,2.363074702,2.363074702
STDVMBS.ID.Equity,Inf,13.75100478,13.75100478
SUMCORE.US.Equity,Inf,2.371761729,2.371761729
THHYX.US.Equity,4.199457434,2.079938754,2.079938754
TRANQFD.US.Equity,Inf,1.285092587,1.285092587
TUIFX.US.Equity,3.680131346,1.7936249,1.7936249
UDDEVED.RU.Equity,0.560167459,2.135998883,2.135998883
UOBUSHY.TB.Equity,33.90490196,1.425657402,1.425657402
USHIYFA.TB.Equity,33.79446254,1.425645401,1.425645401
VARADA1.KY.Equity,Inf,19.51759259,19.51759259
VENAINF.CN.Equity,71.08794198,1.713876661,1.713876661
VOYAMIF.ID.Equity,5.105633803,2.873016037,2.873016037
WAFFDLP.US.Equity,9.489111111,10.70885172,10.70885172
WHASOPU.US.Equity,Inf,1.934245803,1.934245803
ZAISCDO.KY.Equity,137.0463576,1.677375069,1.677375069
ZAISCLP.US.Equity,128.0807453,1.658584544,1.658584544
