"","x"
"1",1587.86143331643
"2",1622.0783345619
"3",1494.07658895449
"4",1455.72027533204
"5",1459.42947519248
"6",1438.31533918844
"7",1485.13551799303
"8",1525.9828609377
"9",1470.53173317637
"10",1465.19766214156
"11",1495.75165031686
"12",1409.51562901341
"13",1402.48080432236
"14",1413.89346893182
"15",1484.929323986
"16",1472.44638090232
"17",1434.68992517892
"18",1379.82259445566
"19",1388.19933455123
"20",1382.85159145497
"21",1440.79550710039
"22",1514.13594318318
"23",1550.95830738276
"24",1558.06328144089
"25",1528.60129456037
"26",1551.59777360075
"27",1582.33289880651
"28",1568.84518624744
"29",1560.4827840286
"30",1559.11998950683
"31",1535.28402554658
"32",1552.44888231972
"33",1565.87304774815
"34",1579.95545433318
"35",1555.03163643951
"36",1536.51793674728
"37",1591.43981340591
"38",1569.10075723713
"39",1523.07753256983
"40",1507.7289812497
"41",1431.46093997567
"42",1426.09618558231
"43",1415.7884573586
"44",1381.18836735734
"45",1398.60121194962
"46",1421.20111479363
"47",1448.1726009364
"48",1483.92521016659
"49",1504.83336054961
"50",1479.4032036939
"51",1484.29166716649
"52",1470.63385179564
"53",1497.7391716669
"54",1496.75299416243
"55",1435.54228929357
"56",1452.9274390665
"57",1389.26679221498
"58",1443.29608146138
"59",1425.36790179147
"60",1426.96085962991
"61",1405.56601942474
"62",1388.9288330805
"63",1394.97867466684
"64",1425.12093556369
"65",1389.13032064372
"66",1364.67457010332
"67",1398.08738131093
"68",1458.169007676
"69",1451.43653885142
"70",1503.57859564998
"71",1585.29651387848
"72",1583.96967332118
"73",1565.02473952106
"74",1550.33084107861
"75",1615.10250304748
"76",1614.58751866629
"77",1670.75149959517
"78",1627.10954148443
"79",1603.5609601966
"80",1648.33831950635
"81",1636.50089087431
"82",1648.08857820501
"83",1681.72038127983
"84",1624.21483564287
"85",1587.20768005835
"86",1644.4946607594
"87",1692.83329228798
"88",1689.58541015429
"89",1659.91638048378
"90",1646.12951406312
"91",1690.14939032373
"92",1642.46516262956
"93",1639.92858348757
"94",1688.87969288732
"95",1742.18759027984
"96",1751.45234857463
"97",1755.63520151308
"98",1790.3955900848
"99",1830.27084943812
"100",1828.89568398748
"101",1884.53083566532
"102",1806.53051875281
"103",1759.14175498815
"104",1821.51780744408
"105",1774.27419624746
"106",1780.57469399367
"107",1652.02524254343
"108",1725.37355149728
"109",1727.92077858391
"110",1721.57937138617
"111",1700.95748043105
"112",1747.62678371207
"113",1737.98618094809
"114",1701.43809152159
"115",1620.4498954473
"116",1565.19133028879
"117",1554.61213794318
"118",1622.36397901116
"119",1549.52235971577
"120",1531.06025299731
"121",1474.85051386265
"122",1372.92067847527
"123",1386.48785163584
"124",1400.32248386738
"125",1454.25927068848
"126",1483.82359981322
"127",1502.61856786866
"128",1449.25904192476
"129",1407.34011937329
"130",1424.80494321338
"131",1499.15872303551
"132",1488.60603110948
"133",1418.17808471346
"134",1503.92301979013
"135",1490.82559630981
"136",1521.92454575233
"137",1508.60584833813
"138",1495.4039733553
"139",1480.79312379327
"140",1443.24451898558
"141",1464.21663327123
"142",1514.49848662604
"143",1567.43683174662
"144",1596.80557923134
"145",1575.61595209911
"146",1595.96775122013
"147",1525.63571764028
"148",1538.08485159539
"149",1439.4155843894
"150",1427.98035833571
"151",1447.93030557483
"152",1447.92197527449
"153",1394.79036615819
"154",1452.15150127725
"155",1438.24759895955
"156",1469.40664956422
"157",1493.47875391958
"158",1499.20476586215
"159",1537.92378047682
"160",1508.70025163571
"161",1540.54839448428
"162",1581.41440055509
"163",1583.25249998388
"164",1509.36674685777
"165",1478.12324458692
"166",1423.14373180051
"167",1415.80005065972
"168",1355.38932404497
"169",1350.32608181476
"170",1361.46144753433
"171",1436.27819691222
"172",1430.95719819916
"173",1443.03038095226
"174",1449.80252925101
"175",1426.20653792839
"176",1463.87453185503
"177",1441.59673567054
"178",1451.96119024314
"179",1422.30997999544
"180",1435.52552703972
"181",1460.13071474031
"182",1443.91667616724
"183",1363.27677205323
"184",1396.45674652379
"185",1398.13496923377
"186",1393.04199408114
"187",1439.67850474532
"188",1425.83526267221
"189",1400.65513173872
"190",1355.69926816164
"191",1347.16349505057
"192",1360.64821907042
"193",1361.53943419486
"194",1413.54853654586
"195",1424.56078763678
"196",1444.56647521103
"197",1454.41967091213
"198",1450.5737199392
"199",1443.87878575288
"200",1437.84714986341
"201",1497.51996633404
"202",1515.88088963043
"203",1550.0488001673
"204",1554.05202559387
"205",1534.63378941219
"206",1545.53547469138
"207",1523.13459945586
"208",1537.58894711234
"209",1519.62115912348
"210",1541.21428996665
"211",1512.97419913405
"212",1512.60949561636
"213",1543.1217306368
"214",1571.99932073954
"215",1565.82309644412
"216",1565.92589611761
"217",1564.95708060668
"218",1538.37412498081
"219",1543.17349641897
"220",1499.43464455796
"221",1512.63690581483
"222",1532.32871029706
"223",1541.67725444277
"224",1543.39231039813
"225",1562.30413646257
"226",1549.597002061
"227",1528.2627153676
"228",1519.96469890305
"229",1500.43301510325
"230",1482.23927723465
"231",1508.40924002711
"232",1527.83105940806
"233",1528.38899134386
"234",1516.30329535146
"235",1500.30747609749
"236",1515.02439341344
"237",1509.41516832464
"238",1490.4723082052
"239",1529.71572516833
"240",1540.47201391587
"241",1543.4670950538
"242",1554.47411111643
"243",1558.74250846764
"244",1543.66999048243
"245",1528.22573981178
"246",1493.22298980291
"247",1464.58934181113
"248",1482.93378239489
"249",1384.63737111889
"250",1455.51746123801
"251",1457.42571003387
"252",1467.12732373889
"253",1474.26768759939
"254",1471.71269437452
"255",1471.35712928287
"256",1494.48523114027
"257",1512.20289155374
"258",1543.49893723451
"259",1515.60804814108
"260",1528.90073814258
"261",1505.22500159757
"262",1502.17526779145
"263",1484.4969361557
"264",1481.84866795743
"265",1490.43983070719
"266",1531.68814625285
"267",1572.27590807726
"268",1564.71756031867
"269",1571.95264259559
"270",1565.25932466068
"271",1577.83020095664
"272",1599.20581895322
"273",1636.04505213947
"274",1655.21298285772
"275",1653.37783639053
"276",1626.29838162156
"277",1665.3828011468
"278",1701.97696389791
"279",1659.63295712538
"280",1638.45225495353
"281",1669.41617626781
"282",1643.46509860973
"283",1657.86781771483
"284",1642.63264793725
"285",1627.55640444233
"286",1552.84041663486
"287",1552.07389681287
"288",1587.48296118384
"289",1559.19612613172
"290",1517.57407537515
"291",1486.58772984743
"292",1470.8925790533
"293",1405.46317401435
"294",1418.5616851616
"295",1358.9653102553
"296",1313.30741934336
"297",1421.61299964153
"298",1367.73237500723
"299",1432.3998294372
"300",1415.60107896751
"301",1432.34725044968
"302",1452.62018362925
"303",1429.13560182167
"304",1471.43279321946
"305",1491.83745086923
"306",1604.99135773656
"307",1664.28115825981
"308",1705.2446933982
"309",1680.26035757037
"310",1708.55011000649
"311",1662.39775805451
"312",1758.34333708926
"313",1813.82079246179
"314",1813.3171218405
"315",1809.38601272885
"316",1728.21847376356
"317",1816.9194458213
"318",1776.00585182766
"319",1767.41377421936
"320",1765.11969882495
"321",1762.80457150488
"322",1742.94491069995
"323",1710.03956169891
"324",1738.59550257139
"325",1767.52528538759
"326",1775.3664821832
"327",1797.52752709152
"328",1826.1359757963
"329",1814.67874738082
"330",1841.55049354453
"331",1794.87412551814
"332",1723.37259698985
"333",1694.56178144092
"334",1697.53370139492
"335",1633.50782244123
"336",1558.66453706614
"337",1571.42245631577
"338",1633.77815823894
"339",1696.42992383132
"340",1679.63314030949
"341",1711.58608535701
"342",1683.94792610414
"343",1701.52310736996
"344",1681.50578583733
"345",1639.64517030854
"346",1628.46060041472
"347",1507.75786540925
"348",1516.58531086454
"349",1555.71418746298
"350",1544.88507592798
"351",1515.05996620359
"352",1457.33465615132
"353",1502.63849149021
"354",1451.65222200102
"355",1431.96287239388
"356",1513.41227946208
"357",1529.95436619551
"358",1610.00095365099
"359",1549.08981941574
"360",1537.71198552621
"361",1622.18557641709
"362",1660.61235960509
"363",1631.42703629716
"364",1622.56191389316
"365",1614.99457001897
"366",1659.85438862873
"367",1732.38261783898
"368",1682.43608577588
"369",1682.89922814005
"370",1709.26544346743
"371",1742.90737098204
"372",1797.98803161291
"373",1816.68533336998
"374",1849.79185481541
"375",1802.38316236965
"376",1850.12608336055
"377",1841.89898881117
"378",1850.93199803584
"379",1864.69496630208
"380",1880.8968779099
"381",1838.68529700044
"382",1874.9970681438
"383",1868.53008636268
"384",1889.19914338899
"385",1914.80355041784
"386",1931.33080626767
"387",1934.00300819797
"388",1961.73053902649
"389",1973.23381026861
"390",1988.52757168975
"391",1946.27293649287
"392",1957.6376574034
"393",2023.34801568672
"394",2030.46912176103
"395",2069.42385491915
"396",2024.68230218379
"397",1982.74499604741
"398",1988.09024361132
"399",2004.27018843497
"400",1993.27557887882
"401",2019.87020404068
"402",1973.37244701445
"403",1991.45790621765
"404",2011.17371558713
"405",2010.24525044529
"406",1963.80186146639
"407",1959.92996915632
"408",2008.72978118086
"409",1972.94265634958
"410",2034.19430624758
"411",2063.08813509932
"412",2090.69807094837
"413",2062.4243437956
"414",2059.94740838648
"415",2046.70912200993
"416",2039.22095919602
"417",2041.86553746219
"418",1981.1519619741
"419",1980.23273691149
"420",2030.88818316677
"421",2058.48975313787
"422",2076.90153243753
"423",2022.73411979085
"424",2036.79424447287
"425",2040.81307333114
"426",1995.21841443099
"427",2019.38196912233
"428",2050.76690353117
"429",2055.63765431376
"430",2069.08455907447
"431",2125.87367342426
"432",2155.33492333429
"433",2122.1509082352
"434",2096.06065000787
"435",2107.22276011063
"436",2118.05411813471
"437",2164.17209679603
"438",2184.28079750942
"439",2199.74237459601
"440",2229.7103141645
"441",2232.56755652301
"442",2203.41041596166
"443",2228.09173010775
"444",2222.60800844711
"445",2239.60670138382
"446",2250.02904112745
"447",2292.54055352625
"448",2332.03898747627
"449",2308.46474947217
"450",2313.14814218226
"451",2213.28400285278
"452",2261.1747142545
"453",2343.25803739357
"454",2328.17420056881
"455",2315.45462408315
"456",2286.59091442788
"457",2257.95916222874
"458",2186.32731201601
"459",2189.08480931581
"460",2245.86242693801
"461",2338.49394394531
"462",2347.11606959485
"463",2348.10235383215
"464",2326.73172690024
"465",2208.12403968069
"466",2243.7301647123
"467",2278.25602914033
"468",2354.65432094358
"469",2318.31829586971
"470",2233.90434871171
"471",2259.58311854457
"472",2112.72897713994
"473",2162.91551741828
"474",2149.35688294404
"475",2209.027625734
"476",2267.3822826441
"477",2271.79259498088
"478",2285.91401014515
"479",2271.0019279612
"480",2296.20465591654
"481",2258.36747403666
"482",2266.92472092503
"483",2237.53945515007
"484",2203.30445494056
"485",2202.97865834893
"486",2196.56871803553
"487",2233.95498616969
"488",2248.50102812576
"489",2245.54551972917
"490",2212.36209929014
"491",2238.4321797931
