"","AAASYWB.KY.Equity","ACAKITO.KY.Equity","AESOPHK.KY.Equity","AHPACOB.KY.Equity","AISMERC.KY.Equity","AJAOPAR.KY.Equity","AKABONA.KY.Equity","AKAMFDA.KY.Equity","ALASOPP.KY.Equity","ALCINDA.KY.Equity","ALLIVFD.AU.Equity","ALTACIF.MP.Equity","APEXGCE.US.Equity","APSASPH.KY.Equity","APSCHIA.KY.Equity","APSCHIN.KY.Equity","ARASALP.KY.Equity","ARCJVAB.KY.Equity","ARMACRO.KY.Equity","ARNASIA.KY.Equity","ASCREHA.KY.Equity","ASEASCF.KY.Equity","ASUKTII.KY.Equity","ATCHSTA.KY.Equity","ATHASIE.SP.Equity","ATLRIVR.KY.Equity","CAMAMAP.KY.Equity","CAMCCGA.KY.Equity","CAMGCSM.KY.Equity","CCASIAU.KY.Equity","CCIOIGF.KY.Equity","CDIFORD.VI.Equity","CEASOPP.AU.Equity","CHCIMPE.KY.Equity","CHEAGLE.KY.Equity","CHINABS.KY.Equity","CLARCOB.BH.Equity","CMCHCSF.KY.Equity","CMSPRGS.KY.Equity","CMTFGRC.KY.Equity","CNALPHA.KY.Equity","CSVCHNO.VI.Equity","DALAOFF.KY.Equity","DALGCHI.KY.Equity","DBDHAAB.KY.Equity","DORASPS.KY.Equity","DRAGALT.KY.Equity","EDAF001.KY.Equity","ENAMIND.KY.Equity","EPICJPF.KY.Equity","EUPIRAQ.KY.Equity","EVENSTR.KY.Equity","EWADVJM.KY.Equity","FMGMONA.BH.Equity","FORASMA.KY.Equity","FOUCHOP.KY.Equity","FRTNHDG.KY.Equity","GAAOPPO.KY.Equity","GAMCOFA.KY.Equity","GBAMBOO.KY.Equity","GHKNCVF.KY.Equity","GLDCHPL.KY.Equity","GLXCDVA.KY.Equity","GOLDCHI.KY.Equity","GREASHI.KY.Equity","GRECVPD.MV.Equity","GRNDRGN.KY.Equity","GRSPOPA.KY.Equity","HADOHV1.VI.Equity","HARMFDR.KY.Equity","HARUSFD.KY.Equity","HJELSFJ.KY.Equity","HKPTRLP.US.Equity","INDMAXG.MP.Equity","INDSMLI.MP.Equity","INFCOPP.KY.Equity","IONISRL.KY.Equity","IVMAOPP.KY.Equity","JAPCHLP.US.Equity","K2AARFA.AU.Equity","KAMWANG.KY.Equity","KARSTAR.US.Equity","KINGSMD.KY.Equity","KISCUSD.KY.Equity","KISGLMS.AU.Equity","KKSPCFA.KY.Equity","KMEFUSD.KY.Equity","KNIASPR.VI.Equity","KOMOFUN.KY.Equity","LBNCHPO.KY.Equity","LEGCHNA.KY.Equity","LHASTRF.KY.Equity","LIMJAPA.KY.Equity","LUASVAL.KY.Equity","LYNASIA.KY.Equity","MIDASEQ.KY.Equity","MNJAPAR.KY.Equity","MQASALA.AU.Equity","MQASLSF.KY.Equity","MWJDA2U.ID.Equity","MWJMA1U.ID.Equity","NAVASIA.KY.Equity","NAVYILD.KY.Equity","NEWHBAS.KY.Equity","NHINDIA.MP.Equity","NORASXD.KY.Equity","NTADUSA.KY.Equity","NTASIAN.KY.Equity","OCMFUND.KY.Equity","OCTAPAF.KY.Equity","OPTJAPT.AU.Equity","OPTPJAI.BH.Equity","OZASIAM.KY.Equity","PANGOLN.KY.Equity","PANNOTI.VI.Equity","PASINLD.KY.Equity","PASINLP.US.Equity","PELAALA.NA.Equity","PENASEF.AU.Equity","PENASEU.KY.Equity","PHALJAM.US.Equity","PPASIAS.KY.Equity","PPCHINA.KY.Equity","PRABRHY.KY.Equity","PRUENHN.KY.Equity","PSAARFL.KY.Equity","PXPVEEF.KY.Equity","QDSPJPA.KY.Equity","QIEFMLB.MP.Equity","QUACHFA.KY.Equity","QUPANEF.VI.Equity","REALRTA.ID.Equity","REGCADY.KY.Equity","RMBJOPP.US.Equity","ROCIMAS.KY.Equity","RVCCLSA.KY.Equity","RVCUSCA.KY.Equity","SECZENU.ID.Equity","SENTCAP.KY.Equity","SENTCRE.KY.Equity","SENVISR.US.Equity","SERICAB.KY.Equity","SMCCNMI.KY.Equity","SPALSAI.BH.Equity","SPASJFA.KY.Equity","SPCHOPA.KY.Equity","SPGRCHC.KY.Equity","SPHERAN.VI.Equity","SPHRILS.VI.Equity","SRGJPPH.KY.Equity","START22.KY.Equity","STEVJPY.GU.Equity","SVGRCMN.KY.Equity","TANTALF.KY.Equity","TELLGNT.KY.Equity","TICHVIA.KY.Equity","TK5YRGA.CH.Equity","TKFUNDS.CH.Equity","TKPROST.CH.Equity","TKYJULB.CH.Equity","TKYJULS.CH.Equity","TOCCATA.KY.Equity","TROPHY1.KY.Equity","TTJPFJP.KY.Equity","UGFMSTA.KY.Equity","UGHDSOA.KY.Equity","UMJKOTA.KY.Equity","VAPAHED.KY.Equity","VERAIUS.ID.Equity","VISFICH.KY.Equity","VITCHBA.KY.Equity","WFASREC.KY.Equity","WFASSCF.KY.Equity","WYCAASV.KY.Equity","YECYOSP.KY.Equity","ZEALCHI.KY.Equity","ZENUSOF.KY.Equity"
"1",0.027732,0.009523,0.04153,0.009126,-0.07982,0.051623,0.02419,-0.001103,0.044447,0.157482,0.034635,0.045707,0.0236,0.022914,0.034865,0.026855,0.056213,0.013788,0.023317,0.056675,0.021672,-0.038216,0.028535,0.015557,0.041362,0.077012,0.047715,0.025213,0.040475,NA,0.038587,0.05075,0.048329,0.018516,0.043583,-0.026015,-0.000525,0.034457,0.061609,0.035925,-0.037094,0.046723,0.039897,0.064,0.014522,0.044573,0.025637,0.00353,0.14564,-0.004772,0.026025,0.02084,-0.024422,-0.025528,0.020903,0.068056,0.04635,0.047147,0.031237,0.137995,0.109205,-0.021199,-0.006007,0.0049,0.025904,0.057198,0.001709,0.007723,0.0244,0.03801,0.034814,0.016511,0.026966,0.141936,0.155063,0.044286,-0.008736,0.070087,0.012996,0.048924,0.028068,0.14571,0.059738,-0.005959,-0.001896,0.012678,-0.004675,0.034677,0.03663,-0.017813,0.055305,0.00315,0.015872,0.034105,0.049544,-0.01212,0.001852,-0.007471,-0.011,0.003266,0.001568,0.040349,0.071202,0.058454,0.120341,-0.016152,0.078589,0.07844,0.022612,0.023701,0.011719,0.02331,0.011,0.002291,0.012772,0.1227,0.1164,0.018079,0.008756,0.00629,-0.0082,0.003734,0.017097,0.042,0.008314,0.069777,-0.037369,-0.036623,0.133933,0.081555,0.041058,0.02423,-0.012791,0.0187,0.059866,0.039268,0.039268,0.010409,0.013157,0.013157,0.0743,0.013303,0.048457,0.008696,0.014729,0.04861,0.045514,0.014693,0.014248,0.027314,0.012488,0.042779,-0.005858,0.0581,0.0274,0.055525,0.00777,0.018737,0.033485,0.024811,0.002093,0.016942,0.073171,-0.001565,-0.001705,0.005199,0.042908,0.006316,0.008358,0.041262,-0.034526,0.059119,0.080437,0.02581,-0.020122,0.035706,0.013498
"2",0.013653,0.012001,0.026809,0.01006,0.008513,0.017208,0.029036,-0.006843,0.023852,-0.030499,0.017288,-0.001655,-0.0101,0.023358,-0.015897,0.018359,0.01247,0.058154,0.012161,0.010656,0.014434,-0.01886,0.001824,0.030802,-0.001844,-0.018185,0.003247,0.015944,0.011711,-0.005131,0.030552,0.015198,0.000288,0.013378,0.060418,0.002137,-0.00055,0.039995,0.052881,0.0451,-0.014869,0.023314,-0.006498,-0.003,0.020503,0.005235,0.026689,0.007328,-0.005216,0.000879,0.048757,0.007345,0.000207,-0.047988,0.0201,0.03381,0.061385,0.070931,0.006221,0.066795,0.042325,0.051022,0.006356,-0.000398,-0.017052,0.02539,-0.018771,0.070629,0.0095,0.097649,0.090476,0.004076,0.037055,-0.016949,-0.03556,0.027225,-0.022841,0.032185,-0.013001,0.038961,-0.01734,-0.01388,0.077496,0.010417,0.0139,0.011254,-0.043667,-0.048913,0.029327,-0.002702,0.065247,0.003439,0.013435,0.031629,0.021054,-0.002968,0.001438,0.009258,0.0084,0.016864,0.006386,0.004034,-0.00517,0.018383,-0.006366,-0.009486,0.026121,0.026594,0.029645,-0.00798,0.003861,-0.005374,-0.0066,0.031907,0.043652,-0.0303,-0.0344,-0.004819,-0.008228,-0.010813,-0.0187,0.01755,0.027397,-0.030199,0.018894,-0.003388,0.005952,-0.029842,-0.03827,0.000985,0.009783,0.007364,0.011412,0.0022,0.039193,0.033017,0.033017,0.009342,0.015924,0.015924,-0.0317,0.006608,0.008062,-0.005651,0.005198,-0.044269,0.037427,0.012454,0.011854,0.009168,0.019666,0.059162,0.035152,0.0095,0.009401,0.048374,0.005686,0.012828,0.015104,-0.010873,0.007239,0.027682,0.072058,-0.000431,-0.012124,-0.00728,0.013184,-0.017085,0.012892,0.070217,-0.00298,-0.005447,0.018871,0.014845,-0.01578,0.023262,0.015166
"3",-0.022378,0.00171,0.034785,0.008185,-0.020112,0.027429,0.043799,0.007187,0.039154,0.089481,0.00197,0.000535,0.0231,-0.001815,-0.041628,-0.044215,0.021075,0.049956,-0.012497,0.017933,0.021391,-0.007612,0.007151,-0.009668,0.033063,0.041904,-0.003668,0.030625,0.023286,-0.018483,0.0327,0.012551,0.032453,0.032946,-0.007653,-0.009595,-0.000525,0.017679,0,-0.009385,0.023123,0.078467,0.035603,0.066799,-0.001943,0.037489,0.029618,0.000776,0.070304,-0.000479,0.083677,0.004801,0.003413,-0.032645,0.0358,0.001192,0.040495,0.022689,-0.019661,0.068639,0.041204,0.05926,-0.053382,0.050174,-0.00065,0.018989,0.031304,0.006285,0.0265,0.164601,0.153889,0.023147,0.012577,0.074713,0.04743,0.024975,0.02538,0.037723,0.035001,0.01997,0.048182,0.07978,0.043649,-0.005714,-0.0013,0.012145,-0.248863,-0.049048,0.003546,0.008817,0.032732,0.004321,0.008038,0.01893,0.024559,-0.007244,0.010668,0.00823,0.0057,0.012468,-0.002603,0.021323,0.014105,0.033018,0.131114,0.001345,0.034446,0.034541,0.071221,0.017181,0.017308,0.03638,0.0103,-0.00434,-0.002582,-0.0561,-0.0588,0.012628,0.020786,0.01839,0.0301,0.010348,-0.006238,-0.0269,0.021092,0.055097,-0.024698,-0.015086,0.017905,0.066705,0.023206,0.017031,0.102603,0.0011,0.031059,0.013962,0.013962,0.027258,0.01101,0.01101,0.025,0.020617,-0.035128,0.017548,0.021173,-0.087988,-0.004498,0.022262,0.024288,0.082154,0.030388,0.038108,-0.021583,0.0281,0.022598,0.011034,0.002013,-0.058391,-0.154191,-0.06185,-0.002419,0.023008,0.109121,0.00455,-0.00812,-0.016234,0.00501,0.037957,0.051457,-0.009263,-0.011717,0.045666,0.050337,-0.011417,0.005845,0.035413,0.036744
"4",0.065741,0.014261,0.048068,0.008308,0.014782,0.032577,0.084123,0.021701,0.038137,0.008808,0.01952,-0.027472,0.0729,0.035704,0.157925,0.211648,0.021845,0.102692,0.066923,0.018042,0.018966,0.109277,0.02685,0.068737,0.015621,0.134331,0.015018,0.040723,0.019693,0.031199,0.048327,0.040373,0.028364,0.040961,0.088962,0.048439,-0.00053,0.069035,0.077785,0.075368,0.065759,0.034805,-0.010599,-0.0014,0.013716,0.065217,0.031653,-0.003683,0.019667,0.005991,0.083886,0.021021,0.025665,0.074088,0.0366,0.081531,0.048305,0.056281,0.213888,0.063597,0.066816,0.102015,0.209585,0.092047,-0.021781,0.05395,0.016863,0.052689,0.073,0.385557,0.361267,-0.015818,0.031627,0.010695,0.050222,0.044257,0.002412,0.029628,0.086003,0.060006,0.037431,0.00889,0.127052,0.0095,0.0117,0.015782,0.082102,0.076615,0.002409,0.043708,0.061682,0.004525,0.015353,0.047846,-0.014514,0.019192,0.013092,-0.004761,-0.0069,0.037797,0.001386,0.020878,0.04978,0.017836,0.015636,0.020118,0.051704,0.051849,0.047442,0.018942,0.060492,0.061378,0.0248,0.020022,0.062435,-0.006,-0.0101,-0.005256,0.020273,0.017073,0.0358,0.01789,0.037127,0.0019,0.039025,0.017257,0.091269,0.073006,0.009672,0.018161,0.029312,0.021685,0.048446,-0.0038,0.033351,0.011486,0.011486,0.113915,0.010613,0.010613,0.002,0.013844,0.13059,0.057322,0.064112,0.141059,0.03439,0.004433,0.003386,0.165627,0.0669,0.198414,NA,0.045,0.011702,0.026655,0.004591,0.098012,0.164865,0.114748,0.014548,0.04815,0.377389,0.006868,0.043335,0.07097,-0.009525,-0.002734,0.047611,0.078062,0.000484,0.017918,0.016712,0.00805,0.074867,0.019302,0.014907
"5",0.057919,0.054995,0.092564,0.002932,0.028168,0.06965,0.092203,0.043344,0.04341,-0.024937,0.016748,0.026757,0.0158,0.043571,0.04689,0,0.047513,0.111262,0.027834,0.040861,0.011039,0.064619,0.044875,-0.03397,0.012048,0.109772,-0.005597,0.086026,0.054919,0.039769,0.066327,0.045462,0.044854,0.089507,0.040822,0.025667,-0.008225,0.062362,0.057116,0.054039,0.071225,0.044879,0.0564,0.075,0.013197,0.054716,0.107837,0.026556,0.023784,0.028826,0.014832,0.023414,0.070244,-0.013964,0.0185,0.058144,0.078744,0.037374,0.072157,0.058748,0.048114,0.059624,0.071891,0.09809,0.0079,0.069478,0.05141,0.006653,0.0523,-0.119744,-0.117456,0.073342,0.036916,-0.005291,0.04491,0.060952,0.048597,0.043061,0.100237,0.043003,0.061457,0.0031,0.057286,-0.0129,-0.0094,0.014398,0.05282,0.011628,0.015857,0.044552,0.101448,0.004062,0.034873,0.088319,0.068901,-0.014123,0.019585,0.052114,0.0504,0.039217,0.014349,0.02786,0.037657,0.014592,0.016338,0.063195,0.058528,0.060232,0.094635,0.032867,0.064171,0.038962,0.037,0.01232,0.020076,-0.0223,-0.0248,0.023941,0.01812,0.016248,0.0145,0.021802,0.053424,-0.1217,0.04214,0.023237,0.120619,0.09974,0.055561,0.211845,0.070229,0.022876,0.11097,0.0431,0.053618,0.031949,0.031949,0.046313,0.009862,0.009862,0.0676,0.008507,0.043689,0.071296,0.028823,0.071184,0.028846,0.019035,0.018995,0.154954,0.041249,0.084983,0.017507,0.0623,0.0686,0.060956,0.010092,0.041974,0.055143,0.051573,0.015022,0.016747,0.448365,0.024238,0.046811,0.062444,0.035309,0.072652,0.051395,0.050519,-0.004111,0.066231,0.072549,0.011295,0.02363,0.031414,0.037658
"6",0.029635,0.043328,0.021616,0.009048,0.003972,0.019397,0.061419,0.009247,0.018238,-0.100402,0.013659,-0.007084,0.0144,0.018403,0.008022,0.004042,-0.020044,0.017086,0.012219,-0.017603,0.009319,-0.011322,0.018159,-0.009455,0.019529,-0.044281,0.008547,-0.004184,-0.022211,0.025282,0.025616,0.007385,0.024667,-0.002023,-0.007466,-0.031031,0.001045,-0.029301,-0.028484,-0.009925,0.032634,-0.031606,0.003599,-0.0097,0.006464,-0.031382,0.011924,-0.000284,-0.118756,0.010266,0.056861,0.000605,0.068451,-0.05445,0.0018,0.052522,-0.00558,-0.006104,-0.053044,0.056324,-0.052309,-0.016374,-0.080279,-0.004743,-0.040597,-0.017266,0.050615,0.008916,0.0265,0.057166,0.05372,0.088856,0.032142,-0.058511,-0.082561,-0.008977,0.016684,0.010761,0.019,0.021021,0.011493,-0.08171,-0.021324,0.0213,0.022,0.007115,-0.054634,-0.007356,0.030535,0.042963,0.000893,0.00331,0.016651,0.038594,0.075974,0.02109,0.00226,0.022574,0.0207,-0.008978,-0.007907,0.020473,0.043011,0.00451,-0.041116,-0.007844,0.053057,0.053068,0.025876,0.010298,0.007538,0.018965,0.0042,0.021516,-0.015668,-0.1119,-0.1148,0.015336,0.00834,0.004658,0.0306,0.017857,0.027105,-0.0454,0.015257,0.039707,-0.020276,0.012643,-0.043983,0.004456,0.044496,0.017714,0.075909,0.0197,-0.004447,0.019131,0.019131,0.016519,0.008229,0.008229,0.0167,0.005953,-0.029026,0.027895,0.037703,0.055427,0.001793,0.018558,0.018039,0.043703,-0.002891,0.04616,0.024787,0.0597,0.013801,-0.016548,0.004241,-0.004668,0.010651,0.005398,0.005785,0.020932,0.00104,0.010492,-0.009679,-0.011608,0.019229,0.010863,0.008058,-0.037258,0.002914,0.001887,-0.008945,0.0154,0.032251,-0.013639,0.019176
"7",-0.022989,0.031961,-0.004505,0.004426,0.017102,-0.00416,0.106742,0.043829,0.040911,-0.052976,-0.020657,-0.001087,-0.0012,-0.014817,-0.030082,-0.05315,-0.031033,0.109862,0.00781,-0.026779,-9.1e-05,-0.014618,0.026636,0.00142,-0.002315,-0.074213,0.035036,0.010648,-0.034065,0.044284,-0.014218,-0.006984,-0.023566,0.010423,-0.012521,-0.008264,-3e-06,-0.044203,-0.04968,-0.058491,-0.029636,-0.038662,-0.0013,0.0271,0.010618,-0.015815,-0.01944,0.001706,-0.020049,0.01612,-0.005182,0.004919,0.027507,-0.082634,0.0077,-0.052811,-0.045562,-0.04269,-0.025084,-0.035605,-0.049454,-0.052895,-0.004533,-0.022875,0.010722,-0.028905,-0.013917,0.003405,0.0467,0.125989,0.119296,0.217382,-0.106608,-0.028249,-0.033488,-0.032156,0.00102,0.005807,0.067998,-0.000397,0.026905,0.02092,-0.014667,0.001804,0.005402,0.008935,-0.106814,0.057434,0.060692,-0.00647,-0.04216,0.003592,0.031085,0.006227,0.01763,-0.040238,0.015931,0.012308,0.0134,0.026752,0.010748,-0.007347,0.028995,0.002493,-0.004986,0.003158,0.050346,0.05069,-0.002521,0.00932,0.038238,0.061953,0.0158,0.037565,-0.058138,-0.1285,-0.1319,0.011631,0.006054,0.005692,0.0334,-0.010449,-0.005022,0.0566,0.017171,0.005185,0.040511,0.031796,-0.046227,0.001832,0.038894,0.031074,0.017607,0.0439,-0.027295,0.022782,0.022782,0.073233,0.001614,0.001614,0.0492,0.000707,-0.03899,0.088452,0.064256,0.013687,-0.039418,NA,0.021153,0.323389,0.022317,0.070498,0.025829,0.029,-0.001599,0.009467,0.010934,0.0033,-0.018315,-0.009146,0.009832,0.016918,-0.015433,0.003283,-0.053943,-0.087873,0.066567,0.017699,0.002063,-0.040594,0.016828,0.025821,0.039825,0.004421,0.067149,-0.048223,0.0086
"8",0.002487,0.060125,-0.000823,0.020094,0.078803,0.008875,0.133212,0.058758,0.021829,0.066702,0.008225,0.009524,0.0095,-0.0094,-0.008232,-0.00316,0.006132,0.113723,0.029544,0.005338,0.013896,-0.048295,0.092169,0.04963,0.031627,0.04853,-0.01594,0.004528,0.026304,0.0032,-0.012636,0.005951,0.062803,0.005253,-0.016875,0.020833,-3e-06,-0.024409,0.026322,-0.009687,-0.006039,0.007501,-0.003,-0.0025,0.011132,0.081126,0.018872,0.055924,0.071511,0.040677,0.019769,0.019088,0.063462,-0.074877,0.0425,0.023009,0.022465,-0.028008,0.016531,0.015364,-0.011225,0.063689,0.116903,0.024061,-0.072165,-0.000889,0.030252,0.00041,0.0335,0.127919,0.121828,0.202258,0.073549,0.011628,0.022362,0.030884,-0.024037,0.005774,0.059,0.032119,0.038883,NA,-0.048184,0.005496,0.008298,0.008122,-0.098187,-0.037232,0.005438,0.036407,0,0.003068,0.021071,0.025951,-0.002905,-0.024465,0.003136,0.03679,0.0346,0.062066,0.044233,0.044406,0.06387,0.020303,0.092981,-0.019,0.029515,0.029712,0.019313,0.019561,NA,0.107418,0.0485,0.027744,-0.030709,0.106,0.1036,0.003665,0.013052,0.01059,0.0278,0.012645,0.016428,-0.0133,0.029238,0.042123,0.005925,0.153114,0.041339,0.010998,0.016929,0.026036,-0.124824,0.0637,0.022959,0.016539,0.016539,0.060471,0.011372,0.011372,-0.0661,0.004876,0.005114,0.069425,0.068753,-0.022413,0.013521,0.028483,0.006473,-0.074276,0.214253,0.128247,0.015104,0.0362,0.0343,0.006285,0.003899,0.002857,-0.018966,-0.009365,0.002384,0.03487,0.457649,0.045492,0.013831,0.01051,0.108337,-0.00528,0.004561,-0.027337,-0.002857,0.024642,0.037261,0.036121,0.041361,0.000834,0.023623
"9",0.04055,0.07547,0.073767,-0.000682,0.055303,0.050247,0.013694,0.007734,-0.010429,-0.019866,0.062768,-0.025507,0.1099,0.03888,0.078705,0.050029,-0.004213,-0.022723,0.05341,-0.003616,-0.005938,0.098004,-0.012699,0.023341,-0.026331,0.074661,0.045441,0.021969,0.041879,0.010981,0.022494,0.028598,0.054859,0.034964,0.029964,0.07551,-2e-06,0.0248,0.00501,-0.002425,0.021177,0.037158,0.036097,0.0605,0.001798,-0.002477,-0.000934,-0.056546,-0.002551,0.02955,0.049284,0.028805,0.051713,-0.040469,0.0447,0.034616,0.053953,0.000644,-0.005457,0.036823,0.052007,0.079725,-0.005492,0.049532,-0.039392,0.011365,0.043314,-0.013516,-0.0079,0.130842,0.133166,-0.026912,0.083191,-0.045977,-0.03468,0.044031,0.036246,0.024684,0.005,0.023805,0.133233,NA,0.016543,0.023301,0.03,0.006565,-0.121161,-0.001365,-0.005012,0.075437,0.054935,0.003568,-0.009418,0.044557,0.034446,0.010406,0.02376,-0.012484,-0.0142,0.002583,0.00141,-0.014445,-0.040612,0.0035,0.002668,0.028237,0.020971,0.021031,0.057204,0.002499,0.08727,-0.013473,-0.0088,0.058267,0.027429,-0.0147,-0.0181,-0.007864,0.016314,0.004968,0.0372,-0.015384,0.016337,-0.0312,0.013872,0.061228,0.059318,-0.049671,-0.047922,0.160328,9.3e-05,-0.005104,0.196063,-0.0252,0.017456,0.003442,0.003442,-0.009107,0.000531,0.000531,0.0617,-0.002282,0.074337,0.004091,0.030982,0.135834,0.009632,0.023304,0.021814,-0.026104,0.02714,-0.054631,0.022351,-0.0388,0.030101,0.034131,0.008,0.063617,0.063281,0.062053,0.013678,-0.006494,-0.335005,0.012864,0.062408,0.073732,0.001385,0.013113,0.045906,0.007023,0.067343,0.01199,0.006365,0.03102,0.066952,0.028525,0.02625
"10",-0.086558,0.010732,-0.038088,-0.025747,0.0389,-0.061512,-0.030175,-0.011174,-0.072484,-0.103352,-0.050302,-0.045755,-0.0069,-0.047003,-0.136875,-0.081403,-0.086014,-0.0415,-0.002368,-0.078249,-0.049537,-0.024054,-0.005205,-0.005867,-0.055764,-0.075498,-0.004283,0.009264,-0.059945,-0.021046,-0.067802,-0.065846,-0.023148,-0.002938,-0.056947,-0.064516,-8e-06,-0.035764,-0.074659,-0.073096,-0.040551,-0.040736,-0.0171,-0.0087,-0.029331,-0.011244,-0.008819,0.006649,0.005977,-0.001193,0.038173,0.000114,0.04657,-0.031552,0.0083,-0.07135,-0.06199,-0.089125,-0.044681,-0.108991,-0.047484,-0.0797,-0.039238,-0.040085,-0.092398,-0.093006,-0.03789,0.000332,0.0217,-0.142201,-0.13811,-0.042128,-0.107888,-0.090361,-0.106849,-0.053913,0.018447,-0.104202,-0.026,-0.036162,-0.061799,NA,-0.065007,0.0014,0.0036,0.009508,-0.105146,-0.029613,-0.048947,-0.062231,-0.063869,0.002975,-0.003953,-0.068827,-0.075929,-0.021215,0.004698,-0.040607,-0.0221,0.024285,0.025674,-0.079369,-0.053988,-0.048413,-0.103555,-0.06287,-0.076315,-0.076359,-0.046729,-0.017936,0.025773,-0.007317,-0.0076,-0.050412,-0.039114,-0.0923,-0.0952,-0.033192,-0.099605,-0.0163,0.0269,-0.035759,-0.064921,-0.0646,-0.005524,-0.056057,-0.044083,-0.05374,-0.078489,-0.030002,-0.086207,-0.020806,-0.059568,-0.0159,-0.141126,-0.022538,-0.022538,-0.024709,-0.028228,-0.028228,0.022,-0.024585,-0.08449,0.034544,-0.008176,-0.116435,-0.054366,-0.016788,-0.017112,-0.002933,-0.013453,-0.020832,-0.01528,-0.0555,-0.041201,-0.087401,-0.01,-0.07166,-0.055705,-0.073813,-0.011603,-0.043024,-0.20353,0.003846,-0.149916,-0.163789,-0.016299,-0.016641,-0.040105,-0.098599,0.009061,-0.04712,-0.052614,-0.005159,-0.073075,-0.055305,-0.046252
