"","ABAFINU.KY.Equity","ALGOTRE.KY.Equity","APEXGCE.US.Equity","APHSIFA.LX.Equity","AROYIPA.US.Equity","ARTPAII.US.Equity","ASLNDMB.KY.Equity","BAOBABG.VI.Equity","BBHEDG1.US.Equity","BPCENHO.US.Equity","CALYPSV.AV.Equity","CAMCAPR.KY.Equity","CARMOTT.KY.Equity","CASSIOA.KY.Equity","CAYENRG.US.Equity","CCLDMNA.CN.Equity","CCLMKNA.CN.Equity","CEDMNLP.US.Equity","CHCIMPE.KY.Equity","CHESSIC.US.Equity","CHROEHF.BM.Equity","CLASABE.LX.Equity","CLOVSTR.US.Equity","COEFFCA.KY.Equity","COLOMLP.US.Equity","CONCAPO.KY.Equity","CRJBJPY.KY.Equity","CURCMAF.CN.Equity","CUSHMKN.US.Equity","DACHCEQ.BH.Equity","DONEHF1.NA.Equity","EAMDSSP.KY.Equity","EMEVALU.BM.Equity","FAAREMG.KY.Equity","FIEMKNA.CN.Equity","GLGELNU.KY.Equity","GUEVORA.KY.Equity","HARSMCP.US.Equity","HERACPW.BM.Equity","HILCMNEA.CN.Equity","HSBCTGH.GR.Equity","INSGFIZ.PW.Equity","JADECPA.KY.Equity","KEYREOH.US.Equity","KLPAGEN.NO.Equity","LCIMNAU.KY.Equity","LMLSMOME.CN.Equity","LOGSTNE.US.Equity","MAGGFDI.US.Equity","MAQ8444.AU.Equity","MATAMNC.US.Equity","MNLUSDI.KY.Equity","MWJMA1U.ID.Equity","MWMGLFU.ID.Equity","MWTFNEE.ID.Equity","NORMNIA.CN.Equity","OAKPAMN.US.Equity","PACAPRV.KY.Equity","PAGORAE.KY.Equity","PCDAOAA.KY.Equity","PEGAEUR.VI.Equity","PHNXCPF.US.Equity","PMGLMKNE.CN.Equity","PMMNCLA.CN.Equity","PRYNCIP.MV.Equity","PXPVSCF.KY.Equity","QAAFFNU.KY.Equity","QQMEQHD.SS.Equity","QUANSPA.KY.Equity","QUPANEF.VI.Equity","QUQEQMN.US.Equity","RBRSVFC.KY.Equity","REALRTA.ID.Equity","RENIDEQ.US.Equity","ROMECAP.US.Equity","ROTACRO.US.Equity","SAEEALB.NA.Equity","SCOPQPL.US.Equity","SECHCAE.ID.Equity","SIA3FFU.VI.Equity","SQPTEUR.LX.Equity","SUPBLAE.KY.Equity","SVGRCMN.KY.Equity","TALACTE.KY.Equity","TALENHE.KY.Equity","TESSEQP.US.Equity","TKCAEAU.KY.Equity","TWOPPLD.VI.Equity","VICARCA.KY.Equity","WATSABR.AU.Equity","WGEMNBU.ID.Equity","WILIGEB.VI.Equity","WINCAPA.NA.Equity","WMF0001.AU.Equity","ZALUSMN.US.Equity","ZEBGLAU.US.Equity"
"1",0.005234,NA,0.0236,0.04587,NA,0.0026,0.059209,0.02432,0.01355,NA,NA,0.0461,NA,0.036045,0.0378,NA,-0.000932,-0.0032,0.018516,0.0156,NA,0.050159,7e-04,NA,0.0233,-0.034039,NA,NA,0.0202,NA,NA,NA,0.029654,NA,0.001043,0.015445,-0.005349,-0.0165,NA,0.030008,0.009527,NA,0.135626,0.029998,-0.002725,NA,0.015656,0.003,0.0032,NA,-0.0135,NA,0.001568,0.016266,0.029056,-0.019802,-0.0194,-0.0119,-0.007618,NA,-0.008386,NA,0.004789,0.008869,NA,NA,NA,0.0287,0.009408,0.041058,0.0092,NA,0.02423,NA,0.018498,0.0098,0.010003,NA,0.013669,NA,0.008951,-0.007764,-0.005858,0.006307,0.012735,0.015399,NA,0.044114,0.004723,NA,NA,0.004826,NA,0.009698,-0.0046,0.0107
"2",0.009501,NA,-0.0101,-0.037126,NA,0.001698,0.020858,0.051442,0.00161,NA,NA,-0.0023,NA,0.019957,-0.0117,NA,0.039218,0.012,0.013378,0.0054,NA,0.024895,-0.0057,NA,0.0069,-0.0132,NA,NA,0.0106,NA,NA,NA,-0.011775,NA,0.0101,0.009269,-0.000983,0.012,NA,0.009657,-6.2e-05,NA,0.016581,0.023,-0.035072,NA,0.020048,0.0143,0.0157,NA,0.0218,NA,0.006386,0.019795,0.020691,0.01838,0.0335,-0.0161,0.019084,NA,-0.002851,NA,0.002276,0.000913,-0.002466,NA,NA,0.0258,0.006219,0.009783,-0.0022,NA,0.007364,NA,-0.039402,0.0178,-0.007861,NA,-0.011318,NA,0.03991,0.002347,0.035152,0.009707,0.021354,-0.010299,NA,-0.023012,0.008131,NA,NA,0.003305,NA,0,-0.0161,-7e-04
"3",-0.00531,NA,0.0231,0.010668,NA,0.0068,0.031318,-0.006735,0.004053,NA,NA,-0.0236,NA,0.028028,0.0229,NA,0.01266,0.0133,0.032946,0.0195,NA,0.044063,0.015737,NA,0.0822,-0.027554,NA,NA,0.0131,NA,0.013347,NA,1.010639,NA,0.000362,-0.004474,0.030866,0.0246,NA,0.000149,0.00705,NA,0.088325,-0.011,0.007326,NA,-0.006759,0.0221,-0.0034,NA,-0.0057,NA,-0.002603,0.005419,0.015737,-0.009122,0.032,-0.012,0.011374,NA,0.006766,NA,-0.003448,0.005692,-0.001649,NA,NA,2e-04,0.000608,0.023206,1e-04,NA,0.017031,NA,-0.007997,0.0037,-0.005095,NA,0.006996,NA,0.021519,0.007026,-0.021583,0.001703,0.004298,0.019383,NA,-0.01346,0.003274,0.136346,NA,0.001184,NA,0.065079,-0.0101,-0.0019
"4",0.014845,NA,0.0729,0.005412,NA,0.005399,0.007078,0.086399,0.00689,NA,NA,0.0224,NA,-0.005544,0.0028,NA,-0.000996,0.0048,0.040961,0.0079,NA,0.035845,0.011843,NA,0.0169,-0.0516,NA,NA,0.0064,NA,0.007556,NA,-0.038801,NA,0.001754,-0.006387,0.027971,-0.0015,NA,0.017188,0.014206,NA,-0.031593,0.022,0.022206,NA,-0.026448,0.0058,-0.0054,NA,-0.0042,NA,0.001386,0.033131,-0.003361,-0.019561,0.026,0.0061,0.000207,NA,0.004638,NA,-0.003084,-0.004131,-0.005546,NA,NA,-0.0143,0.020393,0.029312,-0.0113,NA,0.021685,NA,-0.003998,0.0021,0.020899,NA,-0.000561,NA,-0.007644,0.005426,NA,-0.010694,-0.021398,0.005502,NA,0.048004,0.009228,0.030841,NA,0.015579,NA,0.028803,-0.0521,0.0044
"5",0.033735,NA,0.0158,0.071521,0.0878,0.007602,0.049796,0.048414,0.015484,NA,NA,0.0267,NA,0.029572,0.0018,NA,0.031847,0.0152,0.089507,0.0262,NA,0.024883,0.00738,NA,0.0265,-0.0149,NA,NA,0.0036,NA,0.0303,NA,-0.165066,NA,0.007759,0.010713,0.02703,0.0144,NA,0.029579,0.021972,NA,0.093039,-0.014,-0.002221,NA,0.034953,0.017,0.0066,NA,-0.0038,NA,0.014349,0.022101,0.021381,0.002014,0.0514,-0.0245,0.003768,NA,-0.001319,NA,0.02847,0.005091,-0.004846,NA,NA,0.0373,0.011148,0.070229,-0.0075,NA,0.022876,NA,-0.020304,0.0444,0.000417,NA,0.021416,NA,0.001178,0.005397,0.017507,0.017295,0.035486,0.014297,NA,0.034113,0.021575,0.035465,NA,0.032402,NA,-0.007156,-0.0165,0.0326
"6",0.004492,NA,0.0144,0.008038,0.0038,0.018998,0.002487,0.001269,-0.010346,NA,NA,-0.0422,NA,-0.008318,-0.00683,NA,0.041765,0.0093,-0.002023,0.008,NA,-0.017783,0.004181,NA,-0.0404,0.019038,NA,NA,0.0297,NA,0.00777,-0.0543,0.387535,NA,0.018927,0.00526,0.014048,0.0283,NA,0.001982,0.002852,NA,0.017982,-0.031,-0.01612,NA,0.031346,-0.0097,-7e-04,NA,-0.002,NA,-0.007907,-0.024104,0.02168,0.009343,-0.0033,-0.0143,0.005355,NA,-0.005472,NA,0.012375,-0.001616,0.001225,NA,NA,0.0188,-0.020741,0.044496,0.0278,NA,0.017714,NA,-0.0217,0.0116,0.005247,NA,-0.002956,NA,0.028081,0.029908,0.024787,0.014276,0.029431,0.015097,NA,0.014337,-0.001055,0.04886,NA,0.026285,NA,0.002072,0.0094,0.0207
"7",0.021818,NA,-0.0012,0.04625,0.0446,0.024602,0.010734,NA,-0.003852,NA,NA,-0.0085,NA,-0.003096,-0.00801,NA,0.04274,-0.0062,0.010423,0.0231,NA,0.013644,-0.000199,NA,-0.0516,-0.005434,NA,NA,0.0197,NA,0.021765,0.036735,0.421766,NA,0.002016,0.008123,0.025901,0.0115,NA,0.016431,0.00951,NA,0.033562,0.037,0.012871,NA,0.008105,0.002,-0.0015,NA,0.008,NA,0.010748,-0.012871,NA,0.015364,0.0479,0.0174,-0.009402,NA,0.00351,NA,0.008678,0.008309,0.016218,NA,NA,0.0097,-0.020388,0.038894,0.0214,NA,0.031074,NA,0.0176,0.0478,0.024051,NA,0.011652,0,-0.014405,0.006701,0.025829,0.013646,0.028291,0.034304,NA,0.025741,0.001069,-0.003482,NA,0.014765,NA,0.046031,-0.0048,0.0176
"8",-0.005089,NA,0.0095,-0.008331,0.0464,-0.003301,-0.006611,0.037508,0.011185,NA,NA,-0.0445,NA,-0.000141,0.0092,NA,0.039956,-3e-04,0.005253,0.009,NA,0.027462,-0.0098,NA,0.0279,-0.03606,NA,NA,-0.0024,NA,0.000764,-0.031608,-0.307418,NA,0.004374,0.000775,0.016991,-0.0214,NA,-0.016137,0.011494,NA,-0.061925,0.013,-0.030251,NA,0.007694,0.0059,-4e-04,NA,-0.0164,NA,0.044233,0.032831,0.030861,0.008366,0.0136,-0.0242,-0.00592,NA,0.005199,NA,0.01156,-0.003396,-0.006377,NA,NA,0.0289,-0.068852,0.016929,-0.0067,NA,0.026036,NA,-0.0017,0.0321,0.014216,NA,0.007974,4e-04,-0.004644,-0.054734,0.015104,-0.002703,-0.004447,0.0095,NA,-0.036074,0.007398,0.035409,NA,-0.005933,NA,0.015557,-0.0351,-0.0134
"9",0.045424,NA,0.1099,-0.028877,0.0025,0.011799,0.017126,-0.006763,0.003414,NA,NA,0.0026,NA,-0.013272,0.002713,NA,0.003502,0.0031,0.034964,-0.0028,NA,0.024071,0.0163,NA,-0.0143,-0.0302,NA,NA,0.0154,NA,0.002291,-0.003644,0.106702,0,-0.018119,0.006812,0.009583,0.0131,NA,0.008195,0.009013,NA,-0.073154,-0.001,0.013537,NA,0.006384,0.0018,-6e-04,NA,-0.0073,NA,0.00141,0.006352,NA,0.016013,0.073191,-0.0066,0.003097,NA,0.006301,NA,-0.004173,0.003886,0.002369,NA,NA,-0.0159,-0.008973,9.3e-05,0.0126,NA,-0.005104,NA,0.0251,-0.0059,-0.01946,NA,0.015483,0.022591,-0.00491,0.011737,0.022351,0.007546,0.014986,0.014602,NA,0.061367,0.005678,-0.0018,NA,0.028421,NA,0.058311,-0.0116,-0.0209
"10",-0.000559,NA,-0.0069,-0.020524,-0.0096,0.011399,-0.066936,NA,0.00245,NA,NA,-0.06,4.7e-05,0.000372,0.039618,NA,0.031064,-0.0048,-0.002938,-0.0024,NA,-0.045254,-0.005,NA,0.0081,-0.034803,NA,NA,0.007001,NA,0.017046,0.00074,0.049461,0,0.00931,0.014455,0.012012,0.0145,NA,-0.018303,-0.015795,NA,-0.094918,0,-0.042779,NA,0.011629,0.0289,0.0023,NA,-0.0253,NA,0.025674,-0.009786,0.027251,-0.014854,0.030309,0.0041,0.010171,NA,-0.027381,NA,0.004146,0.005479,0.003782,NA,NA,0.0175,-0.009054,-0.086207,-0.0086,NA,-0.020806,NA,0.0154,0.0294,0.031678,NA,0.002863,-0.033627,0.008025,0.046404,-0.01528,0.002374,0.004977,0.0032,NA,-0.042926,0.010905,-0.025319,NA,-0.009719,NA,-0.002399,0.0037,0.0259
