Date,1171 HK equity,386 HK equity,857 HK equity,883 HK equity,005490 KS equity,2600 HK equity,5406 jp equity,6502 JP equity,1138 HK equity,6305 jp equity,6752 jp equity,105560 KS equity,2628 HK equity,8306 JP equity,8316 JP equity,8591 JP equity,8604 JP equity,055550 KS equity,2601 HK equity,1336 HK equity,8411 jp equity,8630 jp equity,8766 jp equity,2409 TT equity,FENG equity,IBM equity,762 HK equity,9984 jp equity,015760 KS equity,902 HK equity,8801 jp equity,esm7 index,nhm7 index
4/6/2016,-0.2481,1.4199,-0.2058,0,6.0769,0.3891,2.6915,3.0891,-0.9488,1.1505,-2.7573,1.1448,-0.5495,-0.0121,0.7052,-0.6128,1.0641,-0.6362,-1.0753,-0.5671,0.6142,-0.8532,-1.1313,-3.6568,3.423,0.0133,0.1006,0.6291,0.893,0.3008,-0.0053,1.05,1.32
4/7/2016,-1.2616,-0.218,0.6004,2.1934,-0.1311,0.3695,4.7243,-0.2252,-0.9757,0.7214,2.4892,0.3257,-1.0123,1.0749,-0.2109,3.7227,0.2851,1.5186,-0.1992,-1.1585,1.121,0.0673,0.9286,-2.1196,0.7092,-1.1798,-0.9224,3.1263,1.068,-0.3178,1.1544,-1.24,-0.49
4/8/2016,-0.2377,1.4172,0.0142,1.9507,0.8005,-0.7581,3.9552,2.2636,1.3683,2.4502,2.6461,0.1887,0.7955,1.3059,2.3231,0.7428,1.4491,-0.5855,0.1957,-0.1782,2.2772,1.0753,-0.0306,7.8523,2.1127,0.742,0.6228,1.3463,0.288,3.0221,0.0316,0.26,1.91
4/11/2016,9.3688,1.4069,0.6381,1.6996,2.9171,4.3044,0.3333,3.2373,1.1685,0.3333,0.5552,-0.9415,1.0201,-2.2052,-1.7047,-0.5112,-1.0357,1.8997,0.2044,1.7577,-1.3955,-1.071,-0.9356,1.6709,2.2989,-0.067,0.3257,0.0865,0.7505,2.7976,-0.1766,-0.3,-0.08
4/12/2016,4.1678,0.5952,1.2324,0.5598,-0.1,-0.3629,4.2759,2.7558,0.9538,3.4021,1.7211,-0.4647,0.12,5.1314,4.5056,2.5202,6.6889,-0.5598,-0.1705,0.5786,4.4694,0.2446,0.1777,-1.7004,-0.4494,0.2546,-0.9948,0.4125,0.1996,0.1524,0.286,1.06,1.57
4/14/2016,2.3834,-0.0077,0.1799,-0.5221,3.3259,-0.374,8.2569,-0.0436,-0.3604,4.3455,4.171,3.9956,3.0192,2.8788,3.1884,0.5505,4.5575,5.1018,1.5465,0.3539,2.8829,4.538,4.5043,0.1595,-2.4229,-0.0463,0.5934,1.6332,0.2019,-1.6582,5.8398,0.04,1.24
4/15/2016,-0.8275,-1.8269,-0.1654,0.6425,0.2236,-0.3458,-1.2064,0.8036,-0.1551,-1.1772,0.3561,2.275,0.0219,-1.2422,-0.7452,-0.6034,-0.2299,-0.2064,0.3621,-0.699,-2.0844,-1.0724,-0.6652,0.3481,-0.4515,0.3705,-0.3766,1.1866,-0.0463,-3.0557,-0.2075,-0.07,-0.7
4/18/2016,-2.5696,-1.3183,-1.8762,-1.6444,0.3421,-3.321,-2.7473,-2.9856,-1.9504,-2.2265,-4.5987,0.2854,-1.925,-4.467,-3.7431,-4.4633,-3.6052,0.6187,-1.5254,-2.3593,-3.7544,-5.629,-6.0583,0.8455,-1.1338,0.5339,-0.7,-4.4144,-0.0305,-4.7619,-5.0622,0.57,0.08
4/19/2016,3.0783,1.7189,3.8254,2.3002,-1.4593,2.6731,0.6261,4.1596,-0.5412,2.3314,4.2006,2.155,1.241,6.4021,6.9226,2.7562,3.3435,2.9861,0.8619,1.4883,6.1285,3.2752,3.8583,-1.1198,-0.9174,-5.5923,-1.9121,3.8828,2.2742,-1.5139,3.1226,0.33,2.03
4/20/2016,-3.6384,-0.9521,-1.4873,-1.444,-0.4563,-0.0142,1.2441,-0.2884,1.2584,-1.4975,0.3578,0.6189,-1.8507,-1.6153,-1.4871,1.3296,-0.521,0.454,-1.5498,-2.0285,-0.5596,-2.1141,-0.3125,-0.1918,0.2315,1.4653,-2.9912,-0.4351,0.4221,-2.0139,0.4144,0.22,0.73
4/21/2016,2.6337,3.9558,3.7169,5.4705,3.1331,2.2094,1.8821,4.8634,0.6974,2.927,2.9969,1.1117,-0.8521,1.0475,1.4079,2.4559,4.0984,-0.6021,2.4052,1.2875,1.3845,3.4882,4.143,0.4349,-0.9238,2.1833,1.0374,1.5903,-1.4318,-0.4915,4.6313,-0.72,0.16
4/22/2016,-4.734,-1.2674,0.9087,-0.9747,-0.8144,-3.9926,2.2394,-0.8358,-0.8836,-1.2056,-0.8248,0.3846,-1.4599,4.5247,2.3911,-0.9476,1.9843,-1.3597,-1.8537,-1.0994,2.6703,0.3039,-0.0261,-0.1153,-2.5641,-0.5358,-1.4583,1.386,-1.3468,-0.6232,1.5942,0.16,0.97
