"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","inforatio.60","alpha.60","beta.60","corr.bhf.60","corr.bidx.60","omega.60","wl.60","skewness.60","kurtosis.60"
"ABAFINU.KY.Equity",0.0496441044402709,0.0660703921396577,0.037373176094627,-0.115388904291978,0.672614650455535,0.346083700156191,0.174678887287131,0.00423366231345329,0.0416667533650559,0.0230516032813378,0.0548767632946668,1.76444893588139,0.616666666666667,0.185362443001053,-0.304306290624465
"APEXGCE.US.Equity",0.1099542325875,0.101841582806811,0.0439336331572976,-0.0905355835518699,1.0258607646155,0.67727391067423,0.776870034171476,0.00975502918163681,0.147172561003875,0.25089590074075,0.126816068322345,2.46165403118823,0.566666666666667,0.971371947686162,1.58500101278209
"APHSIFA.LX.Equity",0.0462396458410392,0.130838755303177,0.0850212310720093,-0.196740099653302,0.313731366746747,0.163921094083889,0.355256197993148,0.0104746998753977,-0.51287323465189,-0.235829320117066,-0.347122390672608,1.35132206583829,0.6,-0.0594897313919481,-0.290954510342126
"ARTPAII.US.Equity",0.0702342704722656,0.0226263403180857,0.00455719672605868,-0.00808669189900002,2.86999049148099,3.57577634383181,0.546175566718077,0.00505445613175047,0.0226083072865654,0.134532640689519,0.0962916530904493,12.5381341619942,0.8,0.560459983558085,0.0214179288996026
"ASLNDMB.KY.Equity",0.0859600873816158,0.142663329206652,0.0899230444491288,-0.239421422484647,0.564878760565034,0.27980337389163,0.536814110999146,0.00465677805568039,1.00718015887513,0.71704266004797,0.701267015800802,1.65627197096049,0.616666666666667,-0.273941642863667,1.23984281380826
"CAMCAPR.KY.Equity",-0.0777225816756479,0.217245753949464,0.151568827932395,-0.520333068981433,-0.379076225211659,-0.118617143818815,-0.629544817491916,-0.014005606421543,1.29421662917765,0.676344601372636,0.56888377180491,0.823281627168845,0.416666666666667,0.469795367760741,0.196968293652047
"CASSIOA.KY.Equity",0.0217919364825676,0.0493349289394544,0.0291608944067222,-0.0605697067194677,0.338804415088101,0.171459666211313,0.0111171173909089,0.00327198556448857,0.0255032561343117,0.00167670655774736,0.0441400180955821,1.42297618118793,0.483333333333333,0.228453855632201,-0.104388852668908
"CAYENRG.US.Equity",0.0775154857096176,0.0879924232534844,0.0447728534717188,-0.183208179468227,0.820343790581288,0.467598090801705,0.584356262239419,0.00741042814717143,0.157505659787193,0.210665317748988,0.164105393898887,2.05642249161723,0.583333333333333,0.610800328392028,1.24239929096757
"CCLMKNA.CN.Equity",-0.0059238667369933,0.127581321736519,0.102618301065648,-0.378505534250307,-0.0852600983637012,-0.00726496043372188,-0.535127944750154,-0.00248090436792863,0.148296948968869,0.040456502227692,0.101542563459676,1.0146999473376,0.566666666666667,-1.49588044665983,3.70477529633012
"CEDMNLP.US.Equity",0.0316647916587547,0.0506459740928158,0.0331559346482647,-0.0445180526192801,0.524084173560487,0.234453535462455,0.331990173183711,0.00472462341794321,0.0728271779824342,0.167450628173743,0.165258527869198,1.593098763358,0.6,-0.523583582613219,0.464189060622211
"CHCIMPE.KY.Equity",0.114252558340272,0.246595246993908,0.0604361873913304,-0.224552657669024,0.440995747021681,0.602178642750784,0.534592074513872,0.00838747255503806,1.37019721222376,0.446331772274712,0.4429620278011,2.25027439886846,0.433333333333333,5.56215582353228,35.8092187826978
"CHESSIC.US.Equity",0.116895201309374,0.0612737234045803,0.0411615111481588,-0.0629999999999999,1.81784599037516,0.750552226005846,0.87408723697289,0.00601191611488423,0.398756261343379,0.600701847343959,0.698627286886199,4.21034110289937,0.816666666666667,-2.11628358055625,6.84281992964776
"CLASABE.LX.Equity",0.0910478097027561,0.154648439303594,0.104445639114326,-0.306500164054119,0.553845012171574,0.259360668254475,0.055126284957371,-0.000857782217118869,1.03607788481669,0.578600038803737,0.651512270346594,1.72720509846648,0.716666666666667,-0.397242334312862,3.089155137499
"COLOMLP.US.Equity",0.0897864008238956,0.121922788987852,0.0696733234459215,-0.154042263240805,0.692222851236259,0.363009558614523,0.221601080545252,0.00623141298850665,-0.0150010921241471,-0.116195847197166,-0.0110237697799325,1.7509633911368,0.6,0.0807344485179174,-0.0182758122491125
"CONCAPO.KY.Equity",-0.00508843709035101,0.0908842942640694,0.0656141825080523,-0.231637054842061,-0.110515108928063,-0.026125875335145,-0.748024845012522,-0.00249577931163081,-0.062828430924694,-0.12851962053836,-0.0623837909791966,0.991947280986986,0.483333333333333,-0.190306831412884,-0.600316187099712
