"","x"
"1",1402
"2",1414
"3",1365
"4",1350
"5",1354
"6",1343
"7",1358
"8",1378
"9",1359
"10",1335
"11",1351
"12",1330
"13",1315
"14",1330
"15",1373
"16",1364
"17",1336
"18",1315
"19",1319
"20",1318
"21",1325
"22",1379
"23",1368
"24",1385
"25",1383
"26",1419
"27",1453
"28",1453
"29",1474
"30",1469
"31",1453
"32",1446
"33",1465
"34",1458
"35",1420
"36",1420
"37",1476
"38",1428
"39",1400
"40",1404
"41",1377
"42",1371
"43",1333
"44",1292
"45",1288
"46",1329
"47",1329
"48",1344
"49",1335
"50",1349
"51",1377
"52",1357
"53",1360
"54",1381
"55",1358
"56",1365
"57",1357
"58",1376
"59",1382
"60",1407
"61",1396
"62",1371
"63",1364
"64",1381
"65",1390
"66",1354
"67",1371
"68",1420
"69",1425
"70",1447
"71",1542
"72",1547
"73",1528
"74",1519
"75",1548
"76",1573
"77",1588
"78",1562
"79",1578
"80",1607
"81",1605
"82",1609
"83",1635
"84",1573
"85",1555
"86",1600
"87",1621
"88",1608
"89",1570
"90",1570
"91",1584
"92",1561
"93",1620
"94",1644
"95",1685
"96",1687
"97",1672
"98",1698
"99",1752
"100",1751
"101",1757
"102",1736
"103",1744
"104",1762
"105",1782
"106",1769
"107",1695
"108",1769
"109",1777
"110",1730
"111",1728
"112",1762
"113",1759
"114",1738
"115",1650
"116",1558
"117",1571
"118",1639
"119",1569
"120",1559
"121",1524
"122",1420
"123",1458
"124",1463
"125",1533
"126",1516
"127",1533
"128",1510
"129",1527
"130",1532
"131",1579
"132",1567
"133",1513
"134",1552
"135",1534
"136",1546
"137",1516
"138",1471
"139",1484
"140",1480
"141",1505
"142",1534
"143",1556
"144",1551
"145",1517
"146",1555
"147",1522
"148",1514
"149",1449
"150",1454
"151",1455
"152",1462
"153",1428
"154",1414
"155",1415
"156",1448
"157",1405
"158",1462
"159",1500
"160",1512
"161",1507
"162",1523
"163",1542
"164",1485
"165",1425
"166",1396
"167",1369
"168",1331
"169",1342
"170",1355
"171",1407
"172",1401
"173",1409
"174",1404
"175",1383
"176",1408
"177",1420
"178",1439
"179",1410
"180",1414
"181",1454
"182",1461
"183",1438
"184",1459
"185",1467
"186",1468
"187",1500
"188",1505
"189",1483
"190",1467
"191",1442
"192",1440
"193",1436
"194",1477
"195",1495
"196",1507
"197",1508
"198",1527
"199",1525
"200",1508
"201",1433
"202",1447
"203",1499
"204",1500
"205",1519
"206",1511
"207",1505
"208",1535
"209",1542
"210",1536
"211",1539
"212",1514
"213",1503
"214",1534
"215",1543
"216",1529
"217",1535
"218",1499
"219",1505
"220",1494
"221",1509
"222",1529
"223",1537
"224",1502
"225",1479
"226",1492
"227",1469
"228",1440
"229",1428
"230",1398
"231",1421
"232",1445
"233",1426
"234",1426
"235",1413
"236",1416
"237",1424
"238",1440
"239",1457
"240",1456.5
"241",1447.5
"242",1454.5
"243",1473
"244",1459.5
"245",1455.5
"246",1432.5
"247",1420
"248",1428
"249",1387
"250",1426.5
"251",1429
"252",1439
"253",1438
"254",1440
"255",1443.5
"256",1451.5
"257",1450
"258",1470.5
"259",1489
"260",1491.5
"261",1475.5
"262",1497
"263",1489.5
"264",1490.5
"265",1494
"266",1512
"267",1531.5
"268",1546
"269",1560
"270",1556
"271",1588.5
"272",1598
"273",1631.5
"274",1629.5
"275",1607
"276",1582
"277",1614.5
"278",1656.5
"279",1653
"280",1616.5
"281",1650.5
"282",1629.5
"283",1642
"284",1628
"285",1609
"286",1548.5
"287",1544.5
"288",1555
"289",1569
"290",1540
"291",1518
"292",1484.5
"293",1452
"294",1471
"295",1448.5
"296",1412.5
"297",1469.5
"298",1448.5
"299",1478
"300",1470.5
"301",1480.5
"302",1504
"303",1497.5
"304",1537
"305",1552.5
"306",1650
"307",1689
"308",1712
"309",1677
"310",1688.5
"311",1686
"312",1715.5
"313",1723.5
"314",1746.5
"315",1755
"316",1671
"317",1717.5
"318",1711.5
"319",1707
"320",1703.5
"321",1747
"322",1740
"323",1694.5
"324",1721.5
"325",1744
"326",1772
"327",1758.5
"328",1813
"329",1830
"330",1803.5
"331",1775
"332",1788.5
"333",1787
"334",1793.5
"335",1750.5
"336",1720.5
"337",1729.5
"338",1783
"339",1861
"340",1883
"341",1876
"342",1871.5
"343",1879.5
"344",1882
"345",1841
"346",1804
"347",1722
"348",1720.5
"349",1731.5
"350",1730
"351",1678.5
"352",1605.5
"353",1614.5
"354",1562
"355",1579.5
"356",1626.5
"357",1572
"358",1588
"359",1672
"360",1635.5
"361",1656.5
"362",1637
"363",1590.5
"364",1594
"365",1545
"366",1561.5
"367",1668
"368",1669
"369",1657
"370",1720
"371",1735.5
"372",1770.5
"373",1769
"374",1814
"375",1765.5
"376",1783.5
"377",1800
"378",1822
"379",1761
"380",1756.5
"381",1742.5
"382",1776.5
"383",1808.5
"384",1825.5
"385",1819
"386",1767.5
"387",1781
"388",1794.5
"389",1759.5
"390",1747
"391",1762
"392",1798
"393",1805.5
"394",1766.5
"395",1780.5
"396",1772
"397",1738.5
"398",1762.5
"399",1793
"400",1777.5
"401",1767.5
"402",1740
"403",1733.5
"404",1765.5
"405",1745.5
"406",1788.5
"407",1800
"408",1818
"409",1797.5
"410",1826
"411",1823
"412",1839
"413",1836
"414",1830
"415",1838
"416",1846
"417",1884
"418",1911.5
"419",1898
"420",1950
"421",2008.5
"422",1996
"423",1997
"424",1991
"425",2025
"426",1974
"427",1978
"428",2048.5
"429",2065
"430",2033.5
"431",2043
"432",2025
"433",1998
"434",1987.5
"435",2197.5
"436",2172
"437",2162
"438",2165
"439",2164.5
"440",2182.5
"441",2192.5
"442",2165.5
"443",2195.5
"444",2183
"445",2243.5
"446",2212
"447",2238.5
"448",2379.5
"449",2321
"450",2369.5
"451",2272
"452",2283.5
"453",2293.5
"454",2368.5
"455",2444
"456",2402.5
"457",2403
"458",2356.5
"459",2325.5
"460",2389
"461",2471
"462",2414.5
"463",2424
"464",2475
"465",2387.5
"466",2406.5
"467",2445.5
"468",2502
"469",2456
"470",2356
"471",2376
"472",2236
"473",2243
"474",2261
"475",2312.5
"476",2362
"477",2352.5
"478",2414.5
"479",2462
"480",2461
"481",2438
"482",2474
"483",2470
"484",2451
"485",2457
"486",2468.5
"487",2521.5
"488",2522
"489",2446.5
"490",2437
"491",2424.5
