,p.zoo,c.zoo,m.zoo,s.zoo
7/16/2010,-1.584222003,-1.708058901,-2.235892645,-2.152310776
7/20/2010,-1.236364239,1.641288609,-0.925471793,-0.492497732
7/21/2010,-0.533720465,-0.96767682,-0.220450049,-0.72668321
7/22/2010,-0.045852319,-0.227294738,-0.519317962,1.364075858
7/23/2010,1.432206733,1.006675397,1.70303319,0.655088956
7/26/2010,0.27314606,-1.196842702,0.545877935,-0.300846235
7/27/2010,0.350353636,2.029107795,-0.097837571,1.636994603
7/28/2010,1.762370055,-0.89716424,2.024890943,-0.141425578
7/29/2010,0.864539149,-1.408380439,-0.496328123,-0.509754675
7/30/2010,-0.418382614,-0.685626503,-1.300972505,0.30748389
8/2/2010,-0.120916626,0.019499289,0.224020182,1.837752113
8/3/2010,1.006642958,-1.478893018,0.944368486,-0.862252914
8/4/2010,-2.180948346,0.953790962,-1.661146657,0.21340804
8/5/2010,1.338700333,-0.950048675,1.281552799,0.90330633
8/6/2010,0.178692633,-0.667998358,-0.13615397,-1.064292594
8/9/2010,-0.343866586,0.848022094,-0.59595076,0.409612544
8/10/2010,-0.270696333,-1.055817543,-0.212786769,-2.25912327
8/11/2010,-1.85287845,-0.280179173,-2.113280167,-1.029582458
8/12/2010,0.03225244,1.1653287,-0.703236678,0.169323682
8/13/2010,0.500183187,0.583599922,0.2929897,-0.153861305
8/16/2010,-0.431640984,-1.813827769,-0.511654682,0.03532398
8/17/2010,-0.356875739,0.372062184,-0.335399246,1.143241941
8/18/2010,1.362575368,-0.174410304,0.614847453,1.621405788
8/19/2010,1.47606901,-0.174410304,0.967358326,-0.859708202
8/20/2010,-1.227342566,0.442574764,-1.54619746,-1.354180447
8/23/2010,-0.348402345,-0.985304964,-0.565297641,-1.397041513
8/24/2010,-1.415601453,-2.642350575,-1.06341083,-1.413827454
8/25/2010,-0.828345375,1.394494582,-1.316299065,-0.198475539
8/26/2010,0.27214919,-0.297807318,0.484571696,1.417488647
8/27/2010,1.533987153,1.588404175,0.683816972,0.872939868
8/30/2010,0.183826514,-1.302611571,1.304542638,-1.041213559
8/31/2010,-0.960430641,-0.914792385,-2.764658953,0.382458045
9/1/2010,0.187066341,0.477831053,0.852409128,2.306489404
9/2/2010,1.422387564,-0.368319897,1.120623922,0.718281551
9/3/2010,0.179340599,0.037127433,0.392612338,1.79856093
9/6/2010,1.000362677,-0.244922883,1.526777754,0.321057869
9/7/2010,-0.924144575,-0.826651661,-0.664920279,-1.652193064
9/8/2010,-1.163443203,0.072383723,-1.714789616,1.009392698
9/9/2010,0.335201213,-0.244922883,0.584194334,0.422780939
9/10/2010,0.483585303,0.742253225,1.143613762,0.616676232
9/13/2010,0.927092737,-0.950048675,0.637837293,1.079840013
9/14/2010,-0.192691261,-1.443636729,-0.228113328,1.349304752
9/15/2010,1.794768328,5.713390056,1.749012869,1.339322153
9/16/2010,0.806172414,0.019499289,-0.097837571,-0.046780603
9/17/2010,0.233370949,0.125268157,0.898388807,0.259101651
9/21/2010,-0.392962431,-1.267355281,-0.235776608,0.266415245
9/22/2010,-0.814837787,-1.249727136,-0.327735966,0.872181033
9/24/2010,-0.329860564,-0.385948042,-0.802859316,-0.602227814
9/27/2010,1.168086044,0.142896302,1.021001285,1.217627346
9/28/2010,0.651258826,-0.914792385,-0.902481954,-0.575753649
9/29/2010,1.2603962,-0.385948042,0.469245137,1.073141336
9/30/2010,-1.050747057,-0.385948042,-1.569187299,0.966394258
10/4/2010,0.289095979,0.266293316,-0.235776608,0.744415549
10/5/2010,-0.045852319,-0.333063607,1.082307523,-0.186693979
10/6/2010,-1.243691233,-0.650370213,1.342859038,-0.840305589
10/7/2010,0.636006716,-1.143958267,-0.097837571,0.016503577
10/8/2010,-0.11314104,-1.055817543,-0.802859316,-0.64247875
10/12/2010,-0.92150287,-0.791395372,-1.645820098,1.157522422
10/13/2010,0.913983897,0.160524447,0.078417865,0.162199797
10/14/2010,0.761313267,-0.738510937,1.419491836,0.914695389
10/15/2010,0.020339844,-0.103897725,-0.710899958,-0.285636837
10/18/2010,-0.442506866,-0.421204331,-0.059521172,-1.387778498
10/19/2010,-0.17913383,0.654112501,0.285326421,0.102958373
10/20/2010,-0.379903435,-1.108701978,-1.308635785,-0.168619327
10/21/2010,-0.785779029,0.495459198,-0.082511012,0.177415735
10/22/2010,0.090718862,0.072383723,0.369622499,0.771903674
10/25/2010,0.022233897,-1.267355281,-0.251103168,1.563243742
10/26/2010,-0.521857713,1.323982003,-0.235776608,0.015522325
10/27/2010,0.228785348,0.654112501,0.032438186,-0.34261484
10/28/2010,0.090718862,-1.584661887,-0.212786769,-1.366845134
10/29/2010,-1.543898614,-1.408380439,-1.385268583,0.636916179
11/1/2010,-1.169075518,0.213408881,-0.442685164,0.481342027
11/2/2010,-0.045852319,0.231037026,0.001785067,1.484737081
11/4/2010,1.893308921,-0.720882792,1.618737112,0.48677816
11/5/2010,2.926763983,1.077187976,2.14750342,1.882215889
11/8/2010,0.932774896,-0.209666594,0.806429449,1.168512438
11/9/2010,-0.301798675,1.077187976,-0.343062526,-0.615193417
11/10/2010,0.91886856,1.235841279,1.028664564,0.153041449
11/11/2010,0.017249547,0.424946619,0.193367063,0.870669905
11/12/2010,-1.180090931,0.054755578,-1.109390509,-0.552275572
11/15/2010,0.727918124,1.112444266,0.76811305,0.245743547
11/16/2010,-0.172853549,0.424946619,-0.281756287,0.073815205
11/17/2010,0.654398966,-0.262551028,0.070754585,0.18184445
11/18/2010,0.330814985,0.689368791,1.534441033,0.385277507
11/19/2010,0.078756422,0.037127433,0.024774906,-0.283151
11/22/2010,0.078457361,-0.49171691,0.668490412,0.236519783
11/24/2010,-1.099743214,0.777509515,-0.687910118,-1.38200874
11/25/2010,0.58745915,0.090011868,0.338969379,0.155684286
11/26/2010,-0.796296006,1.024303542,-0.350725806,0.708783037
11/29/2010,0.716105215,0.301549605,0.614847453,0.182138826
11/30/2010,-0.796296006,-1.232098991,-1.477227941,0.185062956
12/1/2010,0.906557216,1.024303542,0.346632659,0.141286056
12/2/2010,1.511756954,-0.809023516,1.342859038,1.722370023
12/3/2010,-0.227083274,-2.748119443,0.032438186,0.603736795
