"","time","event","date","broker","name","is_forced","newtp_to_px","oldtp_to_px","chg_tgt","newtp_avgtp","chg_2d","chg_5d","char_newrating","newrating","oldrating","chg_rating","score"
"1","A","TP- ","05/15/2018","Clarksons Platou Securities AS","AP MOLLER-B","","53.9002958579882","54.5757396449704","-0.436966233209432","28.1841691162403","-3.218658","1.503292","","5","5","","0.5"
"2","A","TP- ","05/15/2018","China Renaissance","VIPSHOP HOLDINGS","","60","68","-4.76190476190476","-3.70369962213444","-16.6610971","-23.24059","","5","5","","0.5"
"3","A","TP+ ","05/15/2018","J.P. Morgan","CHINA LODGIN-ADR","","13.4415807024652","10.9483591485648","2.24719101123596","2.65014804707384","6.8605769","8.75578","","5","5","","1.5"
"4","A","TP+ ","05/15/2018","Morningstar, Inc","BLUESCOPE STEEL","","-55.0056242969629","-56.6929133858268","3.89610389610389","-53.7777095991471","0.6955747","2.49924088","","1","1","","1.5"
"5","A","TP+ ","05/15/2018","Benchmark Company LLC","CHINA LODGIN-ADR","Forced","18.4280238102658","4.71530526381401","13.0952380952381","7.16224246672545","6.8605769","8.75578","","5","5","","1.5"
"6","A","TP+ ","05/15/2018","Landesbank Baden-Wuerttemberg","ARCELORMITTAL","Forced","16.144018583043","6.18881699021072","9.375","2.87386273020098","-0.4560536","2.6530064","","5","5","","1.5"
"7","A","TP+ ","05/15/2018","AlphaValue","BOLIDEN AB","","8.37745250700717","7.13173466209902","1.16279069767442","11.777298274976","-0.36848391","0.2025339","","4","4","","1.5"
"8","A","TP+ ","05/15/2018","AlphaValue","ARCELORMITTAL","","11.8300978928157","11.4982578397212","0.297619047619052","-0.947166456920756","-0.4560536","2.6530064","","4","4","","1.5"
"9","A","TP+ ","05/15/2018","J.P. Morgan","BLUESCOPE STEEL","","6.86164229471316","4.04949381327333","2.7027027027027","9.77793970202558","0.6955747","2.49924088","","5","5","","1.5"
"10","A","TP- ","05/15/2018","J.P. Morgan","SHINHAN FINANCIA","","22.6611226611227","41.3721413721414","-13.2352941176471","-4.02788681212651","1.6122727","2.0930622","","5","5","","0.5"
"11","A","TP- ","05/15/2018","J.P. Morgan","KB FINANCIAL GRO","","25.6544502617801","39.6160558464223","-10","-8.26962836857296","-0.7726937","-2.2399138","","5","5","","0.5"
"12","A","TP- ","05/15/2018","Barclays","NETEASE INC-ADR","","4.74925646733133","12.2313462149978","-6.66666666666667","-15.3252194174714","0.4646797","2.079007","","3","3","","0.5"
"13","B/D"," Downgrade","05/15/2018","DB Financial Investment","KOREA ELEC POWER","","5.54803788903924","5.54803788903924","0","-6.01217981986233","4.1303413","0.1878659"," hold","3","5","-2","-1"
"14","B/D","TP- ","05/14/2018","Renaissance Capital","GLENCORE PLC","","2.69484808454425","6.7117569352708","-3.76426081445096","-10.8807924430477","-1.868202","3.347094","","3","3","","-0.5"
"15","B/D","TP+ ","05/14/2018","Renaissance Capital","RIO TINTO PLC","","11.8248869854866","7.06638115631693","4.44444444444444","13.8646298411779","-0.3969591","2.45168","","5","5","","0.5"
"16","A","TP+ ","05/14/2018","Evercore ISI","MICROSOFT CORP","","21.6494845360825","18.5567010309278","2.60869565217391","7.05296972483229","-0.1042461","-0.221328","","5","5","","1.5"
"17","B/D","TP+ ","05/14/2018","Hana Daetoo Securities","KOREA ELEC POWER","Forced","24.4925575101488","5.54803788903924","17.9487179487179","10.8574289304188","4.1303413","0.1878659","","5","5","","0.5"
"18","B/D","TP+ ","05/14/2018","Shinhan Investment Corp","KOREA ELEC POWER","","8.25439783491204","-2.57104194857916","11.1111111111111","-3.60223571267931","4.1303413","0.1878659","","5","5","","0.5"
"19","B/D","TP+ ","05/14/2018","HMC Investment Securities Co Ltd","KOREA ELEC POWER","","2.84167794316643","0.135317997293649","2.7027027027027","-8.42212392704534","4.1303413","0.1878659","","3","3","","0.5"
"20","A","TP+ ","05/14/2018","Stifel","MICRON TECH","","88.192328833487","77.0125865265472","6.31578947368421","37.9201735937365","4.1793889","9.03385","","5","5","","1.5"
