,6301 JP Equity,,TPX Index,,.GOVTUSJP Index
1/21/2013,2353,1/21/2013,905.16,1/21/2013,-1.0966
1/22/2013,2326,1/22/2013,901.15,1/22/2013,-1.0997
1/23/2013,2286,1/23/2013,887.79,1/23/2013,-1.0831
1/24/2013,2337,1/24/2013,897.62,1/24/2013,-1.1078
1/25/2013,2386,1/25/2013,917.09,1/25/2013,-1.2157
1/28/2013,2355,1/28/2013,913.78,1/28/2013,-1.2033
1/29/2013,2385,1/29/2013,920.76,1/29/2013,-1.2221
1/30/2013,2437,1/30/2013,934.67,1/30/2013,-1.205
1/31/2013,2435,1/31/2013,940.25,1/31/2013,-1.2219
2/1/2013,2470,2/1/2013,942.65,2/1/2013,-1.2319
2/4/2013,2460,2/4/2013,955.75,2/4/2013,-1.1378
2/5/2013,2421,2/5/2013,939.7,2/5/2013,-1.195
2/6/2013,2495,2/6/2013,968.82,2/6/2013,-1.1763
2/7/2013,2458,2/7/2013,969.18,2/7/2013,-1.1818
2/8/2013,2394,2/8/2013,957.35,2/8/2013,-1.1809
2/12/2013,2415,2/12/2013,968.5,2/11/2013,-1.1945
2/13/2013,2408,2/13/2013,957.02,2/12/2013,-1.217
2/14/2013,2417,2/14/2013,954.88,2/13/2013,-1.2767
2/15/2013,2398,2/15/2013,942.41,2/14/2013,-1.2184
2/18/2013,2416,2/18/2013,962.69,2/15/2013,-1.2407
2/19/2013,2395,2/19/2013,963.61,2/18/2013,-1.2447
2/20/2013,2410,2/20/2013,973.7,2/19/2013,-1.2738
2/21/2013,2311,2/21/2013,962.86,2/20/2013,-1.2497
2/22/2013,2350,2/22/2013,963.48,2/21/2013,-1.2226
2/25/2013,2341,2/25/2013,980.7,2/22/2013,-1.2179
2/26/2013,2293,2/26/2013,966.77,2/25/2013,-1.1397
2/27/2013,2255,2/27/2013,953.72,2/26/2013,-1.1808
2/28/2013,2338,2/28/2013,975.66,2/27/2013,-1.2154
3/1/2013,2323,3/1/2013,984.33,2/28/2013,-1.1946
3/4/2013,2261,3/4/2013,992.25,3/1/2013,-1.1632
3/5/2013,2260,3/5/2013,988.62,3/4/2013,-1.2455
3/6/2013,2275,3/6/2013,1003.22,3/5/2013,-1.2418
3/7/2013,2206,3/7/2013,1004.35,3/6/2013,-1.2755
3/8/2013,2235,3/8/2013,1020.5,3/7/2013,-1.3305
3/11/2013,2291,3/11/2013,1039.98,3/8/2013,-1.3957
3/12/2013,2296,3/12/2013,1035.9,3/11/2013,-1.4056
3/13/2013,2259,3/13/2013,1031.42,3/12/2013,-1.3836
3/14/2013,2221,3/14/2013,1038.17,3/13/2013,-1.3979
3/15/2013,2213,3/15/2013,1051.65,3/14/2013,-1.4116
3/18/2013,2203,3/18/2013,1028.34,3/15/2013,-1.3745
3/19/2013,2252,3/19/2013,1045.89,3/18/2013,-1.3696
3/21/2013,2268,3/21/2013,1058.1,3/19/2013,-1.3107
3/22/2013,2298,3/22/2013,1038.57,3/20/2013,-1.3671
3/25/2013,2335,3/25/2013,1047.29,3/21/2013,-1.3342
3/26/2013,2306,3/26/2013,1044.42,3/22/2013,-1.363
3/27/2013,2282,3/27/2013,1046.47,3/25/2013,-1.3618
3/28/2013,2233,3/28/2013,1036.78,3/26/2013,-1.3654
3/29/2013,2249,3/29/2013,1034.71,3/27/2013,-1.3264
4/1/2013,2208,4/1/2013,1000.57,3/28/2013,-1.3347
4/2/2013,2123,4/2/2013,991.34,3/29/2013,-1.2846
4/3/2013,2080,4/3/2013,1010.43,4/1/2013,-1.2664
4/4/2013,2087,4/4/2013,1037.76,4/2/2013,-1.294
4/5/2013,2201,4/5/2013,1066.24,4/3/2013,-1.2556
4/8/2013,2295,4/8/2013,1101.74,4/4/2013,-1.3205
4/9/2013,2351,4/9/2013,1102.04,4/5/2013,-1.1788
4/10/2013,2390,4/10/2013,1121.04,4/8/2013,-1.221
4/11/2013,2516,4/11/2013,1147.29,4/9/2013,-1.2192
4/12/2013,2505,4/12/2013,1148.57,4/10/2013,-1.2184
4/15/2013,2433,4/15/2013,1133.99,4/11/2013,-1.2337
4/16/2013,2400,4/16/2013,1119.2,4/12/2013,-1.0978
4/17/2013,2440,4/17/2013,1136.01,4/15/2013,-1.0318
4/18/2013,2453,4/18/2013,1122.97,4/16/2013,-1.1274
4/19/2013,2488,4/19/2013,1126.67,4/17/2013,-1.091
4/22/2013,2508,4/22/2013,1145.6,4/18/2013,-1.0957
4/23/2013,2504,4/23/2013,1143.78,4/19/2013,-1.1209
4/24/2013,2581,4/24/2013,1164.35,4/22/2013,-1.0809
4/25/2013,2587,4/25/2013,1172.78,4/23/2013,-1.1175
4/26/2013,2655,4/26/2013,1161.19,4/24/2013,-1.1047
4/30/2013,2659,4/30/2013,1165.13,4/25/2013,-1.123
5/1/2013,2615,5/1/2013,1158.37,4/26/2013,-1.0693
5/2/2013,2507,5/2/2013,1153.28,4/29/2013,-1.0761
5/7/2013,2613,5/7/2013,1188.57,4/30/2013,-1.0607
5/8/2013,2728,5/8/2013,1194.34,5/1/2013,-1.038
5/9/2013,2684,5/9/2013,1181.83,5/2/2013,-1.0625
5/10/2013,2785,5/10/2013,1210.6,5/3/2013,-1.1752
5/13/2013,2861,5/13/2013,1232.2,5/6/2013,-1.1958
5/14/2013,2828,5/14/2013,1230.8,5/7/2013,-1.1798
5/15/2013,2894,5/15/2013,1252.85,5/8/2013,-1.1685
5/16/2013,2884,5/16/2013,1245.23,5/9/2013,-1.2119
5/17/2013,2871,5/17/2013,1253.24,5/10/2013,-1.1973
5/20/2013,2920,5/20/2013,1269.51,5/13/2013,-1.1419
5/21/2013,2950,5/21/2013,1270.39,5/14/2013,-1.121
5/22/2013,2973,5/22/2013,1276.03,5/15/2013,-1.0667
5/23/2013,2750,5/23/2013,1188.34,5/16/2013,-1.0379
5/24/2013,2724,5/24/2013,1194.08,5/17/2013,-1.1446
5/27/2013,2595,5/27/2013,1154.07,5/20/2013,-1.1157
5/28/2013,2680,5/28/2013,1168.27,5/21/2013,-1.0443
5/29/2013,2722,5/29/2013,1178.87,5/22/2013,-1.1535
5/30/2013,2624,5/30/2013,1134.42,5/23/2013,-1.1807
