,6301 JP Equity,,TPX Index,,.GOVTUSJP Index
1/21/2013,-0.801,1/21/2013,-0.69,1/21/2013,-1.2931
1/22/2013,-1.1475,1/22/2013,-0.44,1/22/2013,-0.2787
1/23/2013,-1.7197,1/23/2013,-1.48,1/23/2013,1.5101
1/24/2013,2.231,1/24/2013,1.11,1/24/2013,-2.2785
1/25/2013,2.0967,1/25/2013,2.17,1/25/2013,-9.7445
1/28/2013,-1.2992,1/28/2013,-0.36,1/28/2013,1.0188
1/29/2013,1.2739,1/29/2013,0.76,1/29/2013,-1.5608
1/30/2013,2.1803,1/30/2013,1.51,1/30/2013,1.3989
1/31/2013,-0.0821,1/31/2013,0.6,1/31/2013,-1.403
2/1/2013,1.4374,2/1/2013,0.26,2/1/2013,-0.8178
2/4/2013,-0.4049,2/4/2013,1.39,2/4/2013,7.6424
2/5/2013,-1.5854,2/5/2013,-1.68,2/5/2013,-5.0296
2/6/2013,3.0566,2/6/2013,3.1,2/6/2013,1.5623
2/7/2013,-1.483,2/7/2013,0.04,2/7/2013,-0.4673
2/8/2013,-2.6037,2/8/2013,-1.22,2/8/2013,0.078
2/12/2013,0.8772,2/12/2013,1.16,2/11/2013,-1.1482
2/13/2013,-0.2899,2/13/2013,-1.19,2/12/2013,-1.8908
2/14/2013,0.3738,2/14/2013,-0.22,2/13/2013,-4.9014
2/15/2013,-0.7861,2/15/2013,-1.31,2/14/2013,4.5659
2/18/2013,0.7506,2/18/2013,2.15,2/15/2013,-1.8318
2/19/2013,-0.8692,2/19/2013,0.1,2/18/2013,-0.3224
2/20/2013,0.6263,2/20/2013,1.05,2/19/2013,-2.3334
2/21/2013,-4.1079,2/21/2013,-1.11,2/20/2013,1.8927
2/22/2013,1.6876,2/22/2013,0.06,2/21/2013,2.1662
2/25/2013,-0.383,2/25/2013,1.79,2/22/2013,0.3875
2/26/2013,-2.0504,2/26/2013,-1.42,2/25/2013,6.4152
