"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"AAPL.UW.Equity",0.229767921793377,0.268319085160095,0.0238227200363378,-0.436901375320402,-0.00876019343985447,0.196200959983202,0.580181269352817,0.562162162162162,-0.00416374912436648,0.587632481275943
"ABBV.UN.Equity",0.221777198580207,0.269542933210659,0.0232264504913555,-0.27432385536294,-0.0121183663231345,0.195769433101088,0.581761035382822,0.535269709543568,0.426013161626957,2.61506803611263
"ABT.UN.Equity",0.147016734288362,0.174700147824341,0.0162813399094161,-0.263834271060598,-0.0852183167714786,0.180295606527837,0.579703850906881,0.562162162162162,-0.410524876019211,2.66239989503864
"ACN.UN.Equity",0.201431047966449,0.220834484613443,0.0198362752876942,-0.252089945138095,-0.0325661548465174,0.201786193649451,0.587615859280196,0.575675675675676,-0.0646522494633069,1.80071813281585
"AIG.UN.Equity",0.119829242329358,0.278204645441518,0.0261406844886498,-0.608399582492563,-0.0538548993367179,0.111790327332267,0.551967607923762,0.545945945945946,-0.0579076661128456,1.69975090740103
"ALL.UN.Equity",0.189120377167708,0.171638055074088,0.0157908740754769,-0.316707078668176,-0.0579736438340103,0.22925369418519,0.600793226406947,0.591891891891892,-0.379100145641009,1.95055412607573
"AMGN.UW.Equity",0.194953061160044,0.223071591024802,0.0188851755376138,-0.225401332239424,-0.0354250217534663,0.206730720515148,0.58239054606564,0.554054054054054,0.299852630976762,0.869866317285533
"AMZN.UW.Equity",0.349124356648268,0.302543337040888,0.0251242537294038,-0.298365583399899,0.0391426417699042,0.264375527702309,0.604500014627114,0.554054054054054,0.348042759240525,2.08951115970396
"APA.UN.Equity",-0.067522985800016,0.337002959014922,0.0326370426032934,-0.721778762574123,-0.112443691234147,-0.00781113765518409,0.496291899763633,0.513513513513513,0.188064610349657,2.31501442326143
"APC.UN.Equity",0.0367129067302492,0.356774498119593,0.0332407987447126,-0.709813848023742,-0.0623942397566003,0.0575497603018426,0.526969812526253,0.510810810810811,0.165492658470245,2.68915007654537
"AXP.UN.Equity",0.118123195782136,0.22172994038176,0.0203372979683648,-0.437145537067628,-0.0773767972289184,0.128866012120351,0.556505434233462,0.527027027027027,-0.0259326523444617,1.36357649998137
"BA.UN.Equity",0.223027291684037,0.23550904354198,0.0215552440112327,-0.294244469821686,-0.0179910244657185,0.204703181496236,0.590009555601671,0.572972972972973,-0.197436590108392,2.48970667627778
"BAC.UN.Equity",0.0726766182610696,0.32483453846559,0.0296537883352605,-0.663201569415514,-0.0586893952666987,0.0794586959585733,0.534460545556296,0.5,0.247825161261806,1.75056144131695
