Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
2333 HK Equity,1.00,0.4284,,,,,,,,,
1128 HK Equity,3.00,0.0000,0.0000,0.1828,,,,,,,
1211 HK Equity,2.00,0.0785,0.0777,,,,,,,,
489 HK Equity,2.00,0.0054,0.0027,,,,,,,,
2282 HK Equity,6.00,0.0109,0.0472,0.5737,0.0447,0.5395,0.1427,,,,
2238 HK Equity,2.00,0.0014,0.0088,,,,,,,,
3333 HK Equity,2.00,0.0066,0.0037,,,,,,,,
670 HK Equity,2.00,0.0137,0.0032,,,,,,,,
1055 HK Equity,2.00,0.0030,0.0006,,,,,,,,
2313 HK Equity,1.00,0.5766,,,,,,,,,
3383 HK Equity,2.00,0.0010,0.0001,,,,,,,,
3308 HK Equity,2.00,0.0013,0.0003,,,,,,,,
2020 HK Equity,2.00,0.0015,0.0004,,,,,,,,
1833 HK Equity,2.00,0.0055,0.0019,,,,,,,,
881 HK Equity,6.00,0.0027,0.0004,0.0085,0.1157,0.4886,0.1195,,,,
425 HK Equity,1.00,0.4789,,,,,,,,,
3918 HK Equity,1.00,0.6492,,,,,,,,,
1293 HK Equity,1.00,0.1615,,,,,,,,,
921 HK Equity,1.00,0.3649,,,,,,,,,
3669 HK Equity,1.00,0.0123,,,,,,,,,
210 HK Equity,2.00,0.0233,0.0044,,,,,,,,
3368 HK Equity,5.00,0.0000,0.0004,0.2524,0.7205,0.0320,,,,,
1728 HK Equity,6.00,0.0015,0.0268,0.7635,0.4326,0.0100,0.0122,,,,
3818 HK Equity,2.00,0.0079,0.0030,,,,,,,,
2006 HK Equity,4.00,0.0591,0.0005,0.0201,0.5743,,,,,,
848 HK Equity,3.00,0.0044,0.0113,0.6865,,,,,,,
1028 HK Equity,2.00,0.1146,0.0598,,,,,,,,
1628 HK Equity,2.00,0.0104,0.0111,,,,,,,,
2331 HK Equity,4.00,0.0045,0.0014,0.0099,0.0172,,,,,,
2698 HK Equity,2.00,0.0003,0.0001,,,,,,,,
1966 HK Equity,2.00,0.1720,0.1770,,,,,,,,
331 HK Equity,1.00,0.6932,,,,,,,,,
1234 HK Equity,1.00,0.5299,,,,,,,,,
1899 HK Equity,2.00,0.7652,0.6271,,,,,,,,
2200 HK Equity,1.00,0.4285,,,,,,,,,
811 HK Equity,3.00,0.0387,0.0111,0.3142,,,,,,,
1146 HK Equity,1.00,0.0278,,,,,,,,,
2355 HK Equity,1.00,0.2411,,,,,,,,,
1698 HK Equity,2.00,0.1922,0.2483,,,,,,,,
672 HK Equity,1.00,0.1436,,,,,,,,,
2722 HK Equity,1.00,0.3084,,,,,,,,,
1086 HK Equity,2.00,0.3533,0.1909,,,,,,,,
946 HK Equity,10.00,0.1435,0.1521,0.6460,0.8526,0.9294,0.5569,0.388115463,0.189851371,0.321709673,0.293163268
1968 HK Equity,3.00,0.0338,0.0180,0.2036,,,,,,,
2083 HK Equity,6.00,0.0376,0.0398,0.4808,0.4165,0.0356,0.9318,,,,
496 HK Equity,6.00,0.8317,0.5898,0.1054,0.0741,0.0723,0.0433,,,,
3666 HK Equity,1.00,0.0023,,,,,,,,,
873 HK Equity,1.00,0.8148,,,,,,,,,
238 HK Equity,2.00,0.0157,0.0186,,,,,,,,
837 HK Equity,2.00,0.0345,0.0452,,,,,,,,
1863 HK Equity,6.00,0.6748,0.0880,0.6048,0.0824,0.8498,0.0001,,,,
,2.53,0.1865,0.0706,0.3466,0.3331,0.3697,0.2581,0.3881,0.1899,0.3217,0.2932
