Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
857 HK Equity,8.00,0.0000,0.0000,0.2138,0.7083,0.4542,0.0339,0.0016,0.0172,,
386 HK Equity,2.00,0.0000,0.0000,,,,,,,,
883 HK Equity,2.00,0.0000,0.0000,,,,,,,,
1088 HK Equity,8.00,0.0005,0.0001,0.0953,0.8766,0.1489,0.1527,0.0693,0.0439,,
2883 HK Equity,2.00,0.0000,0.0000,,,,,,,,
1898 HK Equity,10.00,0.0000,0.0000,0.2047,0.5186,0.0049,0.0100,0.0035,0.0042,0.0707,0.1221
1171 HK Equity,2.00,0.0000,0.0000,,,,,,,,
384 HK Equity,1.00,0.8278,,,,,,,,,
3337 HK Equity,10.00,0.4110,0.2469,0.1305,0.0522,0.6440,0.5904,0.9168,0.8633,0.8940,0.8194
956 HK Equity,3.00,0.0006,0.4426,0.0266,,,,,,,
196 HK Equity,1.00,0.2494,,,,,,,,,
568 HK Equity,1.00,0.1623,,,,,,,,,
975 HK Equity,6.00,0.0327,0.0156,0.0225,0.3015,0.0156,0.0080,,,,
1393 HK Equity,9.00,0.0895,0.0364,0.5184,0.5321,0.5434,0.3462,0.4743,0.0750,0.2676,
951 HK Equity,1.00,0.0014,,,,,,,,,
686 HK Equity,2.00,0.4563,0.5019,,,,,,,,
712 HK Equity,2.00,0.0017,0.0032,,,,,,,,
839 HK Equity,2.00,0.0391,0.0204,,,,,,,,
866 HK Equity,7.00,0.7388,0.0437,0.0420,0.0524,0.5805,0.0361,0.8603,,,
3303 HK Equity,6.00,0.9509,0.2681,0.2143,0.3097,0.5543,0.7596,,,,
842 HK Equity,3.00,0.0108,0.0003,0.0253,,,,,,,
,4.19,0.1892,0.0929,0.1493,0.4189,0.3682,0.2421,0.3876,0.2007,0.4108,0.4707
