Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
939 HK Equity,2.00,0.0005,0.0001,,,,,,,,
3988 HK Equity,2.00,0.0000,0.0000,,,,,,,,
2628 HK Equity,10.00,0.0000,0.0000,0.3101,0.6381,0.1477,0.0096,0.0144,0.0085,0.1994,0.5148
3328 HK Equity,9.00,0.0000,0.0003,0.1305,0.4684,0.0307,0.0142,0.0609,0.0807,0.3426,
2318 HK Equity,3.00,0.0000,0.0000,0.2337,,,,,,,
998 HK Equity,2.00,0.0000,0.0000,,,,,,,,
2328 HK Equity,2.00,0.0008,0.0002,,,,,,,,
2007 HK Equity,2.00,0.0026,0.0011,,,,,,,,
960 HK Equity,2.00,0.0000,0.0000,,,,,,,,
2777 HK Equity,9.00,0.0001,0.0001,0.4874,0.7787,0.0478,0.1781,0.4040,0.0003,0.0018,
410 HK Equity,3.00,0.0000,0.0000,0.1396,,,,,,,
3618 HK Equity,6.00,0.0185,0.0116,0.3648,0.2582,0.0986,0.0006,,,,
3900 HK Equity,2.00,0.0182,0.0086,,,,,,,,
3377 HK Equity,2.00,0.0000,0.0000,,,,,,,,
272 HK Equity,9.00,0.0000,0.0000,0.0148,0.0404,0.5422,0.6518,0.1191,0.0005,0.0255,
1918 HK Equity,2.00,0.0536,0.0142,,,,,,,,
588 HK Equity,2.00,0.0265,0.0096,,,,,,,,
1387 HK Equity,6.00,0.0794,0.0933,0.7402,0.6385,0.3994,0.0418,,,,
1638 HK Equity,1.00,0.0277,,,,,,,,,
337 HK Equity,8.00,0.0476,0.1982,0.8264,0.3626,0.4313,0.3558,0.0728,0.2818,,
1777 HK Equity,1.00,0.2805,,,,,,,,,
2868 HK Equity,2.00,0.0330,0.0147,,,,,,,,
1238 HK Equity,1.00,0.7732,,,,,,,,,
832 HK Equity,2.00,0.0045,0.0007,,,,,,,,
3883 HK Equity,10.00,0.0037,0.0001,0.0344,0.5915,0.3032,0.1064,0.2885,0.0289,0.7889,0.0687
2118 HK Equity,2.00,0.0336,0.0297,,,,,,,,
8207 HK Equity,3.00,0.0058,0.0851,0.6773,,,,,,,
733 HK Equity,1.00,0.4025,,,,,,,,,
,3.79,0.0647,0.0195,0.3599,0.4720,0.2501,0.1698,0.1599,0.0668,0.2717,0.2918
