Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
1099 HK Equity,3,0.6648,0.3614,0.4228,,,,,,,
1066 HK Equity,1,0.8003,,,,,,,,,
874 HK Equity,6,0.1567,0.3424,0.9002,0.7924,0.4194,0.3806,,,,
460 HK Equity,1,0.8496,,,,,,,,,
867 HK Equity,1,0.0094,,,,,,,,,
1666 HK Equity,10,0.3311,0.2365,0.2667,0.3033,0.8440,0.7421,0.6268,0.4616,0.7726,0.9188
2877 HK Equity,1,0.1793,,,,,,,,,
853 HK Equity,1,0.1125,,,,,,,,,
325 HK Equity,1,0.3895,,,,,,,,,
8058 HK Equity,7,0.0664,0.2661,0.1184,0.1294,0.8777,0.8051,0.4198,,,
8231 HK Equity,1,0.8286,,,,,,,,,
963 HK Equity,10,0.8795,0.9520,0.4353,0.1539,0.1637,0.7418,0.2868,0.0617,0.0749,0.3480
,3.58,0.4390,0.4317,0.4287,0.3447,0.5762,0.6674,0.4445,0.2617,0.4237,0.6334
