Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
1800 HK Equity,10,0.0000,0.0000,0.1218,0.6273,0.0400,0.0227,0.0098,0.0042,0.0192,0.1211
1186 HK Equity,10,0.0000,0.0001,0.1126,0.8337,0.1861,0.8893,0.0016,0.0003,0.2994,0.0707
390 HK Equity,9,0.0085,0.0022,0.0682,0.7551,0.0766,0.0783,0.0011,0.0037,0.3112,
2338 HK Equity,2,0.0279,0.0137,,,,,,,,
1919 HK Equity,9,0.0003,0.0027,0.5047,0.8421,0.0118,0.0916,0.1875,0.0119,0.1059,
177 HK Equity,2,0.0000,0.0000,,,,,,,,
552 HK Equity,7,0.0000,0.0005,0.4362,0.7411,0.0731,0.4860,0.8980,,,
576 HK Equity,3,0.0011,0.0003,0.1215,,,,,,,
2866 HK Equity,2,0.0018,0.0005,,,,,,,,
2357 HK Equity,1,0.2915,,,,,,,,,
694 HK Equity,8,0.0014,0.0026,0.1496,0.7946,0.1160,0.3609,0.0319,0.0180,,
3898 HK Equity,1,0.1532,,,,,,,,,
1882 HK Equity,1,0.1691,,,,,,,,,
1138 HK Equity,10,0.0004,0.0023,0.1604,0.6131,0.0004,0.2051,0.8199,0.0098,0.0007,0.0252
1333 HK Equity,3,0.1676,0.0165,0.0737,,,,,,,
2880 HK Equity,4,0.0000,0.0000,0.0334,0.3678,,,,,,
3808 HK Equity,2,0.0013,0.0003,,,,,,,,
107 HK Equity,3,0.0027,0.0001,0.0330,,,,,,,
2382 HK Equity,7,0.0546,0.1766,0.8793,0.3060,0.1792,0.5547,0.6994,,,
38 HK Equity,2,0.5745,0.4136,,,,,,,,
1308 HK Equity,1,0.5079,,,,,,,,,
2222 HK Equity,1,0.1978,,,,,,,,,
995 HK Equity,2,0.0008,0.0002,,,,,,,,
1133 HK Equity,2,0.0042,0.0025,,,,,,,,
631 HK Equity,2,0.4556,0.4510,,,,,,,,
598 HK Equity,8,0.0000,0.0001,0.3707,0.2212,0.0225,0.0886,0.0217,0.0003,,
3339 HK Equity,2,0.0009,0.0004,,,,,,,,
1101 HK Equity,2,0.0044,0.0034,,,,,,,,
1893 HK Equity,2,0.0131,0.0075,,,,,,,,
1685 HK Equity,2,0.4719,0.3882,,,,,,,,
826 HK Equity,2,0.0114,0.0082,,,,,,,,
187 HK Equity,1,0.3490,,,,,,,,,
357 HK Equity,2,0.0048,0.0022,,,,,,,,
6888 HK Equity,1,0.4275,,,,,,,,,
3378 HK Equity,2,0.0016,0.0003,,,,,,,,
1080 HK Equity,3,0.0682,0.1859,0.9120,,,,,,,
1708 HK Equity,1,0.2618,,,,,,,,,
569 HK Equity,1,0.1904,,,,,,,,,
2345 HK Equity,3,0.0000,0.0001,0.3094,,,,,,,
,3.49,0.1135,0.0561,0.2858,0.6102,0.0784,0.3086,0.2968,0.0069,0.1473,0.0723
