Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
914 HK Equity,7.00,0.0007,0.0027,0.7960,0.5906,0.0224,0.0954,0.7076,,,
2899 HK Equity,6.00,0.5886,0.1941,0.6916,0.1277,0.0033,0.0160,,,,
358 HK Equity,2.00,0.0029,0.0008,,,,,,,,
2600 HK Equity,2.00,0.0001,0.0000,,,,,,,,
3993 HK Equity,2.00,0.0066,0.0026,,,,,,,,
656 HK Equity,9.00,0.0013,0.0006,0.0264,0.3403,0.0380,0.2074,0.9832,0.1011,0.1086,
3323 HK Equity,2.00,0.0001,0.0000,,,,,,,,
2009 HK Equity,10.00,0.0020,0.0087,0.6618,0.6229,0.4136,0.4877,0.7849,0.5684,0.8067,0.0907
3983 HK Equity,7.00,0.0232,0.0021,0.1799,0.5934,0.1594,0.0108,0.3538,,,
1818 HK Equity,1.00,0.2278,,,,,,,,,
2128 HK Equity,8.00,0.1035,0.4690,0.7652,0.6336,0.2407,0.7261,0.8727,0.0267,,
691 HK Equity,6.00,0.0020,0.0006,0.5226,0.9526,0.7515,0.8315,,,,
930 HK Equity,2.00,0.2471,0.1797,,,,,,,,
2626 HK Equity,1.00,0.0624,,,,,,,,,
246 HK Equity,1.00,0.4070,,,,,,,,,
468 HK Equity,2.00,0.0082,0.0112,,,,,,,,
189 HK Equity,1.00,0.0927,,,,,,,,,
906 HK Equity,2.00,0.0306,0.0349,,,,,,,,
743 HK Equity,2.00,0.0000,0.0000,,,,,,,,
2233 HK Equity,7.00,0.0371,0.0269,0.4808,0.7576,0.0143,0.0625,0.1645,,,
1053 HK Equity,3.00,0.0011,0.0009,0.2119,,,,,,,
1768 HK Equity,7.00,0.3014,0.2481,0.8762,0.2504,0.5600,0.2128,0.8513,,,
2198 HK Equity,1.00,0.1994,,,,,,,,,
3868 HK Equity,2.00,0.0568,0.0157,,,,,,,,
3833 HK Equity,2.00,0.0293,0.0138,,,,,,,,
1091 HK Equity,7.00,0.0218,0.0165,0.6160,0.3720,0.3385,0.7184,0.0084,,,
1938 HK Equity,1.00,0.0143,,,,,,,,,
769 HK Equity,1.00,0.6196,,,,,,,,,
1266 HK Equity,4.00,0.0052,0.0486,0.3638,0.1385,,,,,,
609 HK Equity,2.00,0.2880,0.2690,,,,,,,,
3330 HK Equity,1.00,0.7440,,,,,,,,,
1090 HK Equity,2.00,0.0306,0.0231,,,,,,,,
,3.53,0.1299,0.0654,0.5160,0.4891,0.2542,0.3369,0.5908,0.2320,0.4577,0.0907
