Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
151 HK Equity,6.00,0.0041,0.0244,0.4474,0.2604,0.5527,0.7109,,,,
322 HK Equity,2.00,0.0491,0.0181,,,,,,,,
1044 HK Equity,2.00,0.0001,0.0000,,,,,,,,
220 HK Equity,2.00,0.2351,0.1965,,,,,,,,
1112 HK Equity,10.00,0.0121,0.0402,0.7641,0.3485,0.5038,0.3256,0.5909,0.0504,0.0494,0.7668
1025 HK Equity,2.00,0.0001,0.0000,,,,,,,,
1230 HK Equity,2.00,0.1046,0.0750,,,,,,,,
829 HK Equity,3.00,0.0413,0.0229,0.2284,,,,,,,
1117 HK Equity,2.00,0.1544,0.1266,,,,,,,,
1700 HK Equity,1.00,0.7376,,,,,,,,,
1068 HK Equity,2.00,0.0029,0.0016,,,,,,,,
1886 HK Equity,1.00,0.0033,,,,,,,,,
980 HK Equity,6.00,0.0106,0.0006,0.3150,0.2680,0.7848,0.5262,,,,
1006 HK Equity,2.00,0.0135,0.0225,,,,,,,,
1007 HK Equity,7.00,0.2390,0.0901,0.3663,0.0500,0.5391,0.6256,0.0196,,,
1717 HK Equity,2.00,0.7742,0.7654,,,,,,,,
1338 HK Equity,2.00,0.5658,0.4802,,,,,,,,
2218 HK Equity,2.00,0.0235,0.0111,,,,,,,,
814 HK Equity,2.00,0.3915,0.2560,,,,,,,,
,3.05,0.1770,0.1254,0.4242,0.2317,0.5951,0.5471,0.3053,0.0504,0.0494,0.7668
