Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
4502 JP Equity,8.00,0.00,0.00,0.68,0.07,0.43,1.00,0.03,0.26,,
4503 JP Equity,4.00,0.00,0.00,0.03,0.00,,,,,,
4578 JP Equity,1.00,0.65,,,,,,,,,
4523 JP Equity,6.00,0.00,0.00,0.62,0.00,0.06,0.86,,,,
4568 JP Equity,3.00,0.00,0.00,0.02,,,,,,,
4519 JP Equity,3.00,0.00,0.00,0.06,,,,,,,
4543 JP Equity,2.00,0.00,0.00,,,,,,,,
7741 JP Equity,5.00,0.00,0.00,0.59,0.04,0.02,,,,,
7733 JP Equity,2.00,0.00,0.00,,,,,,,,
4528 JP Equity,3.00,0.00,0.00,0.13,,,,,,,
4507 JP Equity,3.00,0.00,0.00,0.23,,,,,,,
4508 JP Equity,2.00,0.04,0.04,,,,,,,,
6869 JP Equity,4.00,0.00,0.00,0.63,0.55,,,,,,
4151 JP Equity,2.00,0.00,0.00,,,,,,,,
4530 JP Equity,2.00,0.00,0.00,,,,,,,,
4506 JP Equity,4.00,0.00,0.00,0.24,0.64,,,,,,
4536 JP Equity,2.00,0.64,0.59,,,,,,,,
7459 JP Equity,7.00,0.00,0.00,0.71,0.01,0.18,0.68,0.96,,,
6965 JP Equity,4.00,0.00,0.00,0.06,0.06,,,,,,
2784 JP Equity,7.00,0.00,0.00,0.71,0.26,0.99,0.29,0.97,,,
9987 JP Equity,2.00,0.00,0.00,,,,,,,,
4974 JP Equity,10.00,0.16,0.45,0.73,0.46,0.68,0.16,0.23,0.92,0.57,0.41
4544 JP Equity,3.00,0.06,0.16,0.87,,,,,,,
7701 JP Equity,3.00,0.00,0.00,0.34,,,,,,,
4555 JP Equity,3.00,0.91,0.40,0.24,,,,,,,
6849 JP Equity,2.00,0.00,0.00,,,,,,,,
8086 JP Equity,9.00,0.01,0.02,0.23,0.73,0.70,0.14,0.10,0.78,0.19,
4569 JP Equity,3.00,0.03,0.00,0.01,,,,,,,
4527 JP Equity,3.00,0.00,0.00,0.01,,,,,,,
4534 JP Equity,2.00,0.01,0.04,,,,,,,,
4521 JP Equity,3.00,0.04,0.04,0.34,,,,,,,
3360 JP Equity,2.00,0.05,0.10,,,,,,,,
8129 JP Equity,2.00,0.02,0.01,,,,,,,,
4516 JP Equity,4.00,0.00,0.00,0.51,0.31,,,,,,
4547 JP Equity,3.00,0.01,0.00,0.07,,,,,,,
6376 JP Equity,2.00,0.00,0.00,,,,,,,,
,3.61,0.07,0.05,0.35,0.26,0.44,0.52,0.46,0.65,0.38,0.41
