Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
6954 JP Equity,2.00,0.00,0.00,,,,,,,,
6501 JP Equity,2.00,0.00,0.00,,,,,,,,
6301 JP Equity,2.00,0.00,0.00,,,,,,,,
6503 JP Equity,2.00,0.00,0.00,,,,,,,,
7011 JP Equity,5.00,0.00,0.00,0.01,0.81,0.03,,,,,
6861 JP Equity,2.00,0.00,0.00,,,,,,,,
6326 JP Equity,2.00,0.00,0.00,,,,,,,,
6981 JP Equity,6.00,0.00,0.00,0.62,0.92,0.57,0.17,,,,
8053 JP Equity,2.00,0.00,0.00,,,,,,,,
6273 JP Equity,3.00,0.00,0.00,0.54,,,,,,,
6367 JP Equity,2.00,0.00,0.00,,,,,,,,
9064 JP Equity,6.00,0.00,0.01,0.91,0.84,0.62,0.04,,,,
1963 JP Equity,2.00,0.00,0.00,,,,,,,,
7205 JP Equity,3.00,0.00,0.00,0.35,,,,,,,
6645 JP Equity,2.00,0.00,0.00,,,,,,,,
7013 JP Equity,2.00,0.00,0.00,,,,,,,,
6806 JP Equity,2.00,0.00,0.00,,,,,,,,
6471 JP Equity,2.00,0.00,0.00,,,,,,,,
9062 JP Equity,9.00,0.00,0.00,0.61,0.75,0.13,0.87,1.00,0.47,0.27,
9104 JP Equity,6.00,0.00,0.00,0.02,0.78,0.41,0.74,,,,
9101 JP Equity,5.00,0.00,0.00,0.12,0.77,0.10,,,,,
1801 JP Equity,6.00,0.00,0.00,0.74,0.97,0.01,0.00,,,,
6305 JP Equity,2.00,0.00,0.00,,,,,,,,
1802 JP Equity,10.00,0.00,0.00,0.20,0.80,0.01,0.07,0.31,0.07,0.23,0.45
1812 JP Equity,3.00,0.00,0.00,0.92,,,,,,,
1803 JP Equity,2.00,0.00,0.00,,,,,,,,
6841 JP Equity,2.00,0.00,0.00,,,,,,,,
6506 JP Equity,2.00,0.00,0.00,,,,,,,,
6366 JP Equity,6.00,0.00,0.00,0.29,0.65,0.91,0.90,,,,
6481 JP Equity,3.00,0.00,0.01,0.63,,,,,,,
6113 JP Equity,2.00,0.00,0.00,,,,,,,,
6370 JP Equity,6.00,0.00,0.00,0.09,0.09,0.00,0.01,,,,
6302 JP Equity,2.00,0.00,0.00,,,,,,,,
6504 JP Equity,2.00,0.01,0.01,,,,,,,,
6268 JP Equity,2.00,0.00,0.00,,,,,,,,
9301 JP Equity,2.00,0.00,0.00,,,,,,,,
6361 JP Equity,2.00,0.00,0.00,,,,,,,,
6465 JP Equity,1.00,0.24,,,,,,,,,
9962 JP Equity,2.00,0.00,0.00,,,,,,,,
9364 JP Equity,6.00,0.00,0.00,0.05,0.25,0.21,0.30,,,,
6146 JP Equity,3.00,0.00,0.07,0.26,,,,,,,
1881 JP Equity,2.00,0.01,0.04,,,,,,,,
1944 JP Equity,10.00,0.01,0.01,0.02,0.24,0.41,0.66,0.68,0.10,0.02,0.86
9107 JP Equity,5.00,0.00,0.00,0.13,0.80,0.33,,,,,
6395 JP Equity,2.00,0.00,0.00,,,,,,,,
1721 JP Equity,2.00,0.00,0.00,,,,,,,,
9076 JP Equity,2.00,0.00,0.00,,,,,,,,
6754 JP Equity,2.00,0.02,0.01,,,,,,,,
6472 JP Equity,2.00,0.00,0.00,,,,,,,,
9086 JP Equity,2.00,0.00,0.00,,,,,,,,
9075 JP Equity,9.00,0.01,0.16,0.83,0.65,0.65,0.25,0.15,0.70,0.05,
5801 JP Equity,2.00,0.00,0.00,,,,,,,,
7458 JP Equity,6.00,0.30,0.20,0.38,0.95,0.03,0.00,,,,
6845 JP Equity,5.00,0.00,0.00,0.19,0.29,0.05,,,,,
1883 JP Equity,2.00,0.00,0.01,,,,,,,,
6856 JP Equity,2.00,0.00,0.00,,,,,,,,
6961 JP Equity,2.00,0.02,0.03,,,,,,,,
6136 JP Equity,2.00,0.00,0.00,,,,,,,,
1983 JP Equity,6.00,0.00,0.00,0.18,0.93,0.88,0.96,,,,
6269 JP Equity,6.00,0.00,0.00,0.14,0.97,0.59,0.70,,,,
6141 JP Equity,6.00,0.00,0.01,0.67,0.52,0.06,0.16,,,,
9375 JP Equity,2.00,0.00,0.00,,,,,,,,
9706 JP Equity,3.00,0.00,0.00,0.07,,,,,,,
7003 JP Equity,3.00,0.00,0.00,0.10,,,,,,,
1951 JP Equity,2.00,0.00,0.00,,,,,,,,
6103 JP Equity,2.00,0.00,0.00,,,,,,,,
9065 JP Equity,2.00,0.00,0.00,,,,,,,,
1414 JP Equity,10.00,0.01,0.26,0.88,0.51,0.20,0.39,0.01,0.34,0.05,0.00
7004 JP Equity,3.00,0.00,0.00,0.79,,,,,,,
9303 JP Equity,2.00,0.00,0.00,,,,,,,,
9072 JP Equity,2.00,0.02,0.03,,,,,,,,
6755 JP Equity,2.00,0.00,0.00,,,,,,,,
6474 JP Equity,2.00,0.00,0.00,,,,,,,,
6371 JP Equity,2.00,0.00,0.00,,,,,,,,
6005 JP Equity,6.00,0.00,0.00,0.20,0.03,0.00,0.13,,,,
6383 JP Equity,2.00,0.00,0.00,,,,,,,,
,3.38,0.01,0.01,0.38,0.64,0.30,0.37,0.43,0.34,0.12,0.44
