Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
4063 JP Equity,2.00,0.00,0.00,,,,,,,,
5401 JP Equity,4.00,0.00,0.00,0.01,0.11,,,,,,
5411 JP Equity,2.00,0.00,0.00,,,,,,,,
6988 JP Equity,3.00,0.00,0.00,0.69,,,,,,,
8015 JP Equity,2.00,0.00,0.00,,,,,,,,
3407 JP Equity,3.00,0.00,0.00,0.56,,,,,,,
5201 JP Equity,3.00,0.00,0.00,0.45,,,,,,,
4188 JP Equity,2.00,0.00,0.00,,,,,,,,
5713 JP Equity,5.00,0.00,0.01,0.31,0.79,0.10,,,,,
4005 JP Equity,2.00,0.00,0.00,,,,,,,,
3405 JP Equity,2.00,0.00,0.00,,,,,,,,
4185 JP Equity,3.00,0.00,0.00,0.86,,,,,,,
5486 JP Equity,5.00,0.00,0.00,0.03,0.57,0.51,,,,,
5711 JP Equity,3.00,0.00,0.00,0.11,,,,,,,
3861 JP Equity,9.00,0.00,0.00,0.21,0.53,0.67,0.74,0.11,0.83,0.01,
5406 JP Equity,2.00,0.00,0.00,,,,,,,,
5233 JP Equity,4.00,0.00,0.00,0.04,0.13,,,,,,
4182 JP Equity,6.00,0.00,0.00,0.65,0.03,0.19,0.87,,,,
4613 JP Equity,2.00,0.00,0.00,,,,,,,,
5901 JP Equity,2.00,0.00,0.00,,,,,,,,
4217 JP Equity,2.00,0.00,0.00,,,,,,,,
4612 JP Equity,2.00,0.00,0.00,,,,,,,,
4202 JP Equity,2.00,0.00,0.00,,,,,,,,
5714 JP Equity,2.00,0.00,0.00,,,,,,,,
4088 JP Equity,3.00,0.00,0.02,0.18,,,,,,,
4091 JP Equity,10.00,0.00,0.00,0.99,0.07,0.00,0.08,0.68,0.38,0.19,0.11
4205 JP Equity,2.00,0.00,0.00,,,,,,,,
4183 JP Equity,2.00,0.00,0.00,,,,,,,,
4021 JP Equity,2.00,0.00,0.00,,,,,,,,
4272 JP Equity,2.00,0.00,0.00,,,,,,,,
4118 JP Equity,2.00,0.00,0.00,,,,,,,,
5471 JP Equity,2.00,0.00,0.00,,,,,,,,
4631 JP Equity,2.00,0.00,0.00,,,,,,,,
5463 JP Equity,2.00,0.00,0.00,,,,,,,,
1911 JP Equity,7.00,0.00,0.07,0.72,0.15,0.00,0.46,0.19,,,
4042 JP Equity,4.00,0.00,0.00,0.01,0.04,,,,,,
5631 JP Equity,6.00,0.00,0.00,0.03,0.48,0.00,0.10,,,,
5444 JP Equity,2.00,0.00,0.00,,,,,,,,
3401 JP Equity,3.00,0.00,0.00,0.80,,,,,,,
4114 JP Equity,2.00,0.00,0.00,,,,,,,,
4004 JP Equity,5.00,0.00,0.00,0.15,0.29,0.01,,,,,
4208 JP Equity,4.00,0.00,0.00,0.00,0.02,,,,,,
8012 JP Equity,3.00,0.00,0.00,0.65,,,,,,,
4061 JP Equity,2.00,0.00,0.00,,,,,,,,
3863 JP Equity,1.00,0.61,,,,,,,,,
4634 JP Equity,2.00,0.00,0.00,,,,,,,,
7947 JP Equity,3.00,0.03,0.01,0.14,,,,,,,
7966 JP Equity,2.00,0.00,0.00,,,,,,,,
5232 JP Equity,2.00,0.00,0.00,,,,,,,,
3941 JP Equity,1.00,1.00,,,,,,,,,
4206 JP Equity,2.00,0.00,0.00,,,,,,,,
5706 JP Equity,2.00,0.00,0.00,,,,,,,,
5803 JP Equity,2.00,0.00,0.00,,,,,,,,
4095 JP Equity,3.00,0.00,0.00,0.16,,,,,,,
4043 JP Equity,2.00,0.00,0.00,,,,,,,,
4045 JP Equity,2.00,0.00,0.00,,,,,,,,
4401 JP Equity,2.00,0.00,0.00,,,,,,,,
4403 JP Equity,2.00,0.00,0.00,,,,,,,,
4201 JP Equity,4.00,0.09,0.07,0.19,0.29,,,,,,
4186 JP Equity,2.00,0.00,0.00,,,,,,,,
4203 JP Equity,2.00,0.00,0.00,,,,,,,,
,2.90,0.03,0.00,0.35,0.27,0.19,0.45,0.33,0.61,0.10,0.11
