Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
7751 JP Equity,7.00,0.00,0.00,0.12,1.00,0.93,0.07,0.39,,,
6758 JP Equity,2.00,0.00,0.00,,,,,,,,
6971 JP Equity,2.00,0.00,0.00,,,,,,,,
6502 JP Equity,2.00,0.00,0.00,,,,,,,,
6752 JP Equity,2.00,0.00,0.00,,,,,,,,
7974 JP Equity,6.00,0.00,0.00,0.15,0.29,0.58,0.01,,,,
4901 JP Equity,2.00,0.00,0.00,,,,,,,,
3765 JP Equity,10.00,0.44,0.54,0.70,0.83,0.87,0.54,0.91,0.83,0.87,0.67
9613 JP Equity,2.00,0.00,0.00,,,,,,,,
6594 JP Equity,4.00,0.00,0.00,0.37,0.62,,,,,,
7731 JP Equity,2.00,0.00,0.00,,,,,,,,
7752 JP Equity,2.00,0.00,0.00,,,,,,,,
8035 JP Equity,2.00,0.00,0.00,,,,,,,,
6702 JP Equity,2.00,0.00,0.00,,,,,,,,
4307 JP Equity,6.00,0.00,0.00,0.53,0.57,0.45,0.29,,,,
6701 JP Equity,6.00,0.00,0.00,0.08,0.71,0.54,0.40,,,,
6753 JP Equity,2.00,0.00,0.00,,,,,,,,
4716 JP Equity,4.00,0.00,0.00,0.65,,,,,,,
6762 JP Equity,2.00,0.00,0.00,,,,,,,,
6963 JP Equity,4.00,0.00,0.00,0.21,0.09,,,,,,
4704 JP Equity,2.00,0.00,0.00,,,,,,,,
4902 JP Equity,6.00,0.00,0.00,0.29,0.37,0.08,0.39,,,,
7832 JP Equity,3.00,0.00,0.01,0.34,,,,,,,
4768 JP Equity,3.00,0.00,0.00,0.38,,,,,,,
6857 JP Equity,2.00,0.00,0.00,,,,,,,,
6448 JP Equity,2.00,0.00,0.00,,,,,,,,
8036 JP Equity,2.00,0.00,0.00,,,,,,,,
9766 JP Equity,2.00,0.00,0.00,,,,,,,,
3436 JP Equity,2.00,0.00,0.00,,,,,,,,
4684 JP Equity,4.00,0.00,0.04,0.74,0.84,,,,,,
6724 JP Equity,2.00,0.00,0.00,,,,,,,,
6952 JP Equity,2.00,0.00,0.00,,,,,,,,
4739 JP Equity,2.00,0.01,0.01,,,,,,,,
5214 JP Equity,6.00,0.00,0.00,0.30,0.38,0.21,0.88,,,,
4062 JP Equity,3.00,0.00,0.00,0.78,,,,,,,
9719 JP Equity,3.00,0.00,0.00,0.05,,,,,,,
6592 JP Equity,6.00,0.00,0.00,0.08,0.84,0.16,0.02,,,,
6723 JP Equity,6.00,0.06,0.73,0.44,0.09,0.84,0.48,,,,
6976 JP Equity,2.00,0.00,0.00,,,,,,,,
6727 JP Equity,2.00,0.10,0.09,,,,,,,,
6925 JP Equity,2.00,0.00,0.00,,,,,,,,
3668 JP Equity,2.00,0.33,0.78,,,,,,,,
6588 JP Equity,3.00,0.00,0.00,0.05,,,,,,,
6457 JP Equity,2.00,0.00,0.00,,,,,,,,
6967 JP Equity,5.00,0.00,0.05,0.88,0.88,0.04,,,,,
6479 JP Equity,2.00,0.00,0.00,,,,,,,,
6703 JP Equity,2.00,0.01,0.02,,,,,,,,
3774 JP Equity,3.00,0.17,0.28,0.98,,,,,,,
6770 JP Equity,2.00,0.00,0.00,,,,,,,,
7735 JP Equity,2.00,0.00,0.00,,,,,,,,
3105 JP Equity,2.00,0.00,0.00,,,,,,,,
9684 JP Equity,10.00,0.00,0.02,0.03,0.67,0.35,0.17,0.01,0.24,0.48,0.07
4733 JP Equity,2.00,0.00,0.00,,,,,,,,
6256 JP Equity,1.00,0.03,,,,,,,,,
6756 JP Equity,5.00,0.00,0.00,0.28,0.62,0.39,,,,,
1973 JP Equity,3.00,0.00,0.00,0.61,,,,,,,
7732 JP Equity,2.00,0.00,0.00,,,,,,,,
9697 JP Equity,2.00,0.00,0.00,,,,,,,,
2327 JP Equity,2.00,0.01,0.00,,,,,,,,
3626 JP Equity,4.00,0.00,0.00,0.00,0.97,,,,,,
,3.18,0.02,0.04,0.38,0.61,0.45,0.32,0.44,0.53,0.67,0.37
