Ticker,nlag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
9531 JP Equity,8,0.00,0.00,0.10,0.09,0.06,0.36,0.79,0.70,,
9503 JP Equity,3,0.00,0.00,0.22,,,,,,,
9502 JP Equity,3,0.00,0.00,0.33,,,,,,,
9501 JP Equity,8,0.00,0.00,0.70,0.47,0.41,0.44,0.48,0.53,,
9532 JP Equity,8,0.00,0.03,0.55,0.68,0.68,0.70,0.42,0.76,,
9508 JP Equity,3,0.00,0.00,0.23,,,,,,,
9506 JP Equity,3,0.02,0.02,0.38,,,,,,,
9504 JP Equity,3,0.00,0.00,0.09,,,,,,,
9513 JP Equity,3,0.00,0.00,0.11,,,,,,,
9507 JP Equity,3,0.00,0.00,0.70,,,,,,,
9505 JP Equity,3,0.01,0.01,0.16,,,,,,,
9509 JP Equity,3,0.00,0.00,0.41,,,,,,,
9533 JP Equity,3,0.01,0.02,0.51,,,,,,,
8088 JP Equity,7,0.00,0.02,0.45,0.46,1.00,0.16,0.05,,,
9536 JP Equity,3,0.03,0.01,0.25,,,,,,,
9793 JP Equity,9,0.00,0.00,0.38,0.36,0.36,0.19,0.49,0.07,0.04,
9511 JP Equity,2,0.04,0.06,,,,,,,,
8174 JP Equity,2,0.00,0.00,,,,,,,,
9543 JP Equity,3,0.82,0.04,0.01,,,,,,,
6332 JP Equity,2,0.00,0.00,,,,,,,,
9539 JP Equity,7,0.14,0.17,0.77,0.38,0.11,0.03,0.20,,,
9534 JP Equity,3,0.03,0.02,0.29,,,,,,,
9535 JP Equity,10,0.44,0.75,0.22,0.84,0.79,0.61,0.24,0.17,0.02,0.54
7568 JP Equity,7,0.07,0.52,0.34,0.11,0.91,0.06,0.30,,,
9537 JP Equity,8,0.08,0.91,0.01,0.67,0.15,0.48,0.97,0.58,,
9540 JP Equity,3,0.01,0.00,0.04,,,,,,,
2766 JP Equity,2,0.85,0.80,,,,,,,,
3361 JP Equity,2,0.01,0.01,,,,,,,,
9541 JP Equity,6,0.67,0.16,0.00,0.24,0.01,0.50,,,,
9818 JP Equity,7,0.09,0.00,0.03,0.79,0.56,0.42,0.06,,,
1981 JP Equity,8,0.57,0.53,0.74,0.50,0.08,0.48,0.26,0.02,,
1783 JP Equity,4,0.15,0.14,0.89,0.41,,,,,,
9542 JP Equity,3,0.60,0.91,0.75,,,,,,,
1875 JP Equity,2,0.09,0.11,,,,,,,,
1844 JP Equity,4,0.14,0.23,0.30,0.16,,,,,,
9544 JP Equity,4,0.29,0.87,0.29,0.23,,,,,,
,4.5,0.14,0.18,0.34,0.43,0.43,0.37,0.39,0.41,0.03,0.54
