"","mydata[, 2]"
"2012-08-27",994.896127432176
"2012-08-28",993.242929431079
"2012-08-29",988.403986150119
"2012-08-30",988.375285913068
"2012-08-31",988.416900835596
"2012-09-04",983.881787450102
"2012-09-05",985.234585022643
"2012-09-06",988.660022068207
"2012-09-07",991.29166559202
"2012-09-10",999.025393481193
"2012-09-11",1000.29452652738
"2012-09-12",1000.57260145872
"2012-09-13",998.381717932183
"2012-09-14",1008.95433890844
"2012-09-18",1006.48977316682
"2012-09-19",1001.60319732644
"2012-09-20",996.18647155786
"2012-09-21",998.051396234775
"2012-09-24",997.869771270238
"2012-09-25",1002.08172251715
"2012-09-26",999.721746883563
"2012-09-27",998.550451297299
"2012-09-28",1003.42908928863
"2012-10-04",997.210863694792
"2012-10-05",994.784770071498
"2012-10-09",994.073615251154
"2012-10-11",989.479833358732
"2012-10-12",968.544664685831
"2012-10-15",960.885838868582
"2012-10-16",978.906523647098
"2012-10-17",993.576984043155
"2012-10-18",989.176203139934
"2012-10-19",991.975895426439
"2012-10-22",992.139434575111
"2012-10-24",988.687914926748
"2012-10-25",985.807224339256
"2012-10-26",981.338183778057
"2012-10-31",980.302150875761
"2012-11-01",990.757893555918
"2012-11-02",996.777153051892
"2012-11-05",992.286844840229
"2012-11-06",991.714027637333
"2012-11-07",1001.32572923526
"2012-11-08",1002.57971387833
"2012-11-09",995.420779152862
"2012-11-12",997.950339829586
"2012-11-13",994.183125457742
"2012-11-14",1003.0989130665
"2012-11-15",999.89207944203
"2012-11-16",1007.14002055465
"2012-11-19",1002.79930075007
"2012-11-20",1004.94476950927
"2012-11-21",1011.81810872823
"2012-11-26",1010.3953015446
"2012-11-27",1015.74070042582
"2012-11-28",1010.73336015012
"2012-11-29",1006.49304686634
"2012-11-30",1002.75278960587
"2012-12-03",996.168242544496
"2012-12-04",998.660113576886
"2012-12-05",996.834228325539
"2012-12-06",993.643125068569
"2012-12-07",990.460126109349
"2012-12-10",995.084400445754
"2012-12-11",990.172721144028
"2012-12-12",992.539024082047
"2012-12-13",992.360038914806
"2012-12-14",995.767757318921
"2012-12-17",994.414147081614
"2012-12-18",998.039503241964
"2012-12-20",990.694490741686
"2012-12-21",994.614263991229
"2012-12-27",997.059442408667
"2012-12-28",999.811221322711
"2013-01-04",1000.50317757999
"2013-01-07",994.454485212548
"2013-01-08",1001.6780278641
"2013-01-09",1003.41628838858
"2013-01-10",1012.64486044361
"2013-01-11",1007.98743710628
"2013-01-15",1004.04880899022
"2013-01-16",1005.21610005216
"2013-01-17",1000.24261610093
"2013-01-18",1002.34422974319
"2013-01-22",1005.83831191131
"2013-01-23",1003.68206078785
"2013-01-24",1002.39752380784
"2013-01-25",1001.90705410925
"2013-01-28",1001.18760646112
"2013-01-29",996.207869817826
"2013-01-30",996.365925049137
"2013-01-31",998.572831022011
"2013-02-01",1006.77527784333
"2013-02-04",1000.91751518066
"2013-02-05",996.551217338887
"2013-02-06",998.21612317498
"2013-02-19",1000.40464304465
"2013-02-20",995.378596482013
"2013-02-21",993.610268240747
"2013-02-22",997.33486331918
"2013-02-25",998.802960291556
"2013-02-26",992.830697962008
"2013-02-27",991.061300975
"2013-03-04",992.812268590135
"2013-03-05",993.616564115323
"2013-03-06",1005.47936629908
"2013-03-07",1003.55853324143
"2013-03-08",1003.14540322996
"2013-03-11",998.793173779301
"2013-03-12",1001.43435166963
"2013-03-13",998.812500336664
"2013-03-14",1000.82753597433
"2013-03-15",996.897066552086
"2013-03-18",995.833278218004
"2013-03-19",991.406194474549
"2013-03-21",1000.71128742991
"2013-03-22",1000.73969701322
"2013-03-25",1001.01008758708
"2013-03-26",1000.89872670484
"2013-03-27",1013.87325145381
"2013-03-28",1011.84570728753
"2013-04-02",1008.67956134392
"2013-04-03",1018.13838293084
"2013-04-08",1017.46951777847
"2013-04-09",1024.34149804257
"2013-04-10",1016.35407127589
"2013-04-11",1028.21438461932
"2013-04-12",1032.02903237187
"2013-04-15",1034.5908050304
"2013-04-16",1028.72594671317
"2013-04-17",1023.63369734716
"2013-04-18",1024.2249881304
"2013-04-19",1022.65082243017
"2013-04-22",1023.04857281477
"2013-04-23",1022.26414352066
"2013-04-24",1024.78065532121
"2013-04-25",1028.6958831753
"2013-04-26",1027.74962871955
"2013-04-30",1031.16000035906
"2013-05-02",1031.8326529336
"2013-05-07",1037.05413182549
"2013-05-08",1039.86952257349
"2013-05-09",1048.51761870996
"2013-05-10",1068.31272553757
"2013-05-13",1060.91100757806
"2013-05-14",1064.34633156088
"2013-05-15",1070.15418307509
"2013-05-16",1070.38261453034
"2013-05-20",1078.84355374921
"2013-05-21",1075.66390870044
"2013-05-22",1075.55235602541
"2013-05-23",1075.48235242801
"2013-05-24",1079.20098241535
"2013-05-28",1075.28886186475
"2013-05-29",1072.78247320146
"2013-05-30",1077.31215375673
"2013-05-31",1086.50490755927
"2013-06-03",1074.37067355026
"2013-06-04",1070.06664883544
"2013-06-05",1076.80859578857
"2013-06-07",1070.9805275479
"2013-06-10",1086.16063467047
"2013-06-11",1089.66908578639
"2013-06-13",1078.89265237683
"2013-06-14",1070.77571656777
"2013-06-17",1075.30768218282
"2013-06-18",1074.29355701981
"2013-06-19",1079.42018552448
"2013-06-20",1080.73958869419
"2013-06-21",1073.16353259325
"2013-06-24",1074.83130225898
"2013-06-25",1071.70228337823
"2013-06-26",1069.59068191594
"2013-06-27",1074.20121681367
"2013-06-28",1079.85595676787
"2013-07-02",1068.59358402667
"2013-07-03",1066.28782606653
"2013-07-05",1071.94790121589
"2013-07-08",1062.1829649112
"2013-07-09",1063.22113359681
"2013-07-10",1062.2086035014
"2013-07-11",1063.67804690593
"2013-07-12",1072.30126087829
"2013-07-16",1073.37323280342
"2013-07-17",1082.55432867666
"2013-07-18",1089.05128867738
"2013-07-19",1082.51473692317
"2013-07-22",1083.90236630894
"2013-07-23",1097.17682108748
"2013-07-24",1102.76153303469
"2013-07-25",1099.19562087676
"2013-07-26",1103.06195856998
"2013-07-29",1095.98302722295
"2013-07-30",1095.0336837415
"2013-07-31",1081.81727288974
"2013-08-01",1088.53695263852
"2013-08-02",1093.77848325178
"2013-08-05",1094.73609261407
"2013-08-06",1091.88767122328
"2013-08-07",1090.50984222803
"2013-08-08",1084.66648713545
"2013-08-09",1089.14377110178
"2013-08-12",1087.42976005672
"2013-08-13",1097.0677283896
"2013-08-16",1096.63784765184
"2013-08-19",1104.42575655359
"2013-08-20",1096.81731618362
"2013-08-22",1094.9625885174
"2013-08-23",1091.13040815706
"2013-08-26",1087.90852457655
"2013-08-27",1089.20942216376
"2013-08-28",1086.0408376424
"2013-08-29",1089.64456673682
"2013-08-30",1089.87037656278
"2013-09-03",1085.74163432211
"2013-09-04",1091.86097471059
"2013-09-05",1091.85433455168
"2013-09-06",1088.60082507696
"2013-09-09",1087.96076929586
"2013-09-10",1080.57478392799
"2013-09-11",1083.44414647018
"2013-09-12",1091.63494230529
"2013-09-13",1083.81044969708
"2013-09-17",1079.04198607595
"2013-09-24",1078.4072584912
"2013-09-25",1081.5115396989
"2013-09-26",1084.85084079013
"2013-09-27",1097.64693656282
"2013-09-30",1101.5381147255
"2013-10-02",1107.14638727829
"2013-10-04",1097.82843358117
"2013-10-07",1106.94751426794
"2013-10-08",1103.09328959892
"2013-10-11",1102.14437269022
