Date,OEX,v_rtn,v_disp,zscore_S,corr,enter_disp,exit_disp
8/29/2016,963.549988,0.004681657,0.002654956,0.530653738,0.141123291,0,1
8/30/2016,961.780029,-0.001836915,0.002380047,-0.27754813,0.6635511,1,0
8/31/2016,960.080017,-0.001767568,0.00228458,-0.465829723,0.624306731,1,0
9/1/2016,960.23999,0.000166625,0.00226363,-0.418655596,0.426803048,1,0
9/2/2016,963.669983,0.003572016,0.002516135,1.239843554,0.39284115,0,1
9/6/2016,966.840027,0.003289554,0.002702031,1.775216763,0.690593708,0,1
9/7/2016,966.119995,-0.000744727,0.002695264,1.373770246,0.962566879,0,1
9/8/2016,964.340027,-0.001842388,0.002421096,-0.028664678,0.935202281,0,0
9/9/2016,942.619995,-0.022523209,0.007295504,2.975370438,-0.875352683,0,1
9/12/2016,956.200012,0.014406672,0.008775795,2.302941428,-0.736884724,0,1
9/13/2016,943.330017,-0.013459522,0.009418329,1.830604655,-0.8310734,0,1
9/14/2016,943.289978,-4.24E-05,0.009438209,1.43098921,-0.868489271,0,1
9/15/2016,952.599976,0.009869709,0.010077876,1.303855257,-0.835712775,0,1
9/16/2016,948.799988,-0.00398907,0.010117905,1.075850655,-0.84673882,0,1
9/19/2016,947.349976,-0.001528259,0.009995007,0.852925119,-0.836902677,0,1
9/20/2016,948.77002,0.001498965,0.00992056,0.669714785,-0.78523676,0,1
9/21/2016,957.25,0.008937867,0.010438745,0.719736311,-0.516275106,0,1
9/22/2016,963.200012,0.006215735,0.010641415,1.110686449,0.548928698,0,1
9/23/2016,957.950012,-0.005450581,0.007923122,-2.254138653,0.029800876,1,0
9/26/2016,948.76001,-0.009593405,0.007305089,-2.155796284,0.181912673,1,0
9/27/2016,955.650024,0.007262125,0.00627325,-2.067530918,-0.00061837,1,0
9/28/2016,960.059998,0.004614633,0.006327592,-1.551709357,-0.171442283,1,0
9/29/2016,950.919983,-0.009520254,0.006520627,-1.158967733,-0.069395024,1,0
9/30/2016,958.679993,0.008160529,0.006818196,-0.807531469,-0.039370332,1,0
10/3/2016,956.159973,-0.002628635,0.006867774,-0.622898148,0.141344654,1,0
10/4/2016,952.47998,-0.003848721,0.007010895,-0.392244492,0.453924048,1,0
10/5/2016,956.559998,0.004283573,0.006570283,-0.532756352,0.490011012,1,0
10/6/2016,956.830017,0.000282281,0.006237072,-1.093986143,-0.184578376,1,0
10/7/2016,955.090027,-0.001818494,0.006049517,-1.461707119,-0.513434935,1,0
10/10/2016,959.02002,0.004114788,0.005289303,-2.352625255,-0.385029272,1,0
10/11/2016,949.039978,-0.0104065,0.005853461,-1.006726251,-0.079801688,1,0
10/12/2016,949.619995,0.000611162,0.005609704,-1.23298586,0.124902187,1,0
10/13/2016,946.419983,-0.003369782,0.004948471,-1.763313328,0.47825061,1,0
10/14/2016,946.890015,0.000496642,0.004069047,-2.064182593,0.573262552,1,0
10/17/2016,944.299988,-0.002735299,0.004072841,-1.597739877,0.657025677,1,0
10/18/2016,949.099976,0.005083118,0.004371061,-1.083491953,0.727921092,1,0
10/19/2016,950.01001,0.000958839,0.004125858,-1.147448349,0.643134854,1,0
10/20/2016,949.119995,-0.000936848,0.004113666,-0.972668724,0.533403931,1,0
10/21/2016,949.659973,0.000568925,0.004116919,-0.808609078,0.376503335,1,0
10/24/2016,954.700012,0.005307204,0.004265232,-0.45137965,0.032205484,1,0
10/25/2016,952.799988,-0.001990179,0.002791925,-2.149117453,-0.280041952,1,0
10/26/2016,951.210022,-0.00166873,0.002857637,-1.782457945,-0.448520546,1,0
10/27/2016,949.98999,-0.001282611,0.002660818,-1.6790524,-0.293214892,1,0
10/28/2016,945.320007,-0.004915823,0.003096826,-0.831235935,-0.07734901,1,0
10/31/2016,943.869995,-0.001533885,0.003016904,-0.783168726,0.215039158,1,0
11/1/2016,938.359985,-0.005837679,0.002939994,-0.728797073,0.349391963,1,0
11/2/2016,931.690002,-0.007108128,0.003335463,0.027424284,0.216989677,0,0
11/3/2016,926.630005,-0.005430988,0.003470103,0.411898782,0.044225756,0,1
11/4/2016,923.840027,-0.003010887,0.003328223,0.346408729,-0.128758677,0,0
11/7/2016,944.349976,0.022200758,0.007998485,2.959527784,-0.027426965,0,1
11/8/2016,947.52002,0.003356853,0.00809641,2.011124918,0.207848308,0,1
11/9/2016,959.460022,0.012601319,0.00897827,1.770069254,0.554665344,0,1
11/10/2016,960.400024,0.00097972,0.008948779,1.384381208,0.761301196,0,1
