date,APEXGCE,HFRIEM,HFRIAWJ,HFRIEMNI,HFRIFWI,MXAP
8/31/2012,0,0,0,0,0,0
9/30/2012,0.02365,0.03004,0.01602,0.002307906,0.013095001,0.040084926
10/31/2012,-0.01014,0.00165,-0.00139,0.003238805,-0.003811123,-0.003919327
11/30/2012,0.02312,0.01238,0.00872,0.003707868,0.004054263,0.021805066
12/31/2012,0.07287,0.03501,0.01994,0.002073934,0.014407025,0.0377858
1/31/2013,0.01575,0.03385,0.036,0.012132836,0.025133683,0.029839208
2/28/2013,0.01443,-0.00091,0.01449,0.004209343,0.001094598,0.01381174
3/31/2013,-0.00123,-0.00773,0.00769,0.003425955,0.00948132,0.003702058
4/30/2013,0.0095,0.00721,0.02419,0.004408959,0.006334065,0.048318088
5/31/2013,0.10988,0.00175,0.00198,0.003222619,0.004791557,-0.051157554
6/30/2013,-0.0069,-0.04057,-0.01915,-8.92E-05,-0.014683771,-0.032037971
7/31/2013,-0.04809,0.00732,0.00411,0.010788551,0.012952643,0.013254674
8/30/2013,0.04597,-0.014,-0.0035,-0.004557612,-0.006961071,-0.015652174
9/30/2013,0.02764,0.0336,0.01128,0.004029825,0.015771743,0.064295591
10/30/2013,-0.01262,0.02942,0.0099,0.013724486,0.015060629,0.027210393
11/29/2013,-0.00413,0.00168,0.01052,0.008535803,0.00885108,-0.001826869
12/31/2013,0.0071,0.00424,0.00764,0.003090736,0.010492922,-0.004997888
1/31/2014,-0.0077,-0.02509,-0.00346,6.70E-05,-0.005375719,-0.046268129
2/28/2014,0.0343,0.01953,0.00436,0.009170851,0.019652336,0.022476077
3/31/2014,-0.0107,-0.00156,-0.01143,0.002896804,-0.002949404,0.001160766
4/30/2014,-0.0156,-0.00034,-0.00972,0.003582504,-0.002151933,-0.004782609
5/30/2014,-0.0004,0.02125,0.00499,0.002039989,0.009229698,0.032255716
6/30/2014,0.0085,0.01371,0.01035,-0.001110036,0.013016276,0.027932567
7/31/2014,0.0418,0.00557,0.00749,-0.001368814,-0.006263481,0.021409456
8/31/2014,-0.0211,0.00804,0.00462,0.006190349,0.01245483,-0.006315082
9/30/2014,-0.0257,-0.02427,0.00104,-0.002857,-0.009205321,-0.051382598
10/31/2014,0.0054,-0.00904,-0.00626,0.000563253,-0.003997802,0.010904426
11/30/2014,-0.0339,-0.00796,0.00816,0.009361906,0.007828794,-0.008107727
12/31/2014,-0.0071,-0.0242,0.00352,0.001739025,-0.002332153,-0.020044069
1/31/2015,0.029,-0.01006,0.00098,0.002306605,-0.000436379,0.018133024
2/1/2015,0.026,0.01781,0.00277,0.007923652,0.018778676,0.041746812
3/1/2015,-0.0216,0.002,0.01243,0.005417051,0.00369454,0.000547083
4/1/2015,0.0792,0.0564,0.04164,0.001447097,0.009510863,0.048253708
5/1/2015,-0.0402,0,0.01037,0.00414649,0.005877294,-0.012649149
6/1/2015,-0.0031,-0.01763,-0.01926,-0.000381166,-0.012297035,-0.033943076
7/31/2015,-0.0048,-0.03416,-0.01521,0.002633736,-0.005104775,-0.028983526
8/31/2015,0.0005,-0.05117,-0.01821,-0.00379002,-0.023870336,-0.085110876
9/30/2015,0.0042,-0.01377,-0.00709,0.01111103,-0.013836855,-0.047245306
10/30/2015,0.0013,0.03276,0.02128,0.01035185,0.017299922,0.08593119
11/30/2015,-0.0377,-0.00582,-0.00017,0.001072776,0.001564948,-0.019931578
12/31/2015,-0.0057,-0.00525,-0.00162,-0.000245463,-0.01152991,0.001365913
1/29/2016,0.0202,-0.05418,-0.0317,0.000355568,-0.025952842,-0.08010003
2/29/2016,0.0138,-0.00248,-0.0122,-0.006468684,-0.000333882,-0.018288162
3/31/2016,-0.0113,0.05602,0.02655,0.011305188,0.020784605,0.081899807
4/29/2016,0.0008,0.01759,0.00791,-0.008812634,0.010267496,0.017684015
5/31/2016,-0.0148,-0.00376,0.00094,0.004813137,0.003676471,-0.015623809
6/30/2016,-0.0159,0.01727,-0.00241,0.000379847,0.004097178,-0.002013007
7/31/2016,0.0417,0.02704,0.02295,0.008121061,0.018793544,0.058262219
8/31/2016,0.0604,0.01528,0.01012,-0.003224969,0.004274422,0.011582729
9/30/2016,0.0112,0.00764,0.00783,0.000560663,0.006467861,0.01253714
10/31/2016,-0.0034,0.0078,0.00362,0.002124383,-0.005947323,-0.004866877
11/30/2016,0.0155,-0.01807,-0.00361,0.007237365,0.007659597,-0.024237629
12/31/2016,-0.0103,0.00198,-0.00156,0.005924622,0.010063477,-0.004643621
1/31/2017,0.0684,0.03032,0.0151,0.002791807,0.012022055,0.049392773
2/28/2017,-0.0014,0.01582,0.00991,0.004493727,0.008993756,0.023780961
3/31/2017,0.0099,0.01628,0.00547,0.004940047,0.003920948,0.012682658
4/30/2017,0.0239,0.0129,0.00518,0.003845523,0.005380332,0.013272529
5/31/2017,0.008,0.00542,0.00397,-0.008479379,0.001862975,0.025592799
6/30/2017,0.0325,0.01165,0.00675,-0.000335456,0.003220375,0.012509824
7/31/2017,0.0145,0.02778,0.01534,0.007570902,0.011479181,0.037259849
