X,data1,data2,rt_J,rt_N,correlation,zscoreJ,zscoreN,gc1,gc2
1/4/2000,103.22,19002.86,0,0,1,-1.837940767,2.046590983,0,0
1/5/2000,104.14,18542.55,0.010466679,-0.020184926,1,-1.718867363,1.908851598,0,0
1/6/2000,105.23,18168.27,0.001045329,0.001383731,1,-1.577791265,1.796855125,0,0
1/7/2000,105.34,18193.41,0.005790773,0.036140009,1,-1.563554227,1.804377812,0,0
1/11/2000,105.95,18850.92,-0.001510146,-0.009203795,1,-1.484603384,2.001125705,0,0
1/12/2000,105.79,18677.42,0.003592022,0.008345371,1,-1.505311802,1.94920899,0,0
1/13/2000,106.17,18833.29,-0.002825657,0.006544794,1,-1.456129309,1.995850249,0,0
1/14/2000,105.87,18956.55,-0.00916218,0.025356935,1,-1.494957593,2.032733559,0,0
1/17/2000,104.9,19437.23,0.007340324,-0.012381394,1,-1.620502377,2.176568295,0,0
1/18/2000,105.67,19196.57,-0.003312198,-0.015566323,1,-1.520843115,2.104555173,0,0
1/19/2000,105.32,18897.75,0.001424231,0.005834557,1,-1.56614278,2.01513873,0,0
1/20/2000,105.47,19008.01,-0.006542145,-0.006835013,1,-1.546728638,2.048132027,0,0
1/21/2000,104.78,18878.09,0.007539607,0.009461762,1,-1.636033691,2.009255833,0,0
1/24/2000,105.57,19056.71,0.004452022,-0.008457913,1,-1.533785877,2.062704615,0,0
1/25/2000,106.04,18895.53,-0.003583553,0.011413281,1,-1.472954899,2.014474435,0,0
1/26/2000,105.66,19111.19,-0.005110733,0.005155618,1,-1.522137391,2.079006763,0,0
1/27/2000,105.12,19209.72,0.019121005,0.011715944,1,-1.592028302,2.108490071,0,0
1/28/2000,107.13,19434.78,0.001773546,0.005398569,1,-1.331878801,2.175835177,0,0
1/31/2000,107.32,19539.7,0.004938502,-0.005953008,1,-1.307287554,2.207230576,0,0
2/1/2000,107.85,19423.38,0.002874363,0.00800736,1,-1.238690919,2.172423935,0,0
2/2/2000,108.16,19578.91,-0.005547337,0.010598649,1,-1.198568359,2.218963455,0,0
2/3/2000,107.56,19786.42,-0.00343994,-0.00117707,1,-1.276224927,2.281057043,0,0
2/4/2000,107.19,19763.13,0.013340797,0.009224247,1,-1.324113144,2.274087935,0,0
2/7/2000,108.62,19945.43,0.007825447,-0.003837972,1,-1.139031658,2.32863789,0,0
2/8/2000,109.47,19868.88,-0.006211748,0.006990329,1,-1.029018187,2.305731696,0,0
2/9/2000,108.79,20007.77,0.00441217,-0.014881718,1,-1.117028963,2.347291999,0,0
2/10/2000,109.27,19710.02,-0.002837009,-0.007790961,1,-1.054903709,2.258195734,0,0
2/14/2000,108.96,19556.46,0.002386197,-0.009645406,1,-1.095026269,2.212245701,0,0
2/15/2000,109.22,19367.83,0.002014283,0.011945066,1,-1.06137509,2.155801609,0,0
2/16/2000,109.44,19599.18,0.010233918,0.009807553,1,-1.032901015,2.225028883,0,0
2/17/2000,110.56,19791.4,0.004793777,-0.000119749,1,-0.887942089,2.282547217,0,0
2/18/2000,111.09,19789.03,0.001530291,-0.012394746,1,-0.819345454,2.281838038,0,0
2/21/2000,111.26,19543.75,-0.005123135,-0.007837288,1,-0.79734276,2.208442465,0,0
2/22/2000,110.69,19390.58,0.003433011,0.006651168,1,-0.871116499,2.162609132,0,0
2/23/2000,111.07,19519.55,0.002700999,0.00265836,1,-0.821934006,2.201201056,0,0
2/24/2000,111.37,19571.44,-0.009697405,0.012591817,1,-0.783105723,2.216728193,0,0
2/25/2000,110.29,19817.88,-0.007616284,-0.004933928,1,-0.922887544,2.290470875,0,0
2/28/2000,109.45,19720.1,0.008040201,0.012140912,1,-1.031606739,2.261211991,0,0
2/29/2000,110.33,19959.52,-0.02764434,0.006119887,1,-0.91771044,2.332854066,0,0
3/1/2000,107.28,20081.67,0.004287845,-0.000824633,1,-1.312464659,2.369405229,0,0
3/2/2000,107.74,20065.11,0.001485057,-0.00685618,1,-1.252927957,2.36444995,0,0
3/3/2000,107.9,19927.54,-0.003336423,-0.006583351,1,-1.232219539,2.323284633,0,0
3/6/2000,107.54,19796.35,-0.013204389,0.007470569,1,-1.278813479,2.284028415,0,0
3/7/2000,106.12,19944.24,0.009894459,-0.008896804,1,-1.46260069,2.328281804,0,0
3/8/2000,107.17,19766.8,-0.00597182,-0.005285125,1,-1.326701696,2.275186115,0,0
3/9/2000,106.53,19662.33,-0.001689665,0.004479123,1,-1.409535368,2.24392537,0,0
3/10/2000,106.35,19750.4,-0.007804419,-0.028377653,1,-1.432832339,2.270278714,0,0
3/13/2000,105.52,19189.93,-0.003790751,-0.002506002,1,-1.540257257,2.102568274,0,0
3/14/2000,105.12,19141.84,0.005422374,-0.003303758,1,-1.592028302,2.088178217,0,0
3/15/2000,105.69,19078.6,-0.003027723,0.009153187,1,-1.518254563,2.069254799,0,0
3/16/2000,105.37,19253.23,0.012906899,0.016261687,1,-1.559671399,2.121509646,0,0
3/17/2000,106.73,19566.32,0.000468472,0.001841941,1,-1.383649846,2.215196126,0,0
3/21/2000,106.78,19602.36,0.003090466,0.006694602,1,-1.377178465,2.22598044,0,0
3/22/2000,107.11,19733.59,0.001213706,-0.001469069,1,-1.334467353,2.265248628,0,0
3/23/2000,107.24,19704.6,-0.003450205,0.012864001,1,-1.317641763,2.256573898,0,0
3/24/2000,106.87,19958.08,-0.000748573,0.016181416,1,-1.36552998,2.332423172,0,0
3/27/2000,106.79,20281.03,-0.008895964,0.004600851,1,-1.375884189,2.429060078,0,0
3/28/2000,105.84,20374.34,-0.001417234,0.016310222,1,-1.498840421,2.456981396,0,0
3/29/2000,105.69,20706.65,-0.001135396,-0.012805065,1,-1.518254563,2.556419112,0,0
3/30/2000,105.57,20441.5,-0.026427962,-0.005096495,1,-1.533785877,2.477077803,0,0
3/31/2000,102.78,20337.32,0.020626581,0.019160342,1,-1.894888916,2.445903835,0,0
4/3/2000,104.9,20726.99,0.002478551,-0.006371403,1,-1.620502377,2.562505486,0,0
4/4/2000,105.16,20594.93,-0.002662609,-0.006417113,1,-1.586851198,2.522988936,0,0
4/5/2000,104.88,20462.77,-0.001048818,-0.011687567,1,-1.623090929,2.483442463,0,0
4/6/2000,104.77,20223.61,0.00572683,0.001443857,1,-1.637327967,2.411878189,0,0
4/7/2000,105.37,20252.81,0.010154693,0.01808391,1,-1.559671399,2.420615757,0,0
4/10/2000,106.44,20619.06,0.004509583,-0.004682076,1,-1.421183853,2.530209399,0,0
4/11/2000,106.92,20522.52,-0.010662177,0.015138979,1,-1.359058599,2.501321563,0,0
4/12/2000,105.78,20833.21,0.000945358,-0.014726007,1,-1.506606078,2.594289887,0,0
4/13/2000,105.88,20526.42,-0.010766906,-0.004469362,1,-1.493663317,2.502488567,0,0
4/14/2000,104.74,20434.68,-0.00190949,-0.069785287,1,-1.641210795,2.475037042,0,0
4/17/2000,104.54,19008.64,0.001913143,-0.002058012,1,-1.667096318,2.048320543,0,0
4/18/2000,104.74,18969.52,0.000763796,0.006173061,1,-1.641210795,2.036614595,0,0
4/19/2000,104.82,19086.62,0.009063156,-0.006669594,1,-1.630856586,2.071654638,0,0
4/20/2000,105.77,18959.32,0,-0.037271379,1,-1.507900354,2.033562431,0,0
4/21/2000,105.77,18252.68,9.45E-05,0.01246228,1,-1.507900354,1.82211328,0,0
4/24/2000,105.78,18480.15,0.005010399,-0.01124558,1,-1.506606078,1.890179535,0,0
4/25/2000,106.31,18272.33,-0.000376258,-0.007553498,1,-1.438009443,1.827993184,0,0
4/26/2000,106.27,18134.31,0.001505599,-0.00634929,1,-1.443186548,1.786693213,0,0
4/27/2000,106.43,18019.17,0.016442732,-0.002523424,1,-1.42247813,1.752239665,0,0
4/28/2000,108.18,17973.7,0.005361435,0.023889349,1,-1.195979807,1.738633595,0,0
5/1/2000,108.76,18403.08,-0.003218095,0.001971409,1,-1.120911792,1.867117741,0,0
5/2/2000,108.41,18439.36,0.005442302,-0.012983097,1,-1.166211456,1.87797387,0,0
5/8/2000,109,18199.96,0.001743119,-0.019528614,1,-1.089849165,1.80633778,0,0
5/9/2000,109.19,17844.54,0.003113838,-0.008017578,1,-1.065257918,1.699984818,0,0
5/10/2000,109.53,17701.47,-0.009221218,-0.046267909,1,-1.02125253,1.657173726,0,0
5/11/2000,108.52,16882.46,-0.000460745,0.028159403,1,-1.151974419,1.412099899,0,0
5/12/2000,108.47,17357.86,0.007651885,-0.002544669,1,-1.1584458,1.554354691,0,0
5/15/2000,109.3,17313.69,0.003293687,0.013720934,1,-1.051020881,1.541137623,0,0
5/16/2000,109.66,17551.25,-0.003100492,-0.008388007,1,-1.00442694,1.612223126,0,0
5/17/2000,109.32,17404.03,-0.006128796,-0.021397343,1,-1.048432329,1.568170223,0,0
5/18/2000,108.65,17031.63,-0.015370456,-0.01018458,1,-1.135148829,1.456736305,0,0
5/19/2000,106.98,16858.17,0.001495607,-0.028007785,1,-1.351292943,1.404831558,0,0
5/22/2000,107.14,16386.01,-0.006720179,-0.004105942,1,-1.330584525,1.263546277,0,0
5/23/2000,106.42,16318.73,0.012967487,-0.016808293,1,-1.423772406,1.243413962,0,0
5/24/2000,107.8,16044.44,-0.004174397,0.012676042,1,-1.2451623,1.161337675,0,0
5/25/2000,107.35,16247.82,-0.001863065,-0.014751517,1,-1.303404726,1.222195436,0,0
5/26/2000,107.15,16008.14,-0.001026598,0.014823708,1,-1.329290248,1.150475561,0,0
5/29/2000,107.04,16245.44,-0.004577728,-0.001018132,1,-1.343527286,1.221483265,0,0
5/30/2000,106.55,16228.9,0.010417644,0.006380593,1,-1.406946816,1.216533971,0,0
5/31/2000,107.66,16332.45,0.007988111,0.02215528,1,-1.263282166,1.247519423,0,0
6/1/2000,108.52,16694.3,-0.004515297,0.006335096,1,-1.151974419,1.355796445,0,0
6/2/2000,108.03,16800.06,-0.006479682,0.023912415,1,-1.215393949,1.387443199,0,0
6/5/2000,107.33,17201.79,-0.014255101,-0.001843413,1,-1.305993278,1.507653586,0,0
6/6/2000,105.8,17170.08,-0.004536862,-0.00146301,1,-1.504017526,1.498164946,0,0
6/7/2000,105.32,17144.96,0.004937334,-0.008201827,1,-1.56614278,1.490648243,0,0
6/8/2000,105.84,17004.34,0.010109599,-0.008376097,1,-1.498840421,1.448570269,0,0
6/9/2000,106.91,16861.91,-0.00056122,0.007039535,1,-1.360352875,1.405950685,0,0
6/12/2000,106.85,16980.61,0.000748713,-0.003866763,1,-1.368118532,1.441469499,0,0
6/13/2000,106.93,16914.95,-0.002805574,-0.015402351,1,-1.357764323,1.421821939,0,0
6/14/2000,106.63,16654.42,-0.001594298,-0.01895713,1,-1.396592607,1.343863082,0,0
6/15/2000,106.46,16338.7,-0.00046966,-0.001247957,1,-1.418595301,1.249389621,0,0
6/16/2000,106.41,16318.31,-0.004698807,0.016732125,1,-1.425066682,1.243288285,0,0
6/19/2000,105.91,16591.35,-0.003587952,0.019058124,1,-1.489780488,1.324990533,0,0
6/20/2000,105.53,16907.55,0.00018952,0.01789319,1,-1.538962981,1.419607624,0,0
6/21/2000,105.55,17210.08,-0.009284699,-0.006047038,1,-1.536374429,1.510134217,0,0
6/22/2000,104.57,17106.01,0.001721335,-0.008347943,1,-1.663213489,1.478993165,0,0
6/23/2000,104.75,16963.21,0.008687351,-0.002228941,1,-1.639916519,1.436262866,0,0
6/26/2000,105.66,16925.4,-0.002839296,0.020895223,1,-1.522137391,1.424948912,0,0
6/27/2000,105.36,17279.06,0.001993166,0.005272856,1,-1.560965675,1.530775226,0,0
6/28/2000,105.57,17370.17,-0.002368097,0.006086872,1,-1.533785877,1.558038234,0,0
6/29/2000,105.32,17475.9,0.007595898,-0.003710825,1,-1.56614278,1.589676011,0,0
6/30/2000,106.12,17411.05,-0.004052017,0.011694298,1,-1.46260069,1.57027083,0,0
7/3/2000,105.69,17614.66,0.00387927,-0.008203962,1,-1.518254563,1.631197414,0,0
7/4/2000,106.1,17470.15,0.008105561,-0.001957625,1,-1.465189242,1.587955428,0,0
7/5/2000,106.96,17435.95,0.004487659,-0.008808238,1,-1.353881495,1.577721701,0,0
7/6/2000,107.44,17282.37,0.004374535,0.00670452,1,-1.291756241,1.531765683,0,0
7/7/2000,107.91,17398.24,-0.008340284,0.010026302,1,-1.230925263,1.56643767,0,0
7/10/2000,107.01,17572.68,0.001027941,-0.003887853,1,-1.347410114,1.618635664,0,0
7/11/2000,107.12,17504.36,0.009055265,-0.009267977,1,-1.333173077,1.598192148,0,0
7/12/2000,108.09,17342.13,0.000370062,-0.017600491,1,-1.207628292,1.549647775,0,0
7/13/2000,108.13,17036.9,-0.003791732,0.006221789,1,-1.202451188,1.458313256,0,0
7/14/2000,107.72,17142.9,0.002599332,0.008395896,1,-1.255516509,1.490031826,0,0
7/17/2000,108,17286.83,0.001296296,-0.019769964,1,-1.219276778,1.533100257,0,0
7/18/2000,108.14,16945.07,0.001387091,0.002272047,1,-1.201156912,1.430834801,0,0
7/19/2000,108.29,16983.57,0.005817712,-0.010132145,1,-1.18174277,1.442355225,0,0
7/21/2000,108.92,16811.49,-0.001285347,-0.015725554,1,-1.100203374,1.390863419,0,0
7/24/2000,108.78,16547.12,0.003125575,0.001599674,1,-1.11832324,1.311755511,0,0
7/25/2000,109.12,16573.59,0.000641496,-0.004282717,1,-1.074317851,1.319676176,0,0
7/26/2000,109.19,16502.61,-0.00027475,-0.01942723,1,-1.065257918,1.298436704,0,0
7/27/2000,109.16,16182.01,0.003939172,-0.021223569,1,-1.069140747,1.202502992,0,0
7/28/2000,109.59,15838.57,-0.001459987,-0.007013259,1,-1.013486873,1.099734827,0,0
7/31/2000,109.43,15727.49,-0.000913826,0.023664297,1,-1.034195291,1.06649616,0,0
8/1/2000,109.33,16099.67,-0.003109851,0.006616285,1,-1.047138053,1.177864247,0,0
8/2/2000,108.99,16206.19,-0.006055601,-0.024172862,1,-1.091143441,1.209738417,0,0
8/3/2000,108.33,15814.44,0.002953937,-0.009300361,1,-1.176565665,1.092514364,0,0
8/4/2000,108.65,15667.36,0.00414174,0.021404372,1,-1.135148829,1.048503352,0,0
8/7/2000,109.1,16002.71,-0.004399633,-0.011410567,1,-1.076906403,1.148850733,0,0
8/8/2000,108.62,15820.11,-0.007365126,0.01355806,1,-1.139031658,1.094211008,0,0
8/9/2000,107.82,16034.6,0.007790762,-0.003676425,1,-1.242573748,1.158393234,0,0
8/10/2000,108.66,15975.65,-0.001196392,0.008879138,1,-1.133854553,1.14075352,0,0
8/11/2000,108.53,16117.5,0.008292638,0.002259035,1,-1.150680143,1.18319955,0,0
8/14/2000,109.43,16153.91,-0.003746687,0.008937774,1,-1.034195291,1.194094579,0,0
8/15/2000,109.02,16298.29,-0.004402862,0.003542703,1,-1.087260613,1.237297665,0,0
8/16/2000,108.54,16356.03,-9.21E-05,-0.011922209,1,-1.149385867,1.254575308,0,0
8/17/2000,108.53,16161.03,-0.001105685,0.007391856,1,-1.150680143,1.196225109,0,0
8/18/2000,108.41,16280.49,0.00267503,-0.014760612,1,-1.166211456,1.231971339,0,0
8/21/2000,108.7,16040.18,-0.00349586,0.025845097,1,-1.128677449,1.160062948,0,0
8/22/2000,108.32,16454.74,-0.012555391,-0.001099379,1,-1.177859941,1.284112478,0,0
8/23/2000,106.96,16436.65,-0.001028422,0.01424682,1,-1.353881495,1.278699375,0,0
8/24/2000,106.85,16670.82,9.36E-05,0.014427005,1,-1.368118532,1.348770483,0,0
8/25/2000,106.86,16911.33,-0.003088153,0.01595321,1,-1.366824256,1.42073872,0,0
8/28/2000,106.53,17181.12,-0.004505773,-0.002291469,1,-1.409535368,1.501468465,0,0
8/29/2000,106.05,17141.75,0.003677511,-0.014005571,1,-1.471660622,1.489687709,0,0
8/30/2000,106.44,16901.67,0.002160842,-0.002390888,1,-1.421183853,1.417848141,0,0
8/31/2000,106.67,16861.26,-0.006281054,-0.007204681,1,-1.391415503,1.405756185,0,0
9/1/2000,106,16739.78,-0.001226415,-0.003080686,1,-1.478132003,1.369405507,0,0
9/4/2000,105.87,16688.21,-0.000283366,-0.014138125,1,-1.494957593,1.353974124,0,0
9/5/2000,105.84,16452.27,0.000472411,-0.003184971,1,-1.498840421,1.283373376,0,0
9/6/2000,105.89,16399.87,-0.006799509,-0.006061633,1,-1.49236904,1.26769363,0,0
9/7/2000,105.17,16300.46,0.009032994,0.012336462,1,-1.585556922,1.237946998,0,0
9/8/2000,106.12,16501.55,0,-0.022461526,1,-1.46260069,1.298119518,0,0
9/11/2000,106.12,16130.9,0.006690539,-0.005620889,1,-1.46260069,1.187209256,0,0
9/12/2000,106.83,16040.23,0.002433773,0.009369566,1,-1.370707084,1.160077909,0,0
9/13/2000,107.09,16190.52,0.004575591,0.001405761,1,-1.337055905,1.205049455,0,0
9/14/2000,107.58,16213.28,-0.006320877,-0.009382432,1,-1.273636375,1.21185997,0,0
9/18/2000,106.9,16061.16,0.000841908,0.003924374,1,-1.361647152,1.166340831,0,0
9/19/2000,106.99,16124.19,-0.004299467,0.020721661,1,-1.349998666,1.18520141,0,0
9/20/2000,106.53,16458.31,0.000938703,-0.008947456,1,-1.409535368,1.285180736,0,0
9/21/2000,106.63,16311.05,0.012097909,-0.030212647,1,-1.396592607,1.241115862,0,0
