BCA,Barclays
 BNP,BNP Paribas
DBG,Deutsche Bank
DIR,Daiwa
FBC,Credit Suisse
GSR,Goldman Sachs
 HSB,HSBC
JEF,Jefferies
JPM,JP Morgan
MAC,Macquarie
MSR,Morgan Stanley
MUS,MUFJ Morgan Stanley
MZS,Mizuho
NMR,Nomura
UBS,UBS
 BCM,BOCOM International
 BOC,Bank of China
 CBI,CCB International Securities
 CIC,CICC
 CMS,China Merchants
 ESS,Essence Securities
 FSG,First Shanghai Securities
 GTJ,Guotai Junan
 ICI,ICBC Research
 TFS,Haitong International
 ZXS,Citic Securities
 DNG,Dongbu Securities
 DSK,Daishin Securities
 DWI,Mirae Asset Daewoo Securities
 GMS,Shinhan Investment
 HAN,Hana Daetoo
 HMC,HMC Investment
 HWS,"Hanwha Securities Co., Ltd"
 HYD,KB Securities
 IBK,IBK Securities
 KBI,KB Investment
 KIS,Korea Investment
 KIW,KIWOOM Securities Co Ltd
 KTB,KTB Securities
 KYB,Kyobo Securities
 SSS,Samsung Securities
 SYS,Shinyoung Securities
 WRS,NH Investment
 YUT,Yuanta Securities
 KAY,UOB Kay Hian
 ESU,E Sun Securities
 FBS,Fubon Securities
 JIH,Jih Sun Securities
 KGI,KGI Securities
 MLS,Masterlink Securities
 SHK,Sun Hung Kai
 JIN,Haitong International
 MAR,Marusan Securities
 MIO,Mito Securities
 OKA,Okasan Securities
 TBA,Tachibana Securities
 TTC,Tokai Tokyo
MSV,Morningstar
SCB,Bernstein
 SCR,Standard Chartered
 SPV,S&P Capital IQ
 ABM,Maybank Kim Eng
 ACE,ACE Research
 ADJ,Advanced Research
 ARR,Avior Research
 BER,Berenberg
 BMO,BMO Capital Markets
 BMU,Brean Capital
 BSC,Mega Securities
 CAA,CL Securities Taiwan
 CAB,ABC International
 CFG,Cantor Fitzgerald
 CIM,CIMB
 CJK,HI Invesment
 CMW,CM Research
 COS,Iwai Cosmo
 CPY,Core Pacific
 CRO,Cross Research
 CSL,Capital Securities
 CSN,Cathay Securities
 DBS,DBS Vickers
 EVD,EVA Dimensions
 ETD,EBEST Investment
 EUG,Eugene Investment
 EVR,Evercore
 GDZ,Everbright Securities
 HNA,Riedel Research
 IBT,IBTS Investment
 ITS,ISI Group
 ITX,M Science
 IVS,Investec
 KAL,Dr. Kalliwoda Equity
 LDS,Leading Investment
 LIG,Cape Investment
 LPF,AMTD Asset Management
 MAS,Mirae Asset Daewoo Co.
 MKR,Makor Capital
 MRZ,Meritz Securities
 NDB,Nord/LB
 NHS,NH Investment
 NSR,New Street Research
 PCS,Pacific Crest Securities
 PHS,Phillip Securities
 PJE,Piper Jaffray
 PSG,President Capital
 RHB,RHB Research Institute
 RLG,Religare
 SBX,SBG Securities
 SKS,SK Securities
 SNO,SinoPac
 SUS,Susquehanna Financial
 SWR,SWS Research Co Ltd
 TIW,TIW
 TSY,Telsey Advisory
 UGG,Union Gaming Research
 WDG,Wedge Partners
DRW,Drewy Financial Services Ltd
BSR,Grupo Santander
EXN,Haitong
ALP,AlphaValue
