OEX Index,NKY Index,HSI Index,HSCEI Index,SHCSI100 Index,KOSPI2 Index,TAMSCI Index,E100 Index
MMM UN Equity,6857 JT Equity,1299 HK Equity,1288 HK Equity,601288 CH Equity,005930  KS Equity,2353 TT Equity,NESN VX Equity
ABT UN Equity,8267 JT Equity,3988 HK Equity,753 HK Equity,601111 CH Equity,000660  KS Equity,2311 TT Equity,NOVN VX Equity
ABBV UN Equity,2802 JT Equity,3328 HK Equity,914 HK Equity,601600 CH Equity,005380  KS Equity,2395 TT Equity,ROG VX Equity
ACN UN Equity,6770 JT Equity,23 HK Equity,3988 HK Equity,600585 CH Equity,005935  KS Equity,1102 TT Equity,HSBA LN Equity
ALL UN Equity,6113 JT Equity,1880 HK Equity,3328 HK Equity,601169 CH Equity,035420  KS Equity,3682 TT Equity,RDSA LN Equity
MO UN Equity,9202 JT Equity,2388 HK Equity,1211 HK Equity,601988 CH Equity,055550  KS Equity,2357 TT Equity,BP/ LN Equity
AMZN UW Equity,8304 JT Equity,293 HK Equity,1359 HK Equity,601328 CH Equity,005490  KS Equity,2409 TT Equity,BAYN GY Equity
AXP UN Equity,5201 JT Equity,1 HK Equity,998 HK Equity,600019 CH Equity,012330  KS Equity,2474 TT Equity,GSK LN Equity
AIG UN Equity,2502 JT Equity,939 HK Equity,1898 HK Equity,600637 CH Equity,105560  KS Equity,2882 TT Equity,FP FP Equity
AMGN UW Equity,3407 JT Equity,2628 HK Equity,1800 HK Equity,000725 CH Equity,000270  KS Equity,5871 TT Equity,BATS LN Equity
APC UN Equity,4503 JT Equity,2319 HK Equity,939 HK Equity,002594 CH Equity,015760  KS Equity,2801 TT Equity,SAN FP Equity
APA UN Equity,8332 JT Equity,144 HK Equity,2628 HK Equity,600372 CH Equity,000810  KS Equity,2105 TT Equity,SAN SQ Equity
AAPL UW Equity,5108 JT Equity,941 HK Equity,916 HK Equity,601998 CH Equity,086790  KS Equity,2385 TT Equity,ABI BB Equity
T UN Equity,7751 JT Equity,688 HK Equity,3968 HK Equity,601299 CH Equity,033780  KS Equity,2610 TT Equity,VOD LN Equity
BAC UN Equity,6952 JT Equity,386 HK Equity,1988 HK Equity,601898 CH Equity,051910  KS Equity,2883 TT Equity,AZN LN Equity
BK UN Equity,9022 JT Equity,291 HK Equity,3323 HK Equity,601800 CH Equity,090430  KS Equity,2823 TT Equity,SIE GY Equity
BAX UN Equity,8331 JT Equity,1109 HK Equity,2883 HK Equity,601939 CH Equity,034220  KS Equity,2204 TT Equity,NOVOB DC Equity
BRK/B UN Equity,6366 JT Equity,836 HK Equity,2601 HK Equity,600150 CH Equity,032830  KS Equity,2002 TT Equity,DAI GY Equity
BIIB UW Equity,9502 JT Equity,1088 HK Equity,386 HK Equity,601818 CH Equity,000830  KS Equity,2412 TT Equity,RDSB LN Equity
BA UN Equity,4519 JT Equity,762 HK Equity,390 HK Equity,601888 CH Equity,006400  KS Equity,2362 TT Equity,BAS GY Equity
BMY UN Equity,7762 JT Equity,267 HK Equity,1088 HK Equity,601628 CH Equity,066570  KS Equity,2324 TT Equity,ALV GY Equity
COF UN Equity,1721 JT Equity,2 HK Equity,728 HK Equity,600036 CH Equity,003550  KS Equity,2891 TT Equity,DGE LN Equity
CAT UN Equity,8253 JT Equity,883 HK Equity,2202 HK Equity,600999 CH Equity,018260  KS Equity,9933 TT Equity,UNA NA Equity
CVX UN Equity,7912 JT Equity,27 HK Equity,6030 HK Equity,600016 CH Equity,051900  KS Equity,2308 TT Equity,PRU LN Equity
CSCO UW Equity,8750 JT Equity,101 HK Equity,489 HK Equity,601117 CH Equity,096770  KS Equity,2884 TT Equity,LLOY LN Equity
C UN Equity,4568 JT Equity,11 HK Equity,2333 HK Equity,600111 CH Equity,021240  KS Equity,1476 TT Equity,TEF SQ Equity
KO UN Equity,6367 JT Equity,12 HK Equity,2238 HK Equity,601808 CH Equity,034730  KS Equity,2448 TT Equity,UBSG VX Equity
CL UN Equity,1925 JT Equity,1044 HK Equity,6837 HK Equity,601601 CH Equity,005387  KS Equity,2618 TT Equity,BARC LN Equity
CMCSA UW Equity,8601 JT Equity,3 HK Equity,902 HK Equity,600028 CH Equity,139480  KS Equity,2603 TT Equity,SAP GY Equity
COP UN Equity,4061 JT Equity,388 HK Equity,1398 HK Equity,601186 CH Equity,004020  KS Equity,2903 TT Equity,BBVA SQ Equity
COST UW Equity,6902 JT Equity,5 HK Equity,358 HK Equity,601390 CH Equity,009540  KS Equity,1402 TT Equity,RIO LN Equity
CVS UN Equity,4324 JT Equity,13 HK Equity,1336 HK Equity,601088 CH Equity,003600  KS Equity,4904 TT Equity,BNP FP Equity
DVN UN Equity,5714 JT Equity,1398 HK Equity,1339 HK Equity,601989 CH Equity,010130  KS Equity,5522 TT Equity,RB/ LN Equity
DOW UN Equity,9020 JT Equity,135 HK Equity,857 HK Equity,601668 CH Equity,009150  KS Equity,2892 TT Equity,NG/ LN Equity
EBAY UW Equity,6361 JT Equity,992 HK Equity,2328 HK Equity,600050 CH Equity,161390  KS Equity,1326 TT Equity,DTE GY Equity
DD UN Equity,4523 JT Equity,494 HK Equity,2318 HK Equity,000002 CH Equity,035720  KS Equity,2707 TT Equity,ULVR LN Equity
LLY UN Equity,6954 JT Equity,823 HK Equity,1066 HK Equity,600900 CH Equity,001800  KS Equity,6505 TT Equity,BT/A LN Equity
EMC UN Equity,9983 JT Equity,66 HK Equity,1099 HK Equity,000625 CH Equity,035250  KS Equity,1301 TT Equity,ZURN VX Equity
EMR UN Equity,6504 JT Equity,17 HK Equity,168 HK Equity,601158 CH Equity,008770  KS Equity,1434 TT Equity,INGA NA Equity
EXC UN Equity,7270 JT Equity,857 HK Equity,2338 HK Equity,600030 CH Equity,002790  KS Equity,2354 TT Equity,SAB LN Equity
XOM UN Equity,4901 JT Equity,2318 HK Equity,,601766 CH Equity,024110  KS Equity,2881 TT Equity,BG/ LN Equity
FB UW Equity,5803 JT Equity,6 HK Equity,,601006 CH Equity,002380  KS Equity,9921 TT Equity,BLT LN Equity
FDX UN Equity,6702 JT Equity,1928 HK Equity,,603288 CH Equity,086280  KS Equity,3658 TT Equity,IMB LN Equity
F UN Equity,8354 JT Equity,83 HK Equity,,601901 CH Equity,000720  KS Equity,2542 TT Equity,ABBN VX Equity
FCX UN Equity,5715 JT Equity,16 HK Equity,,600795 CH Equity,097950  KS Equity,2049 TT Equity,CS FP Equity
