,,,857 HK Equity,386 HK Equity,338 HK Equity,883 HK Equity,135 HK Equity,1605 JP Equity,,,,,,,,,,,,,,,,,,,,,
,,,HSI Index,HSI Index,HSI Index,HSI Index,HSI Index,TPX Index,,,,,,,,,,,,,,,,,,,,,
,,direction,,,,,,,,,,,,,,,,,,,,,,,,,,,
chg pct 5d,,current signal,,,,,,,,,,,,,,,,,,1d rtn,1d zrtn,3d rtn,3d mov zrtn,zpx,,,,,
(0.38),USDJPY Curncy,USD-JPY X-RATE,1 ,0 ,1 ,0 ,1 ,1 ,,,,,,,,,,,,(0.12),(0.56),(0.48),(0.49),0.53 ,,,,,
0.22 ,USDEUR Curncy,USD-EUR X-RATE,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.14),(0.45),(0.49),(0.46),0.93 ,,,,,
(0.45),USDAUD Curncy,USD-AUD X-RATE,(1),(1),(1),(1),(1),(1),,,,,,,,,,,,0.19 ,0.18 ,0.19 ,0.28 ,1.28 ,,,,,
0.10 ,USDCNY Curncy,USD-CNY X-RATE,(1),(1),(1),(1),(1),0 ,,,,,,,,,,,,(0.01),(0.22),0.17 ,0.61 ,0.93 ,,,,,
0.28 ,ADXY Index,AP Dollar Index,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.06),(0.24),(0.14),(0.62),(0.08),,,,,
0.89 ,FXJPEMCS Index,JPM EMCI Live Spot,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.10),0.01 ,(0.14),(0.31),(1.42),,,,,
0.16 ,DXY Index,DOLLAR INDEX SPOT,(1),(1),(1),(1),(1),(1),,,,,,,,,,,,(0.08),(0.43),(0.44),(0.54),0.86 ,,,,,
0.21 ,.CNY/CNH Index,CNY onshore/offshore,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,(0.12),(1.12),(0.15),(0.58),(1.09),,,,,
2.50 ,USO Equity,UNITED STATES OI,1 ,1 ,1 ,1 ,1 ,1 ,,,,,,,,,,,,0.17 ,(0.11),0.68 ,0.26 ,2.09 ,,,,,
